=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:36:57: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCICdwLgAgIwAYA0dwA9ZwEwDoB2AVjXAE9sBaJPBAX1NQGZwBdFAKDE2wUJPQV41PADYiDdKhzg0ELPD5JJ4VABY2nbgrgicA8lRrEVqJLKkoEmrvOxr+pIbpoBOUyiI3t2fMSdGhCoIKCzstjyKjoKB4sEoMnKRiHjKpCEa4T7CNPoBOfzx5ulW3nbwDv4xBe4lXlnluNGGBQQqOKFlyXxVLS5iEqQdiXCNSu0omVqNegbOIiZDKMXoHdYNyZVzgbWrnl06ftutKkydGzo9x-1xpGcjY6mnkweBedX9i+hnK+Bn69NNs15m5nvVAYdgYECKQAMbYcAAYgAhqi0eAVGpzhDeFCCrd0FiHt0nqQsVMIjpZvlPoNCcsLOAsQDKfY8f1dkz9hdsER2ZQ+AAOAwAC1xdL+KFEXWgwmQpEgOlEeAMkGcIXQkPefREGvA8PgSNhxpNGMYKFcryi2pBAw8gosjzSlmQVrgDht0IlqAQ1nNCBkPPguWuIk5qAIbvwnpOJUtQZSMZuEpCDqSl1J6BCroTHtDxhTVj9WasgZxwbwSbD8UjCej+aCS3j5cTDYJ4A6adGJOdHas5lzlYbXz7vsZazLrIrVdBS1rLfrNIWz2bU9bS5o7bOXadzxzLbzG8KdyLjP+k+ycBDR85Z3na8XHwWcIRKLRqLN9NXl74M7tZJQHce0xfs3UPJ8CxAscAIDN1rwgvBOSxe9LwWUMhVFcUQOlVhWCAA
13:37:01: [INFO] Using internal autorouter method
13:37:01: [INFO] Routing pad 'SW57:2' at (189723008, 137284109) with pad 'D57:2' at (193558038, 144406366) using coordinate system rotated by 350.0 degree(s)
13:37:01: [INFO] Adding track segment (B.Cu): [(189723008, 137284109), (190615558, 142346019)]
13:37:01: [INFO] Adding track segment (B.Cu): [(190615558, 142346019), (193558038, 144406366)]
13:37:01: [INFO] Routing SW56 with D56
13:37:01: [INFO] Using internal autorouter method
13:37:01: [INFO] Routing pad 'SW56:2' at (168977622, 129335754) with pad 'D56:2' at (172812652, 136458011) using coordinate system rotated by 350.0 degree(s)
13:37:01: [INFO] Adding track segment (B.Cu): [(168977622, 129335754), (169870173, 134397665)]
13:37:01: [INFO] Adding track segment (B.Cu): [(169870173, 134397665), (172812652, 136458011)]
13:37:01: [INFO] Routing SW55 with D55
13:37:01: [INFO] Using internal autorouter method
13:37:01: [INFO] Routing pad 'SW55:2' at (118343341, 138964229) with pad 'D55:2' at (119511134, 146968618) using coordinate system rotated by 10.0 degree(s)
13:37:01: [INFO] Adding track segment (B.Cu): [(118343341, 138964229), (117450788, 144026139)]
13:37:01: [INFO] Adding track segment (B.Cu): [(117450788, 144026139), (119511134, 146968618)]
13:37:01: [INFO] Routing SW54 with D54
13:37:01: [INFO] Using internal autorouter method
13:37:01: [INFO] Routing pad 'SW54:2' at (100740552, 129090025) with pad 'D54:2' at (101908345, 137094414) using coordinate system rotated by 10.0 degree(s)
13:37:01: [INFO] Adding track segment (B.Cu): [(100740552, 129090025), (99848000, 134151936)]
13:37:01: [INFO] Adding track segment (B.Cu): [(99848000, 134151936), (101908345, 137094414)]
