=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:35:31: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgEwDoCsAaO4DGtMGIBDI48AXw3AAY1KAdAOwYeoEZwMJp5KkF1Mc8cHiyixZCqyaN6rdpmoJpzNG0loAzMtmr5VNABZtcjlFw8+FQfmIlyCtCmO71ANmdqHAdg97qADl9TLjgLfmxcYTFxe30ATiCHFjoZFU99FhZEjKVUnU9Oc15w62EvcoqJJK08uQBdNAAoMDN4ZHCATyLLAUjCWwIq-RTpakp5QvgWJGpeoRFonFjFZ3H1GtGaP0NV7adareCikr6BweW0dwO17131QOvthMej7lQrPsWl9WS7pKyXklcpsbhkNjIxhNWqFih95mchqwDNsWCgUa5wA1mpNEO9MF03id5l8hixDpgyekyQg9GSNLTDAy0RQyRiWWgvAz-Ay4gzknyqaoaaZSv1bHoAO64BCxBCqIx5Mk3HFhWKU5Hs1F8tlwFXFNWqTma7ma3nshDjLEtELtChSqaoWXkiCiklO9Jy4WYOX0ihyjXexx6OU68Byo2Bk2Bs2B-l+1QeoVQ+1waYod3ghgGZ3QsJwmwDIYaeXB1TM2M6vU9CLExZDOUsCNh1RR5ssGMu06FigAC2lsWLFu0rhzIVV8aHeRHbCtONtmBT0y86YoxeVNfwbtXLkwg70xd9u8Z2-L4GLoeLTeLreLMbPqlBxcyUNFCLt0v125Ymfo2fXIQ0PENyiOsB0NfcWwg9soRCaZq1fQswMnaRp0xJoWkXT9MD-bQGxfT5QIobMAWkPDXhheCu3Fd82iw8AcLyOV11dQjsLQL16M0PRswDTjT2zUNsybbNW2zO9iNBYiCmAsUSBo3Fl1iYjgRkNcYNwOCiU3VjOK1cjNKU8CiMg4zoJFKi5MwPs2lidBkJkLxR26Fc2PshhHJndC5yAzCXPAdARhkAK9HQEigpzXzbPY7RgvM2toklXAvCiq5pFi3UZLfBcNMdChQrChh0v8oUYoinK-NCn90qrLSQISqKWF40LT1Cytc1hbKbLylttH8clirMjLYI6zLEO6tz6A8tDsWhedwAJCjwki7rAsKndO3i8QKAAE1wAAXAAnABXABTBrSukhDqM61NcswOyLvwzbRES+Bku61LwsuiyiFe26KoTR64u0hKdv246zu6lgVLW774W7G60waqr1uhaZZhkrcKVUH9KSegtxXdBVpDx8ieFqhZ6qhnw8j69JQoeaQ6em60NLiEarss8BMOrazEDtGkHXCHtBdTChIFFgBaccj2-bRiJZ7zOlwaWkGXfM6q2xGgN2+BDtOqLVvoOz8eEBFzryE3TGW+7ost9jTcprXuaSlLSq9DaCa5m2BoK42HahmH-Y9zG63ktMwb1iHkfdxW0f8EaFtVvgwOh+XdFnWagKT8mNdk37w7ogLSsPCAeYBv30FLl2HRT8aS8dkl5NcIvLgb4GzYRmvbrr23fnt6vy4ayuuOtnLe4GoOq+TceK5R+lM9grw1eV+BVaWnLFNMoOn0bnTiJ-Xe6jqIA
13:35:33: [INFO] Add D27 footprint
13:35:33: [INFO] Add SW28 footprint
13:35:34: [INFO] Add D28 footprint
13:35:34: [INFO] Add SW29 footprint
13:35:34: [INFO] Add D29 footprint
13:35:34: [INFO] Add SW30 footprint
13:35:34: [INFO] Add D30 footprint
13:35:34: [INFO] Add SW31 footprint
13:35:34: [INFO] Add D31 footprint
13:35:34: [INFO] Add SW32 footprint
13:35:34: [INFO] Add D32 footprint
13:35:34: [INFO] Add SW33 footprint
13:35:34: [INFO] Add D33 footprint
13:35:34: [INFO] Add SW34 footprint
13:35:34: [INFO] Add D34 footprint
13:35:34: [INFO] Add SW35 footprint
13:35:34: [INFO] Add D35 footprint
13:35:34: [INFO] Add SW36 footprint
13:35:34: [INFO] Add D36 footprint
13:35:34: [INFO] Add SW37 footprint
13:35:34: [INFO] Add D37 footprint
13:35:34: [INFO] Add SW38 footprint
13:35:34: [INFO] Add D38 footprint
13:35:34: [INFO] Add SW39 footprint
13:35:34: [INFO] Add D39 footprint
13:35:34: [INFO] Add SW40 footprint
13:35:34: [INFO] Add D40 footprint
13:35:34: [INFO] Add SW41 footprint
13:35:34: [INFO] Add D41 footprint
13:35:34: [INFO] Add SW42 footprint
13:35:34: [INFO] Add D42 footprint
13:35:34: [INFO] Add SW43 footprint
13:35:34: [INFO] Add D43 footprint
13:35:34: [INFO] Add SW44 footprint
13:35:34: [INFO] Add D44 footprint
13:35:34: [INFO] Add SW45 footprint
13:35:34: [INFO] Add D45 footprint
13:35:34: [INFO] Add SW46 footprint
13:35:34: [INFO] Add D46 footprint
13:35:34: [INFO] Add SW47 footprint
13:35:34: [INFO] Add D47 footprint
13:35:34: [INFO] Add SW48 footprint
13:35:35: [INFO] Add D48 footprint
13:35:35: [INFO] Add SW49 footprint
13:35:35: [INFO] Add D49 footprint
13:35:35: [INFO] Add SW50 footprint
13:35:35: [INFO] Add D50 footprint
13:35:35: [INFO] Add SW51 footprint
13:35:35: [INFO] Add D51 footprint
13:35:35: [INFO] Add SW52 footprint
13:35:35: [INFO] Add D52 footprint
13:35:35: [INFO] Add SW53 footprint
13:35:35: [INFO] Add D53 footprint
13:35:35: [INFO] Add ST53 footprint
13:35:35: [INFO] Add SW53a footprint
13:35:35: [INFO] Add SW54 footprint
13:35:35: [INFO] Add D54 footprint
13:35:35: [INFO] Add SW55 footprint
13:35:35: [INFO] Add D55 footprint
13:35:35: [INFO] Add SW56 footprint
13:35:35: [INFO] Add D56 footprint
13:35:35: [INFO] Add SW57 footprint
13:35:35: [INFO] Add D57 footprint
13:35:35: [INFO] Add SW58 footprint
13:35:35: [INFO] Add D58 footprint
13:35:35: [INFO] Add SW59 footprint
13:35:35: [INFO] Add D59 footprint
13:35:35: [INFO] Add SW60 footprint
13:35:35: [INFO] Add D60 footprint
13:35:35: [INFO] Add SW61 footprint
13:35:35: [INFO] Add D61 footprint
13:35:35: [INFO] Add SW62 footprint
13:35:35: [INFO] Add D62 footprint
13:35:35: [INFO] Add SW63 footprint
13:35:35: [INFO] Add D63 footprint
13:35:35: [INFO] Add SW64 footprint
13:35:35: [INFO] Add D64 footprint
13:35:35: [INFO] Add SW65 footprint
13:35:35: [INFO] Add D65 footprint
13:35:35: [INFO] Add SW66 footprint
13:35:35: [INFO] Add D66 footprint
13:35:35: [INFO] Add SW67 footprint
13:35:35: [INFO] Add D67 footprint
13:35:35: [INFO] Add SW68 footprint
13:35:35: [INFO] Add D68 footprint
13:35:35: [INFO] Add SW69 footprint
13:35:35: [INFO] Add D69 footprint
13:35:35: [INFO] Add SW70 footprint
13:35:36: [INFO] Add D70 footprint
13:35:36: [INFO] Add SW71 footprint
13:35:36: [INFO] Add D71 footprint
13:35:36: [INFO] Add SW72 footprint
13:35:36: [INFO] Add D72 footprint
13:35:36: [INFO] Add SW73 footprint
13:35:36: [INFO] Add D73 footprint
13:35:36: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:35:36: [INFO] Add ST73 footprint
13:35:36: [INFO] Add SW73a footprint
13:35:36: [INFO] Add ST73a footprint
13:35:36: [INFO] Add SW74 footprint
13:35:36: [INFO] Add D74 footprint
13:35:36: [INFO] Add SW75 footprint
13:35:36: [INFO] Add D75 footprint
13:35:36: [INFO] Add SW76 footprint
13:35:36: [INFO] Add D76 footprint
13:35:36: [INFO] Add SW77 footprint
13:35:36: [INFO] Add D77 footprint
13:35:36: [INFO] Add SW78 footprint
13:35:36: [INFO] Add D78 footprint
13:35:36: [INFO] Add ST78 footprint
13:35:36: [INFO] Add SW78a footprint
13:35:36: [INFO] Add SW79 footprint
13:35:36: [INFO] Add D79 footprint
13:35:36: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:35:36: [INFO] Add ST79 footprint
13:35:36: [INFO] Add SW79a footprint
13:35:36: [INFO] Add SW80 footprint
13:35:36: [INFO] Add D80 footprint
13:35:36: [INFO] Add SW81 footprint
13:35:36: [INFO] Add D81 footprint
13:35:36: [INFO] Add SW82 footprint
13:35:36: [INFO] Add D82 footprint
13:35:36: [INFO] Add SW83 footprint
13:35:36: [INFO] Add D83 footprint
13:35:36: [INFO] Add SW84 footprint
13:35:36: [INFO] Add D84 footprint
13:35:36: [INFO] Add SW85 footprint
13:35:36: [INFO] Add D85 footprint
13:35:36: [INFO] Add SW86 footprint
13:35:36: [INFO] Add D86 footprint
13:35:36: [INFO] Add SW87 footprint
13:35:36: [INFO] Add D87 footprint
13:35:37: [INFO] Add SW88 footprint
13:35:37: [INFO] Add D88 footprint
13:35:37: [INFO] Add SW89 footprint
13:35:37: [INFO] Add D89 footprint
13:35:37: [INFO] Add SW90 footprint
13:35:37: [INFO] Add D90 footprint
13:35:37: [INFO] Add SW91 footprint
13:35:37: [INFO] Add D91 footprint
13:35:37: [WARNING] No stabilizer footprint for width 2.75u, using 2u as fallback
13:35:37: [INFO] Add ST91 footprint
13:35:37: [INFO] Add SW91a footprint
13:35:37: [INFO] Add SW92 footprint
13:35:37: [INFO] Add D92 footprint
13:35:37: [INFO] Add SW93 footprint
13:35:37: [INFO] Add D93 footprint
13:35:37: [INFO] Add SW94 footprint
13:35:37: [INFO] Add D94 footprint
13:35:37: [INFO] Add SW95 footprint
