=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:27:53: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgIwGYB0BWANHcBjW2BiAQxNPAF8twEM1wBdDAKDCnwCZ0q95wCB2QUIpUADBlHgsEHoRzyFI7DUliMCKcvWbw49jpr61SAxhNqALKatq603Pj6kylbEloNmraPE6ZsAO74CCjsaK7g7BKaMo4ECooR7qrYURpU7umpGEZuOTpR5nlFkRg2eeWxvAJCgjpB8CH84VRRdIwsED5wftxxziT1wSjNERbR9rJ8CfJK4ONZ4JiL47lL+VTjJZgl4+Xr++N2cFWEA0RDjaEt2JjtXl0c6BEAbBIAOgB2X1-iKeD8D7fYF-HRvBA-EETE4OaozPBUBo9a4RQEQ4G-aEAnKQzEpCBIzijKhvCy4z6gyb9AZzQFkjEUrFvNDkynYQEshmgjreJ7+cAAT3wohRJKBkPEi0BolZ2nsSJCYVe6llWVO0xmlzgL1F7JxXLlMKmxBpiOGSrFnIlhoJ5pu2KtUI09HoQA
13:27:56: [INFO] Adding track segment (B.Cu): [(197802500, 114360000), (200342500, 116900000)]
13:27:56: [INFO] Routing SW41 with D41
13:27:56: [INFO] Using internal autorouter method
13:27:56: [INFO] Routing pad 'SW41:2' at (166846250, 109220000) with pad 'D41:2' at (169386250, 116900000) using coordinate system rotated by 0 degree(s)
13:27:56: [INFO] Adding track segment (B.Cu): [(166846250, 109220000), (166846250, 114360000)]
13:27:56: [INFO] Adding track segment (B.Cu): [(166846250, 114360000), (169386250, 116900000)]
13:27:56: [INFO] Routing SW40 with D40
13:27:56: [INFO] Using internal autorouter method
13:27:56: [INFO] Routing pad 'SW40:2' at (116840000, 109220000) with pad 'D40:2' at (119380000, 116900000) using coordinate system rotated by 0 degree(s)
13:27:56: [INFO] Adding track segment (B.Cu): [(116840000, 109220000), (116840000, 114360000)]
13:27:56: [INFO] Adding track segment (B.Cu): [(116840000, 114360000), (119380000, 116900000)]
13:27:56: [INFO] Routing SW39a with D39
13:27:56: [INFO] Using internal autorouter method
13:27:56: [INFO] Routing pad 'SW39a:2' at (281146250, 109220000) with pad 'D39:2' at (290830000, 116900000) using coordinate system rotated by 0 degree(s)
13:27:56: [INFO] Routing SW39 with D39
13:27:56: [INFO] Using internal autorouter method
13:27:56: [INFO] Routing pad 'SW39:2' at (288290000, 109220000) with pad 'D39:2' at (290830000, 116900000) using coordinate system rotated by 0 degree(s)
13:27:56: [INFO] Adding track segment (B.Cu): [(288290000, 109220000), (288290000, 114360000)]
13:27:56: [INFO] Adding track segment (B.Cu): [(288290000, 114360000), (290830000, 116900000)]
13:27:56: [INFO] Routing SW38 with D38
13:27:56: [INFO] Using internal autorouter method
