=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:36:16: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIGNwLgAnAYgIareAvgGgQViwAwA6AdqaQCxYCM4OEAHrHNQHQBM+C08Sk-AuggAmzAC4AnAK4BTbHkLkyJKgSGNmbLlGZIA7AcOYc4fO3Xgm8Ah208EiAYPmmsAZiGuKn-Lh9YANgsrOBtOE3skNHQXfD1-AA5gzVYCF2pqGk8MrHN6S2Ywu11HJ2h0zI8THO9qzL86wOTrWwqsePzReElZNoSlUjdCZrhcVL6BkiHaAF0sACgwcABPQtsIkujUYwQCRWVKLJM96kmqWnyQoo3eUqdPLrgeuWP9pVULR+eXE7Phy7WxVuW2QO3AezycAgkTuzleVV2WFqiIaiKCrw6iKSAPgbDSJgC-wQhIuxNynkJCPAhOR1KwqOhmy2ngA7sx2C5CXpJns1PkYWVoCYvtIXmT+gcpkSNC09ECHCCwYSAjyjmTuZKTiN2K0CVgJUppuA5otwJliJLztkaH9STLQutuCVBQ9xKL0m9lB9Om7etUbZbpQUWvKosyTGzcaxcB7IYzbi6PVTMrT6tb0QhMpj7XiXHoieB86TC+STPmqfnafnUSWMxBIyxo3n2pNzZ9fWKSwblEM+VDg3AdXsnbdDEYIylwggABbsiPmKPaacLlgmBgrgC0RRcCRbksydoHbDlNwVzOb3cGWRNwHA7E9h2L99OgcPV0dOgTZVd3XdJnvFrvEGIp+ggz5-H29o2KGKDhggDbHjG-6lv2Arfi495UvetL3jW94Zne7QjLmJi7n24C7sWu6QhR7ieLutK7gyn4OGOBisuyuoILuGpKG2-LOt+wodju+qTL2xHjKRgStmq9puKkp5htEYK7peUqzAst69ranjTLpOIOlOLF8EJIgiSYOmBpB4AgZ2+nWSM0FKbBKkTvAOqcC4QzsJMAEWGh9zeUien0qFBFDJi4BDNi-YhCRCAAJwFslxbJTRyVUslFCTPgNkwoq7mDqwcouMlKqSnlAWCfcwm-qB4DJepEmGTYpUmNluVySZrnoEViFlTJlVqo1e5KPgb6AoNzXXlp4CqAZCDnItUEfoFgh1U8f5LQ+KjARZO0vkBNnvjBhXwZOSE7XG4AIVx810fkd1eSYVDIvWl0uFQuCTGR1VfrVF0efdVC8cof2GXiRU6u1ma-JKhL5UyblA42L1w7kkz5jZz1XWaexuFjQa4+kewVUo2MWCT1R7GDpCUwJAMbeZ9WdtQewzSdawniOZ4o7dKSw6NOXDRlQ3jSho10yQZhOU2NNiZKRo3vaFAldo1MID5fkjUMhOSs+kka5x6MPT9kqUVTn2vWN4PdfFimo2wpvs7tJJW4upMBko7sK75kpFtkBNE8WrsixTI2u+TyiBwr0uByrA4JNG-Ug-Sv2S1Q0ekNRHto3joMZ+YMwzEAA
13:36:19: [INFO] Add SW43 footprint
13:36:19: [INFO] Add D43 footprint
13:36:19: [INFO] Add SW44 footprint
13:36:19: [INFO] Add D44 footprint
13:36:20: [INFO] Add SW45 footprint
13:36:20: [INFO] Add D45 footprint
13:36:20: [INFO] Add SW46 footprint
13:36:20: [INFO] Add D46 footprint
13:36:20: [INFO] Add SW47 footprint
13:36:20: [INFO] Add D47 footprint
13:36:20: [INFO] Add SW48 footprint
13:36:20: [INFO] Add D48 footprint
13:36:20: [INFO] Add SW49 footprint
13:36:20: [INFO] Add D49 footprint
13:36:20: [INFO] Add SW50 footprint
13:36:20: [INFO] Add D50 footprint
13:36:20: [INFO] Add SW51 footprint
13:36:20: [INFO] Add D51 footprint
13:36:20: [INFO] Add SW52 footprint
13:36:20: [INFO] Add D52 footprint
13:36:20: [INFO] Add SW53 footprint
13:36:20: [INFO] Add D53 footprint
13:36:20: [INFO] Add SW54 footprint
13:36:20: [INFO] Add D54 footprint
13:36:20: [INFO] Add SW55 footprint
13:36:20: [INFO] Add D55 footprint
13:36:20: [INFO] Add SW56 footprint
13:36:20: [INFO] Add D56 footprint
13:36:20: [INFO] Add SW57 footprint
13:36:20: [INFO] Add D57 footprint
13:36:20: [INFO] Add SW58 footprint
13:36:20: [INFO] Add D58 footprint
13:36:20: [INFO] Add ST58 footprint
13:36:20: [INFO] Add SW58a footprint
13:36:20: [INFO] Add SW59 footprint
13:36:20: [INFO] Add D59 footprint
13:36:20: [INFO] Add SW60 footprint
13:36:20: [INFO] Add D60 footprint
13:36:20: [INFO] Add SW61 footprint
13:36:21: [INFO] Add D61 footprint
13:36:21: [INFO] Add SW62 footprint
13:36:21: [INFO] Add D62 footprint
13:36:21: [INFO] Add SW63 footprint
13:36:21: [INFO] Add D63 footprint
13:36:21: [INFO] Add SW64 footprint
13:36:21: [INFO] Add D64 footprint
13:36:21: [INFO] Add SW65 footprint
13:36:21: [INFO] Add D65 footprint
13:36:21: [INFO] Add SW66 footprint
13:36:21: [INFO] Add D66 footprint
13:36:21: [INFO] Add SW67 footprint
13:36:21: [INFO] Add D67 footprint
13:36:21: [INFO] Add SW68 footprint
13:36:21: [INFO] Add D68 footprint
13:36:21: [INFO] Add SW69 footprint
13:36:21: [INFO] Add D69 footprint
13:36:21: [INFO] Add SW70 footprint
13:36:21: [INFO] Add D70 footprint
13:36:21: [INFO] Add SW71 footprint
13:36:21: [INFO] Add D71 footprint
13:36:21: [INFO] Add SW72 footprint
13:36:21: [INFO] Add D72 footprint
13:36:21: [INFO] Add SW73 footprint
13:36:21: [INFO] Add D73 footprint
13:36:21: [INFO] Add SW74 footprint
13:36:21: [INFO] Add D74 footprint
13:36:21: [INFO] Add SW75 footprint
13:36:21: [INFO] Add D75 footprint
13:36:21: [INFO] Add SW76 footprint
13:36:21: [INFO] Add D76 footprint
