=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:36:20: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIBNwLgAgC4CcCuBTAvgGjuArFgAwA6AdmWQIxYBM4OEAxrLgMQCGnX42uBJ5QdUr04EAB4tCAOhoFcAZwC2LcEgD2CAPppGlEb3xEKQ44JMm0hURJaVp88M3jhWAdg+fR4Zap44jOgZwSXgZOQDnNkYY2P8+LABmbwIAFhSsPAyANhsQqVlHKNcubkMCNwyADjzQuHtCQ30sEQDmoLF8sMLI1VZYuKbqZLbqdNHM72bc4LrwvCGsSuDfFw1tXX148Gaqi1JEs33LVs656TdHVdxt3f3DkQBdLAAoMHAATwKI3Gh4ZHQhkIR0EwNOED+iFQmACYP2YNq3yKfVKnG2wIEJgx3jh5lI2NmBQWsNoeWK-QGzCBSRxWHGuGBWRJMwZS1pNUJ8AahmyRG8vNO4F5HSFNICvPpoqZnXJqPY2152X2qT54qWytVuF5HLOBUuAQA7iwaDz1XiVU9Xu9yZTmAFIQCYbhqJjQS08g7oU0WvD3Zy4PNei4OKjbiCyATnT68ZHbN1HEauQ5vR0mH1bWGRlHJdRpTssCz88tdUnGgE3JrwBXBRWRRWs1W6d4K3mKyyIIn6sny2aTPwySjQ4YKzq412E3YergABbGw10JOOacL+oBcQrgC082HvcEBEtbzTwYz9pYjsMNHD+L9nU9gICl8ovvBXQDU6cg9K20vrojlcfvrWP6MgTkmlwXqSwQ2pS35irgl6SpeeaXoWl7FmO3IBFUlbYYK2EithDbYZK2HSkebCeF4hrGoUhjYW4+z9lBn5lFhWCjq+IFBtEMF0QWjHus8h5QGeXoBIcv7Xi+d5OuADzPoi3Q-B+wZytsEmAd48kxpqY5cbgnY0LR4m0PsP4DsevEmZKhx5ochaHMWcnsYpXZlrgACclZeYKXkil5DZefS5ElKG1FgcSnn8XivJAVFDExd5LnAQ44VwEZ4EBF5SqJQe1rpjBp7-GJuAqpJCLBDJhgWgpKXKbKQ4BGVmlNdGWK6ZxqUGZOcjVZBnSdvYvWtVmHY9ZF4AqsF4CDcZpWTMxlkDN4hlzZNbL+g0aUZRNlAVTKLFok0wI0PsFZxTswKJGdlZ7XSN0XXdhZ3U5d01EJ7x1KkFygV2w24Icp14o+WlJGZN5jlUP1pUNu0nTdL6zf9l1g3i1bgI8jxAA
13:36:24: [INFO] Add SW53 footprint
13:36:24: [INFO] Add D53 footprint
13:36:24: [INFO] Add SW54 footprint
13:36:24: [INFO] Add D54 footprint
13:36:24: [INFO] Add SW55 footprint
13:36:24: [INFO] Add D55 footprint
13:36:24: [INFO] Add SW56 footprint
13:36:24: [INFO] Add D56 footprint
13:36:24: [INFO] Add SW57 footprint
13:36:24: [INFO] Add D57 footprint
13:36:24: [INFO] Add SW57a footprint
13:36:24: [INFO] Add ST57a footprint
13:36:24: [INFO] Add SW58 footprint
13:36:24: [INFO] Add D58 footprint
13:36:24: [INFO] Add SW59 footprint
13:36:24: [INFO] Add D59 footprint
13:36:24: [INFO] Add SW60 footprint
13:36:24: [INFO] Add D60 footprint
13:36:24: [INFO] Add SW61 footprint
13:36:24: [INFO] Add D61 footprint
13:36:24: [INFO] Add SW62 footprint
13:36:24: [INFO] Add D62 footprint
13:36:24: [INFO] Add SW63 footprint
13:36:24: [INFO] Add D63 footprint
13:36:24: [INFO] Add SW64 footprint
13:36:25: [INFO] Add D64 footprint
13:36:25: [INFO] Add SW65 footprint
13:36:25: [INFO] Add D65 footprint
13:36:25: [INFO] Add SW66 footprint
13:36:25: [INFO] Add D66 footprint
13:36:25: [INFO] Add SW66a footprint
13:36:25: [INFO] Add ST66a footprint
13:36:25: [INFO] Add SW67 footprint
13:36:25: [INFO] Add D67 footprint
13:36:25: [INFO] Add SW68 footprint
13:36:25: [INFO] Add D68 footprint
13:36:25: [INFO] Add SW69 footprint
13:36:25: [INFO] Add D69 footprint
13:36:25: [INFO] Add SW70 footprint
13:36:25: [INFO] Add D70 footprint
13:36:25: [INFO] Add SW71 footprint
13:36:25: [INFO] Add D71 footprint
13:36:25: [INFO] Add SW72 footprint
13:36:25: [INFO] Add D72 footprint
13:36:25: [INFO] Add SW73 footprint
13:36:25: [INFO] Add D73 footprint
13:36:25: [INFO] Add SW74 footprint
13:36:25: [INFO] Add D74 footprint
13:36:25: [INFO] Add SW75 footprint
13:36:25: [INFO] Add D75 footprint
13:36:25: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:36:25: [INFO] Add ST75 footprint
13:36:25: [INFO] Add SW76 footprint
13:36:25: [INFO] Add D76 footprint
13:36:25: [INFO] Add SW77 footprint
13:36:25: [INFO] Add D77 footprint
13:36:25: [INFO] Add SW78 footprint
