=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:34:14: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrBEAYBp1SAIKQIywVATKxBmLUAsekArFkiagN6gAeoAXHEgHTrEC+8ox0WPKXHpkGRcIwiNLxqAYwYIAxAEMVqrAHd56Tgh4A2ADoA7Y8agxpteSygI5jUApnOXoHd0iGT3qALiz5R1U1dx4AdlMfZFAAXUgAKGBqTUYWDi5yC39Qe0UXV3dyP1ByYQRyMXLICQR0Cks6VNZ0hD1eLjbitrLQNsre6qw2qVbPKlAUpmYWgbDYhKScwOVgpQ1rZjCZuqyAhyd8uXc64rqeuv66mtBseuzGqbZ3MPaEF+KXnpf+l+uXkb2ijCwJB60Y6Gaz0gcziiUBQVWYLgEKeXFuuyW+0ORzR0VxPVu-Vu13wd2oDxYqIQAA5XqBacVaT1af1aTV4StgkiIVt3LSvJFMuMHuBmlxJixeVx+ZFjEVxrlHNi3NLobKjPLYYtFZy1OKNjNSeB1UasKS-MkDe5SWUOcr9YxsNbROqdsKNmwHXAnVwAJzIdXohXLVZrL1pdz+7CBun+-AxrKgf0C7w8DES6aRtXeYxp+ZwiYGrgAE3kABcAE4AVwAps7jTmjOb84sHqSEABPeQAWlFWy4OvtCEm2i4pOjjZOZuqrrx9w9M39DcitwthfBWaQMbXOtDSIjfpdjdXWDj2-GpcYldrWZTubnlqaPAQl7g17rh4ijf4LfJ8mpYqdvIoqenYyzKlmy7eLctrrt6m4xrBu6IuGmaHvGx6QJgWp-owAGgaAXaMCBz6YnkhwqggS4xpUj7IghmH9FGNHBvse6oYuM6MbEMRAA
13:34:18: [INFO] Using internal autorouter method
13:34:18: [INFO] Routing pad 'SW66:2' at (326390000, 109220000) with pad 'D66:2' at (328930000, 116900000) using coordinate system rotated by 0 degree(s)
13:34:18: [INFO] Adding track segment (B.Cu): [(326390000, 109220000), (326390000, 114360000)]
13:34:18: [INFO] Adding track segment (B.Cu): [(326390000, 114360000), (328930000, 116900000)]
13:34:18: [INFO] Routing SW65 with D65
13:34:18: [INFO] Using internal autorouter method
13:34:18: [INFO] Routing pad 'SW65:2' at (302577500, 109220000) with pad 'D65:2' at (305117500, 116900000) using coordinate system rotated by 0 degree(s)
13:34:18: [INFO] Adding track segment (B.Cu): [(302577500, 109220000), (302577500, 114360000)]
13:34:18: [INFO] Adding track segment (B.Cu): [(302577500, 114360000), (305117500, 116900000)]
13:34:18: [INFO] Routing SW64a with D64
13:34:18: [INFO] Using internal autorouter method
13:34:18: [INFO] Routing pad 'SW64a:2' at (278765000, 109220000) with pad 'D64:2' at (286067500, 116900000) using coordinate system rotated by 0 degree(s)
13:34:18: [INFO] Routing SW64 with D64
13:34:18: [INFO] Using internal autorouter method
13:34:18: [INFO] Routing pad 'SW64:2' at (283527500, 109220000) with pad 'D64:2' at (286067500, 116900000) using coordinate system rotated by 0 degree(s)
13:34:18: [INFO] Adding track segment (B.Cu): [(283527500, 109220000), (283527500, 114360000)]
13:34:18: [INFO] Adding track segment (B.Cu): [(283527500, 114360000), (286067500, 116900000)]
13:34:18: [INFO] Routing SW63a with D63
13:34:18: [INFO] Using internal autorouter method
