=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:39:05: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgIwFYB0SA0dwGcC2ssAnAewBcB9AUwGMEFwBfTcABnWQB0A7b3n-vt0otwAXXQAoMOACeBALQsUAdgxZqBcAGJluveGZ5NjZmxGYIG+Nuq27JrG3qn0AJgOP0AZg+t0AFl82JCD0ADZQ5VCADlCATlCEc086RPcLcCssLQBDPPzfAHcCVyYU-0EuMw8IaHhXZiybO1sHPwQvSqdEioEq9jFJaSbc-LyiggQ0MvAEdGTLTS0W1pm55yw59M3vXznA5jmQw-C99CiT2JOEk6Sz1NvtiGL4KaQ19k6+uYWoAiV3rdjnBapMUK41Jklnp9MwXohwZCABYlOHuV5oZhI9GIZiQHGKREzBodSrrQZSRbWUZjCYY1TE+Y1KHUlYaRkbcANbZc3bMBoHLANYG8iL886+BpXIXoG4yu7ih4glnZGG6OlwVxExVfPg-Zl1OAAxpLNltEnA0HwJQQjmuMkDcSUlXaMbjOElbVYLzzSoNX4jM0zH08n0+Zg+wXgH0in1i70SiPoaXR2W+H0KhNKqnZN05DVTBlJhBPP4YyGBlZtDMhJ3SQ0IfyI5hyeCE1Qm6lqqLB9iBOsQVtwQkQzu5t0Fr3gfxMjLwqa25gzjbPMGLrAz0uVloasJTmfxnOuice8szZe-efTJfsegDsuILzNrBD9sV6FqtrL8Mbvu+Ze1kMg7-Ji6hLHmk7rqmLB+gMGTbvYvYILBd6iEAA
13:39:10: [INFO] Add SW67 footprint
13:39:10: [INFO] Add D67 footprint
13:39:10: [INFO] Add SW68 footprint
13:39:10: [INFO] Add D68 footprint
13:39:10: [INFO] Add SW69 footprint
13:39:10: [INFO] Add D69 footprint
13:39:10: [INFO] Add SW70 footprint
13:39:10: [INFO] Add D70 footprint
13:39:10: [INFO] Detected layout convertible to matrix annotated keyboard
13:39:10: [INFO] Using key 1U distance: (19.05, 19.05) mm
13:39:10: [INFO] Layout offset: (38100000, 28575000)
13:39:10: [INFO] Diode info: [ElementInfo(annotation_format='D{}', position_option=<PositionOption.CUSTOM: 'Custom'>, position=ElementPosition(x=5.08, y=4.0, orientation=90.0, side=<Side.BACK: 'Back'>), template_path='', start_index=-1)]
13:39:10: [INFO] Placing additional elements for SW70
13:39:10: [INFO] Placing additional elements for SW69
13:39:10: [INFO] Placing additional elements for SW68
13:39:10: [INFO] Placing additional elements for SW67
13:39:10: [INFO] Placing additional elements for SW66
13:39:10: [INFO] Placing additional elements for SW65
13:39:10: [INFO] Placing additional elements for SW64
13:39:10: [INFO] Placing additional elements for SW63
13:39:10: [INFO] Placing additional elements for SW62
13:39:10: [INFO] Placing additional elements for SW61
13:39:10: [INFO] Placing additional elements for SW60
13:39:10: [INFO] Placing additional elements for SW59
13:39:10: [INFO] Placing additional elements for SW58
13:39:10: [INFO] Placing additional elements for SW57
13:39:10: [INFO] Placing additional elements for SW56
13:39:10: [INFO] Placing additional elements for SW55
13:39:10: [INFO] Placing additional elements for SW54
13:39:10: [INFO] Placing additional elements for SW53
13:39:10: [INFO] Placing additional elements for SW52
13:39:10: [INFO] Placing additional elements for SW51
13:39:10: [INFO] Placing additional elements for SW50
13:39:10: [INFO] Placing additional elements for SW49
13:39:10: [INFO] Placing additional elements for SW48
13:39:10: [INFO] Placing additional elements for SW47a
13:39:10: [INFO] Placing additional elements for SW47
13:39:10: [INFO] Placing additional elements for SW46
13:39:10: [INFO] Placing additional elements for SW45a
13:39:10: [INFO] Placing additional elements for SW45
13:39:10: [INFO] Placing additional elements for SW44
13:39:10: [INFO] Placing additional elements for SW43
13:39:10: [INFO] Placing additional elements for SW42
13:39:10: [INFO] Placing additional elements for SW41
13:39:10: [INFO] Placing additional elements for SW40
13:39:10: [INFO] Placing additional elements for SW39
13:39:10: [INFO] Placing additional elements for SW38
13:39:10: [INFO] Placing additional elements for SW37
13:39:10: [INFO] Placing additional elements for SW36
13:39:10: [INFO] Placing additional elements for SW35
13:39:10: [INFO] Placing additional elements for SW34
13:39:10: [INFO] Placing additional elements for SW33
13:39:10: [INFO] Placing additional elements for SW32
13:39:10: [INFO] Placing additional elements for SW31
13:39:10: [INFO] Placing additional elements for SW30
13:39:10: [INFO] Placing additional elements for SW29
13:39:10: [INFO] Placing additional elements for SW28
