=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:40:40: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIGNwLgAnAYgOyreAvgGgQBi7uDhNPEgIaVWY7j4CMReWATE3VgMxMmwKKRBQmswAs7fAFYJWAGwzkMgBwyAnDPqFaDRtqz02e+t2JQ+FKpREd64o9IC6WAFBgzZAUMHX6Bdr90EX0M4Xg9LK2wgrh53fi9vKPBfO2jpWl95DKxFbJVs9WzNf31A5P0Q8uNY0n4I8h99VKrHFzdapAToJJY-Wl6y3pCwuoj2AHc+egA6FkkemNMOzy9rXube9IRerO2c9l78vcK94v7Sg4rL6qXzFDRUCanp5Hnz+lbXEc6E604+hD-Mr-YZxCyWJ7wGavJL-EyhMErYSwrBbcD-Xbo-a0f5HLEnLFnQEXHFXUk3Ym2Gp3eqQuAzOYoj7gJxfRFdayiAHgLllLmg5a02iTKGzN4ILnwiAi+lipJctFczFc3II5Yc4V8FjyrBHaVauW0XlaNU0sY6gzsXnwnlNWIyhni23MhwOIA
13:40:45: [INFO] Placing additional elements for SW40
13:40:45: [INFO] Placing additional elements for SW39
13:40:45: [INFO] Placing additional elements for SW38
13:40:45: [INFO] Placing additional elements for SW37
13:40:45: [INFO] Placing additional elements for SW36
13:40:45: [INFO] Placing additional elements for SW35
13:40:45: [INFO] Placing additional elements for SW34
13:40:45: [INFO] Placing additional elements for SW33
13:40:45: [INFO] Placing additional elements for SW32
13:40:45: [INFO] Placing additional elements for SW31
13:40:45: [INFO] Placing additional elements for SW30
13:40:45: [INFO] Placing additional elements for SW29
13:40:45: [INFO] Placing additional elements for SW28
13:40:45: [INFO] Placing additional elements for SW27
13:40:45: [INFO] Placing additional elements for SW26
13:40:45: [INFO] Placing additional elements for SW25
13:40:45: [INFO] Placing additional elements for SW24
13:40:45: [INFO] Placing additional elements for SW23
13:40:45: [INFO] Placing additional elements for SW22
13:40:45: [INFO] Placing additional elements for SW21
13:40:45: [INFO] Placing additional elements for SW20
13:40:45: [INFO] Placing additional elements for SW19
13:40:45: [INFO] Placing additional elements for SW18
13:40:45: [INFO] Placing additional elements for SW17
13:40:45: [INFO] Placing additional elements for SW16
13:40:45: [INFO] Placing additional elements for SW15
13:40:45: [INFO] Placing additional elements for SW14
13:40:45: [INFO] Placing additional elements for SW13
13:40:45: [INFO] Placing additional elements for SW12
13:40:45: [INFO] Placing additional elements for SW11
13:40:45: [INFO] Placing additional elements for SW10
13:40:45: [INFO] Placing additional elements for SW9
13:40:45: [INFO] Placing additional elements for SW8
13:40:45: [INFO] Placing additional elements for SW7
13:40:45: [INFO] Placing additional elements for SW6
13:40:45: [INFO] Placing additional elements for SW5
13:40:45: [INFO] Placing additional elements for SW4
13:40:45: [INFO] Placing additional elements for SW3
13:40:45: [INFO] Placing additional elements for SW2
13:40:45: [INFO] Placing additional elements for SW1
13:40:45: [INFO] Routing SW75 with D75
13:40:45: [INFO] Using internal autorouter method
13:40:45: [INFO] Routing pad 'SW75:2' at (324008750, 109220000) with pad 'D75:2' at (326548750, 116900000) using coordinate system rotated by 0 degree(s)
13:40:45: [INFO] Adding track segment (B.Cu): [(324008750, 109220000), (324008750, 114360000)]
13:40:45: [INFO] Adding track segment (B.Cu): [(324008750, 114360000), (326548750, 116900000)]
13:40:45: [INFO] Routing SW74 with D74
13:40:45: [INFO] Using internal autorouter method
13:40:45: [INFO] Routing pad 'SW74:2' at (302577500, 109220000) with pad 'D74:2' at (305117500, 116900000) using coordinate system rotated by 0 degree(s)
13:40:45: [INFO] Adding track segment (B.Cu): [(302577500, 109220000), (302577500, 114360000)]
13:40:45: [INFO] Adding track segment (B.Cu): [(302577500, 114360000), (305117500, 116900000)]
13:40:45: [INFO] Routing SW73 with D73
13:40:45: [INFO] Using internal autorouter method
13:40:45: [INFO] Routing pad 'SW73:2' at (283527500, 109220000) with pad 'D73:2' at (286067500, 116900000) using coordinate system rotated by 0 degree(s)
13:40:45: [INFO] Adding track segment (B.Cu): [(283527500, 109220000), (283527500, 114360000)]
13:40:45: [INFO] Adding track segment (B.Cu): [(283527500, 114360000), (286067500, 116900000)]
13:40:45: [INFO] Routing SW72 with D72
