=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:37:03: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgIwDoCsAaO4DOBbWmAnAewBcB9AUwGMEFwNwB3fZAJnUwAsWl2BfBgE40CADoA7CVMkzpEigAZwAXTQAoMFHyskAdg7gAnvgW8DVfOADEu23fqZcl8AMwK0SjBAvxrVfwEuDAgeDuDudMEiYe6sYSFxDO4AzPFoqUloACxpOZkoaQWZAGwO3pZWAIbVNWHM8Kyu4Wi6cuLunpghumVa8Kb6DD6YVgGBTSHFbRG9w9Y1tU3urbLt0aoaENANegb1iKhNrKFe4HOjYxZNySeYx5GYNw-gx4mPaG8v6WE3GXfZPwBDGORXeoK+pVO5wW1TqPBQ1zQU1WIU64BuPVO2wO5gqdnsDH2bAM3AahLi8GQJIpiAYkBpAFpTPwGFkWm0QnQNppsTpBphoTC4ZTdk02Z1yr4LmMgph0Gi2c90M82Z90J82X9wOgtWy8nKgZg2eD0KDJSN8bZhXAdCyDcjpKjZhUYZVZdqWr1saZcVLLldWUiOet1JpBQtrcSmsUPG17s6-Zd3bpY6t41iTKghi6hYTtGZo6npMcJWcKv73THninnjHPinPjGtSmtTH9eAU+2Y+CU2ay1LXZHRQwY5DMDHMZgUz1uVt8-ymDw7eAABxFmQ3UtEgtCdcSTe9bfLtdiVYHqHlpN5+DFHeYNfJNrnuDm+a5zBHhEMNcoJ+3CCfk0wi-me-59HAPpAUiYRrpO4DCDOoZzpSK67AwbrwCmH5LiSmYLgAJvgJAEAArhQTQqEh4F8gYxjwEyWaYBhcBsthIpfvee7iE8YTCAof4PAB8JNCeAkJiMFbXnAugiekYkXgO76LuxUEgdIPGztRaGYHREFmFJUbflxNxvEJIrLnxf6mcpBzHiIVniX4V5sTad6rh8DmnIBRmPqB1n7DRslZJ5L79iMg4GW5P4hWZtkcfBaBqRuHyUZsWkLrpzJ7MJRn8aBWqWflh45Zxp7qd8CkSc5NnJLJrB-n8sW1UZwVFZVb4RpFdlJfuFWhd5mDAQ1KjKEAA
13:37:07: [INFO] Add D45 footprint
13:37:07: [INFO] Add SW46 footprint
13:37:07: [INFO] Add D46 footprint
13:37:07: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:37:07: [INFO] Add ST46 footprint
13:37:07: [INFO] Add SW47 footprint
13:37:07: [INFO] Add D47 footprint
13:37:07: [INFO] Add SW48 footprint
13:37:07: [INFO] Add D48 footprint
13:37:07: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:37:07: [INFO] Add ST48 footprint
13:37:07: [INFO] Add SW48a footprint
13:37:07: [INFO] Add SW49 footprint
13:37:07: [INFO] Add D49 footprint
13:37:07: [INFO] Add SW50 footprint
13:37:07: [INFO] Add D50 footprint
13:37:07: [INFO] Add SW51 footprint
13:37:07: [INFO] Add D51 footprint
13:37:07: [INFO] Add SW52 footprint
13:37:07: [INFO] Add D52 footprint
13:37:07: [INFO] Add SW53 footprint
13:37:07: [INFO] Add D53 footprint
13:37:07: [INFO] Add SW54 footprint
13:37:07: [INFO] Add D54 footprint
13:37:07: [INFO] Add SW55 footprint
13:37:07: [INFO] Add D55 footprint
13:37:07: [INFO] Add SW56 footprint
13:37:07: [INFO] Add D56 footprint
13:37:07: [INFO] Add SW57 footprint
13:37:07: [INFO] Add D57 footprint
13:37:07: [INFO] Add SW58 footprint
13:37:08: [INFO] Add D58 footprint
13:37:08: [INFO] Add SW59 footprint
13:37:08: [INFO] Add D59 footprint
13:37:08: [INFO] Add SW60 footprint
13:37:08: [INFO] Add D60 footprint
13:37:08: [INFO] Add SW61 footprint
13:37:08: [INFO] Add D61 footprint
13:37:08: [INFO] Add SW62 footprint
13:37:08: [INFO] Add D62 footprint
13:37:08: [INFO] Add SW63 footprint
13:37:08: [INFO] Add D63 footprint
13:37:08: [INFO] Add SW63a footprint
13:37:08: [INFO] Add SW64 footprint
13:37:08: [INFO] Add D64 footprint
13:37:08: [INFO] Add SW64a footprint
13:37:08: [INFO] Add SW65 footprint
13:37:08: [INFO] Add D65 footprint
