=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:39:40: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIE9wLgAgIwDoAMBWANHcBjW2BiAdhNPC3AHd8AmAXwpQwQB0A7d9gZmfLggAe+ZDXqMMKThzY8UfCHnjgCOVWvANsTVtO4T54IfARdUPbIsIBDG7b5Vam8ADZmU9gn1ZB+FEiKYFvjKaupOrjpSnggGlsq2duES7mzR4AC6GABQYIa0SACcRBTUxkhoTp5y3rjBKqF4lbw1Rog05VxOxTE1cQQJNvaliOVd+pk5PvDtABzF2MPIAU40Xvy1SvWhGhSrPeutCO00nRQzzet9pGQlwv4VZ+PZuX0DVkN3NA-YsinasXUGo0KDxItJ-i1fEgACzzDbWAYfaZIL5OX66NhMaqXQENHY-DA0AyHZBoU7YAqEgGba4kfHgSlg9irbEKOpvJEjVEUSmSDEs4lQr63ZHcinJfm8Ca5VrtIpOaFrcCK-bKqmQ4yk8zw5S0oj0hBMIkUQ0XcCmuTSiDQeAAWj8BUC4AAzgBbYIAJwA9gAXAD6AFMcAgYk5MDQUiqUikA6y8vACkgEE63cF6eHI2splzvubPBGMZg460ZkgZin3Upvf6gyGDfmUpgmRj2LGMs9s4mZqsgpsORRU0p01n4yMCghKlV25NwB7hExsB7ZfcKB6bXBTAEKMvhdh17bTLudVswuJjVoMFx7ExodeMGh7JgH1bR+1lib1dhPFeP7ePw+KEwW8X1aUwUBWT9wFWH9sFWP9YPvR9L2nGV8FMXMeBg8AeHg7DEMAqUO1HTcnVeRERRzBVkJfOd4C3RdDj8J013wNAV2wQ5UAofc2KPPogU5UlKhvFDs2QBcHDKXNTWfIjaLgW16NnVoJJY+AnRUpNuPwIhygooSKEVYCiM0zwFjuXNFVkmd5NtU0GOEHtZ3XaEUQ0iztLtY5pM8ADsFcPyXAwXDXCw1wiRA4RJ2C+xikC4pcOKLDigikyoXfL9v3sc5AvOXDziw85UpnTixTzM1KUCylcMpK9IvgEiKDIhJBLc4TqPSIA
13:39:45: [INFO] Placing additional elements for SW54
13:39:45: [INFO] Placing additional elements for SW53
13:39:45: [INFO] Placing additional elements for SW52
13:39:45: [INFO] Placing additional elements for SW51
13:39:45: [INFO] Placing additional elements for SW50
13:39:45: [INFO] Placing additional elements for SW49
13:39:45: [INFO] Placing additional elements for SW48
13:39:45: [INFO] Placing additional elements for SW47
13:39:45: [INFO] Placing additional elements for SW46
13:39:45: [INFO] Placing additional elements for SW45
13:39:45: [INFO] Placing additional elements for SW44
13:39:45: [INFO] Placing additional elements for SW43
13:39:45: [INFO] Placing additional elements for SW42
13:39:45: [INFO] Placing additional elements for SW41
13:39:45: [INFO] Placing additional elements for SW40
13:39:45: [INFO] Placing additional elements for SW39
13:39:45: [INFO] Placing additional elements for SW38a
13:39:45: [INFO] Placing additional elements for SW38
13:39:45: [INFO] Placing additional elements for SW37
13:39:45: [INFO] Placing additional elements for SW36
13:39:45: [INFO] Placing additional elements for SW35
13:39:45: [INFO] Placing additional elements for SW34
13:39:45: [INFO] Placing additional elements for SW33a
13:39:45: [INFO] Placing additional elements for SW33
13:39:45: [INFO] Placing additional elements for SW32
13:39:45: [INFO] Placing additional elements for SW31
13:39:45: [INFO] Placing additional elements for SW30
13:39:45: [INFO] Placing additional elements for SW29
13:39:45: [INFO] Placing additional elements for SW28
13:39:45: [INFO] Placing additional elements for SW27
13:39:45: [INFO] Placing additional elements for SW26
13:39:45: [INFO] Placing additional elements for SW25
13:39:45: [INFO] Placing additional elements for SW24
13:39:45: [INFO] Placing additional elements for SW23
13:39:45: [INFO] Placing additional elements for SW22
13:39:45: [INFO] Placing additional elements for SW21
13:39:45: [INFO] Placing additional elements for SW20
13:39:45: [INFO] Placing additional elements for SW19a
13:39:45: [INFO] Placing additional elements for SW19
13:39:45: [INFO] Placing additional elements for SW18
13:39:45: [INFO] Placing additional elements for SW17
13:39:45: [INFO] Placing additional elements for SW16
13:39:45: [INFO] Placing additional elements for SW15
13:39:45: [INFO] Placing additional elements for SW14
13:39:45: [INFO] Placing additional elements for SW13
13:39:45: [INFO] Placing additional elements for SW12
13:39:45: [INFO] Placing additional elements for SW11
13:39:45: [INFO] Placing additional elements for SW10
13:39:45: [INFO] Placing additional elements for SW9
13:39:45: [INFO] Placing additional elements for SW8
13:39:45: [INFO] Placing additional elements for SW7
13:39:45: [INFO] Placing additional elements for SW6
13:39:45: [INFO] Placing additional elements for SW5
13:39:45: [INFO] Placing additional elements for SW4
13:39:45: [INFO] Placing additional elements for SW3
13:39:45: [INFO] Placing additional elements for SW2a
13:39:45: [INFO] Placing additional elements for SW2
13:39:45: [INFO] Placing additional elements for SW1
13:39:45: [INFO] Routing SW72 with D72
13:39:45: [INFO] Using internal autorouter method
