=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:35:46: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgMwBo7gJ6zgBgHQCYVwAHTcAYQAkBJMgaQBkBRAFXEIDNMAODgQ02ABGALoBfQliQI2cCNHgB2cagCsU8MKQAoMFEyDJqDPAC0uAJwrl4NQBYN23fLgEjmMznPXJeGXP3eSPYo-orWar6aOhDGcB5caqgAxqQAxLwZmTLgnPDmfAIigVh+4Cnw4KlJ1TXZuXA8qOz88EJiEkiCpc4IgSrdmL2Eav0hevBDqp2l5ajpmRl1mABsBa1Fw0glUU6DhLEeyMlpNbUc3GtwbdaC6mPOSoSr0juhcAb77hZWT0EO0eMXJ9TBYbkhfPcAoRbsFZIDHqhVpFHDEvjgEoRZpUFoswSUxliqqcUmCupCJmDRnCetZVlS3pNwKsyXDCTj+Od4Ksmi0rhtEVt-rsJsC4rgjmUTsSlvBGjleddCARpOS4AjwAp1K9Aa50GiEtYCBDqfpCAA7TAAFwATgBXACmhr+qsS4At8BtDusmthb0E3vBQtRIPRrrZOJlcG58sK7VQBHxrKlp0jcuasadLIZTvpgMZmtzNMImqzkoq8wWkej6fWcY1gu1PVFh0xybOTQuPIzhGQKpNYUIPBeKMBy3wroO30IAGcALaka0Ae0tAH17UlBCyY+sUIY97uD9hD4Z+eBbEgVAAdM3X283+936-2xNvXA-VD5K8P7+P+-2rqNpguqTp4M7zhUdQKqeyDGn61jIL6gLvuAPCIc4-qDoG2ogRixzluykaujWfJ1sgL5lnMxIpJyDSXIqqDIKWRYMReAwUphhaDNYPCluGlY0URUF1jw2wjs4eA4AoE5ooIRGYPkXa1tY55buesFITgyH5MiALoZJ0khgahDnqJALWs4uB4K66GCDghh6vAtg4AgWnTNq5mYG+hA2fpopOa5pm6Na+iuh58ChbE-mtuWCixXF4DKVqI7BRM9lhVG47eZ5OC3G4IZWdFcwEYQAAW+iaYl9jue4CBpc4XC+agzgmLZuUOWKmUdrKdEiKV5WuVVyXuLJhDpR8TXDYVlRxfFNEKduJHWPkLzCEAA
13:35:49: [INFO] Routing pad 'SW57:2' at (235902500, 112077500) with pad 'D57:2' at (238442500, 119757500) using coordinate system rotated by 0 degree(s)
13:35:49: [INFO] Adding track segment (B.Cu): [(235902500, 112077500), (235902500, 117217500)]
13:35:49: [INFO] Adding track segment (B.Cu): [(235902500, 117217500), (238442500, 119757500)]
13:35:49: [INFO] Routing SW56 with D56
13:35:49: [INFO] Using internal autorouter method
13:35:49: [INFO] Routing pad 'SW56:2' at (254952500, 112077500) with pad 'D56:2' at (257492500, 119757500) using coordinate system rotated by 0 degree(s)
13:35:49: [INFO] Adding track segment (B.Cu): [(254952500, 112077500), (254952500, 117217500)]
13:35:49: [INFO] Adding track segment (B.Cu): [(254952500, 117217500), (257492500, 119757500)]
13:35:49: [INFO] Routing SW55 with D55
13:35:49: [INFO] Using internal autorouter method
13:35:49: [INFO] Routing pad 'SW55:2' at (274002500, 114935000) with pad 'D55:2' at (276542500, 122615000) using coordinate system rotated by 0 degree(s)
13:35:49: [INFO] Adding track segment (B.Cu): [(274002500, 114935000), (274002500, 120075000)]
13:35:49: [INFO] Adding track segment (B.Cu): [(274002500, 120075000), (276542500, 122615000)]
13:35:49: [INFO] Routing SW54 with D54
13:35:49: [INFO] Using internal autorouter method
13:35:49: [INFO] Routing pad 'SW54:2' at (212090000, 95885000) with pad 'D54:2' at (214630000, 103565000) using coordinate system rotated by 0 degree(s)
13:35:49: [INFO] Adding track segment (B.Cu): [(212090000, 95885000), (212090000, 101025000)]
13:35:49: [INFO] Adding track segment (B.Cu): [(212090000, 101025000), (214630000, 103565000)]
13:35:49: [INFO] Routing SW53 with D53
13:35:49: [INFO] Using internal autorouter method
13:35:49: [INFO] Routing pad 'SW53:2' at (231140000, 93027500) with pad 'D53:2' at (233680000, 100707500) using coordinate system rotated by 0 degree(s)
13:35:49: [INFO] Adding track segment (B.Cu): [(231140000, 93027500), (231140000, 98167500)]
13:35:49: [INFO] Adding track segment (B.Cu): [(231140000, 98167500), (233680000, 100707500)]
13:35:49: [INFO] Routing SW52 with D52
13:35:49: [INFO] Using internal autorouter method
