=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:27:52: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgIwHYB0CCsAaO4DGscBiAQ1LPAF9twAGTBAZgB0A7V1uhcagJnubaDO4ALqYAUGCgEMaLDgCeBGij4588cIVw7dlapy5jJEaPBVJ54JfAC0KgJxWNRJG-f6cdGtzinlKEjULlq6elRe9L60mDy+-vAICIERMQhx2BAhJGSk0QDuBDypnALsLN6iElJmiFY2cPYoNM4EoWH4qQj0RtUJcCr1BE1OXZg+mdLmga2aObkFMijoY1yT2R2d1N0ZflOIyTwr2-S74N2M8Xht8+TUhYnLqQAs9D7GNQFHwTebnuB8CZ7WoqAAcPzmuTy9yWllSfDWew2HX+fF2-QQKgAbPCetEEejrnN3B4YfAeKpjjhXkkqiYiUQ-qkGOMriCUOD1DcocRFuTKcyoutfijBYTapjmlTwCzadRZYTsjy+XAKUdBYxyqwWUCMXIyYgBfL+FqWLKrsiwv8aTxTeaPnrOQytMqDclpTS2TJnlK3U9qDSGHSpAAnGR0HC1H1Ohq2LHNCGM0UGTBBlPPaJ0dCZzBY6KvPMO-boFAMaXdNM4boZk7Zk6FvrFlA43ip-GYGs4Ph1ru54P9eMtQWVmUd6Isnujhv02rx7pcyFQlXul6xC0iq0Ghir56m7rvRu1VBYg3FAMdvdCpHcper9CX3r0sN2THUCUqZ5DOwUk8LpNWkpMCQHNQRzBwc0xft9klIcTmAk5QJOcCTkgot31UXF4N7RDe2Q3tUMPAgHBmQUsNHHDRzw0cCJnIjKS3VdQVNQF10XBY-Q9TBwLQuj1XPJBmKvLINz0U9GMEowRCAA
13:27:55: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:27:55: [INFO] Add ST44 footprint
13:27:55: [INFO] Add SW45 footprint
13:27:55: [INFO] Add D45 footprint
13:27:55: [INFO] Add SW46 footprint
13:27:55: [INFO] Add D46 footprint
13:27:55: [INFO] Add SW47 footprint
13:27:55: [INFO] Add D47 footprint
13:27:55: [INFO] Add SW48 footprint
13:27:55: [INFO] Add D48 footprint
13:27:55: [INFO] Add SW49 footprint
13:27:55: [INFO] Add D49 footprint
13:27:55: [INFO] Add SW50 footprint
13:27:55: [INFO] Add D50 footprint
13:27:55: [INFO] Add SW51 footprint
13:27:56: [INFO] Add D51 footprint
13:27:56: [INFO] Add SW52 footprint
13:27:56: [INFO] Add D52 footprint
13:27:56: [INFO] Add SW53 footprint
13:27:56: [INFO] Add D53 footprint
13:27:56: [INFO] Add SW54 footprint
13:27:56: [INFO] Add D54 footprint
13:27:56: [INFO] Add SW55 footprint
13:27:56: [INFO] Add D55 footprint
13:27:56: [INFO] Add SW56 footprint
13:27:56: [INFO] Add D56 footprint
13:27:56: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:27:56: [INFO] Add ST56 footprint
13:27:56: [INFO] Add SW56a footprint
13:27:56: [INFO] Add SW57 footprint
13:27:56: [INFO] Add D57 footprint
13:27:56: [INFO] Add SW58 footprint
13:27:56: [INFO] Add D58 footprint
13:27:56: [INFO] Add SW59 footprint
13:27:56: [INFO] Add D59 footprint
13:27:56: [INFO] Add ST59 footprint
13:27:56: [INFO] Add SW59a footprint
13:27:56: [INFO] Add ST59a footprint
13:27:56: [INFO] Add SW60 footprint
13:27:56: [INFO] Add D60 footprint
13:27:56: [INFO] Add SW61 footprint
13:27:56: [INFO] Add D61 footprint
13:27:56: [INFO] Add SW62 footprint
13:27:56: [INFO] Add D62 footprint
13:27:56: [INFO] Add SW63 footprint
13:27:56: [INFO] Add D63 footprint
13:27:56: [INFO] Add ST63 footprint
13:27:56: [INFO] Add SW63a footprint
13:27:56: [INFO] Add ST63a footprint
13:27:56: [INFO] Add SW64 footprint
13:27:56: [INFO] Add D64 footprint
13:27:56: [INFO] Add SW65 footprint
13:27:56: [INFO] Add D65 footprint
13:27:56: [INFO] Add SW66 footprint
13:27:56: [INFO] Add D66 footprint
13:27:56: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:27:56: [INFO] Add ST66 footprint
13:27:56: [INFO] Add SW67 footprint
13:27:57: [INFO] Add D67 footprint
13:27:57: [INFO] Add SW68 footprint
13:27:57: [INFO] Add D68 footprint
13:27:57: [INFO] Detected layout convertible to matrix annotated keyboard
13:27:57: [INFO] Using key 1U distance: (19.05, 19.05) mm
13:27:57: [INFO] Layout offset: (25717500, 24765000)
13:27:57: [INFO] Diode info: [ElementInfo(annotation_format='D{}', position_option=<PositionOption.CUSTOM: 'Custom'>, position=ElementPosition(x=5.08, y=4.0, orientation=90.0, side=<Side.BACK: 'Back'>), template_path='', start_index=-1)]
13:27:57: [INFO] Placing additional elements for SW68
13:27:57: [INFO] Placing additional elements for SW67
13:27:57: [INFO] Placing additional elements for SW66
13:27:57: [INFO] Placing additional elements for SW65
13:27:57: [INFO] Placing additional elements for SW64
13:27:57: [INFO] Placing additional elements for SW63a
13:27:57: [INFO] Placing additional elements for SW63
13:27:57: [INFO] Placing additional elements for SW62
13:27:57: [INFO] Placing additional elements for SW61
13:27:57: [INFO] Placing additional elements for SW60
13:27:57: [INFO] Placing additional elements for SW59a
13:27:57: [INFO] Placing additional elements for SW59
13:27:57: [INFO] Placing additional elements for SW58
13:27:57: [INFO] Placing additional elements for SW57
13:27:57: [INFO] Placing additional elements for SW56a
13:27:57: [INFO] Placing additional elements for SW56
13:27:57: [INFO] Placing additional elements for SW55
13:27:57: [INFO] Placing additional elements for SW54
13:27:57: [INFO] Placing additional elements for SW53
13:27:57: [INFO] Placing additional elements for SW52
13:27:57: [INFO] Placing additional elements for SW51
13:27:57: [INFO] Placing additional elements for SW50
13:27:57: [INFO] Placing additional elements for SW49
13:27:57: [INFO] Placing additional elements for SW48
13:27:57: [INFO] Placing additional elements for SW47
13:27:57: [INFO] Placing additional elements for SW46
13:27:57: [INFO] Placing additional elements for SW45
13:27:57: [INFO] Placing additional elements for SW44
13:27:57: [INFO] Placing additional elements for SW43
13:27:57: [INFO] Placing additional elements for SW42
13:27:57: [INFO] Placing additional elements for SW41
13:27:57: [INFO] Placing additional elements for SW40
13:27:57: [INFO] Placing additional elements for SW39
13:27:57: [INFO] Placing additional elements for SW38
13:27:57: [INFO] Placing additional elements for SW37
13:27:57: [INFO] Placing additional elements for SW36
13:27:57: [INFO] Placing additional elements for SW35
13:27:57: [INFO] Placing additional elements for SW34
13:27:57: [INFO] Placing additional elements for SW33
13:27:57: [INFO] Placing additional elements for SW32
13:27:57: [INFO] Placing additional elements for SW31
13:27:57: [INFO] Placing additional elements for SW30
13:27:57: [INFO] Placing additional elements for SW29
13:27:57: [INFO] Placing additional elements for SW28
13:27:57: [INFO] Placing additional elements for SW27
13:27:57: [INFO] Placing additional elements for SW26
13:27:57: [INFO] Placing additional elements for SW25
13:27:57: [INFO] Placing additional elements for SW24
13:27:57: [INFO] Placing additional elements for SW23
13:27:57: [INFO] Placing additional elements for SW22
13:27:57: [INFO] Placing additional elements for SW21
13:27:57: [INFO] Placing additional elements for SW20
13:27:57: [INFO] Placing additional elements for SW19
13:27:57: [INFO] Placing additional elements for SW18
13:27:57: [INFO] Placing additional elements for SW17
13:27:57: [INFO] Placing additional elements for SW16
13:27:57: [INFO] Placing additional elements for SW15
13:27:57: [INFO] Placing additional elements for SW14a
13:27:57: [INFO] Placing additional elements for SW14
13:27:57: [INFO] Placing additional elements for SW13
13:27:57: [INFO] Placing additional elements for SW12
13:27:57: [INFO] Placing additional elements for SW11
13:27:57: [INFO] Placing additional elements for SW10
13:27:57: [INFO] Placing additional elements for SW9
13:27:57: [INFO] Placing additional elements for SW8
13:27:57: [INFO] Placing additional elements for SW7
13:27:57: [INFO] Placing additional elements for SW6
13:27:57: [INFO] Placing additional elements for SW5
13:27:57: [INFO] Placing additional elements for SW4
13:27:57: [INFO] Placing additional elements for SW3
13:27:57: [INFO] Placing additional elements for SW2
13:27:57: [INFO] Placing additional elements for SW1
13:27:57: [INFO] Routing SW68 with D68
13:27:57: [INFO] Using internal autorouter method
13:27:57: [INFO] Routing pad 'SW68:2' at (373062500, 129222500) with pad 'D68:2' at (375602500, 136902500) using coordinate system rotated by 0 degree(s)
13:27:57: [INFO] Adding track segment (B.Cu): [(373062500, 129222500), (373062500, 134362500)]
13:27:57: [INFO] Adding track segment (B.Cu): [(373062500, 134362500), (375602500, 136902500)]
13:27:57: [INFO] Routing SW67 with D67
13:27:57: [INFO] Using internal autorouter method
13:27:57: [INFO] Routing pad 'SW67:2' at (387350000, 110172500) with pad 'D67:2' at (389890000, 117852500) using coordinate system rotated by 0 degree(s)
13:27:57: [INFO] Adding track segment (B.Cu): [(387350000, 110172500), (387350000, 115312500)]
13:27:57: [INFO] Adding track segment (B.Cu): [(387350000, 115312500), (389890000, 117852500)]
13:27:57: [INFO] Routing SW66 with D66
13:27:57: [INFO] Using internal autorouter method
13:27:57: [INFO] Routing pad 'SW66:2' at (381158750, 91122500) with pad 'D66:2' at (383698750, 98802500) using coordinate system rotated by 0 degree(s)
13:27:57: [INFO] Adding track segment (B.Cu): [(381158750, 91122500), (381158750, 96262500)]
13:27:57: [INFO] Adding track segment (B.Cu): [(381158750, 96262500), (383698750, 98802500)]
13:27:57: [INFO] Routing SW65 with D65
13:27:57: [INFO] Using internal autorouter method
13:27:57: [INFO] Routing pad 'SW65:2' at (385445000, 72072500) with pad 'D65:2' at (387985000, 79752500) using coordinate system rotated by 0 degree(s)
13:27:57: [INFO] Adding track segment (B.Cu): [(385445000, 72072500), (385445000, 77212500)]
13:27:57: [INFO] Adding track segment (B.Cu): [(385445000, 77212500), (387985000, 79752500)]
13:27:57: [INFO] Routing SW64 with D64
13:27:57: [INFO] Using internal autorouter method
13:27:57: [INFO] Routing pad 'SW64:2' at (298184601, 129215929) with pad 'D64:2' at (302019631, 136338186) using coordinate system rotated by 350.0 degree(s)
13:27:57: [INFO] Adding track segment (B.Cu): [(298184601, 129215929), (299077152, 134277840)]
13:27:57: [INFO] Adding track segment (B.Cu): [(299077152, 134277840), (302019631, 136338186)]
13:27:57: [INFO] Routing SW63a with D63
13:27:57: [INFO] Using internal autorouter method
13:27:57: [INFO] Routing pad 'SW63a:2' at (265353573, 135004925) with pad 'D63:2' at (259808309, 143781181) using coordinate system rotated by 350.0 degree(s)
13:27:57: [INFO] Routing SW63 with D63
13:27:57: [INFO] Using internal autorouter method
13:27:57: [INFO] Routing pad 'SW63:2' at (255973279, 136658924) with pad 'D63:2' at (259808309, 143781181) using coordinate system rotated by 350.0 degree(s)
13:27:57: [INFO] Adding track segment (B.Cu): [(255973279, 136658924), (256865829, 141720835)]
13:27:57: [INFO] Adding track segment (B.Cu): [(256865829, 141720835), (259808309, 143781181)]
13:27:57: [INFO] Routing SW62 with D62
13:27:57: [INFO] Using internal autorouter method
13:27:57: [INFO] Routing pad 'SW62:2' at (237212691, 139966921) with pad 'D62:2' at (241047721, 147089178) using coordinate system rotated by 350.0 degree(s)
13:27:57: [INFO] Adding track segment (B.Cu): [(237212691, 139966921), (238105242, 145028832)]
13:27:57: [INFO] Adding track segment (B.Cu): [(238105242, 145028832), (241047721, 147089178)]
13:27:57: [INFO] Routing SW61 with D61
13:27:57: [INFO] Using internal autorouter method
13:27:57: [INFO] Routing pad 'SW61:2' at (201093511, 65038063) with pad 'D61:2' at (202261304, 73042452) using coordinate system rotated by 10.0 degree(s)
13:27:57: [INFO] Adding track segment (B.Cu): [(201093511, 65038063), (200200958, 70099974)]
13:27:57: [INFO] Adding track segment (B.Cu): [(200200958, 70099974), (202261304, 73042452)]
13:27:57: [INFO] Routing SW60 with D60
13:27:57: [INFO] Using internal autorouter method
13:27:57: [INFO] Routing pad 'SW60:2' at (202869990, 142726812) with pad 'D60:2' at (204037783, 150731201) using coordinate system rotated by 10.0 degree(s)
13:27:57: [INFO] Adding track segment (B.Cu): [(202869990, 142726812), (201977437, 147788723)]
13:27:57: [INFO] Adding track segment (B.Cu): [(201977437, 147788723), (204037783, 150731201)]
13:27:57: [INFO] Routing SW59a with D59
13:27:57: [INFO] Using internal autorouter method
13:27:57: [INFO] Routing pad 'SW59a:2' at (174729109, 137764815) with pad 'D59:2' at (185277196, 147423203) using coordinate system rotated by 10.0 degree(s)
13:27:57: [INFO] Routing SW59 with D59
13:27:57: [INFO] Using internal autorouter method
13:27:57: [INFO] Routing pad 'SW59:2' at (184109403, 139418814) with pad 'D59:2' at (185277196, 147423203) using coordinate system rotated by 10.0 degree(s)
13:27:57: [INFO] Adding track segment (B.Cu): [(184109403, 139418814), (183216851, 144480725)]
13:27:57: [INFO] Adding track segment (B.Cu): [(183216851, 144480725), (185277196, 147423203)]
13:27:57: [INFO] Routing SW58 with D58
13:27:57: [INFO] Using internal autorouter method
13:27:57: [INFO] Routing pad 'SW58:2' at (141898080, 131975819) with pad 'D58:2' at (143065873, 139980208) using coordinate system rotated by 10.0 degree(s)
13:27:57: [INFO] Adding track segment (B.Cu): [(141898080, 131975819), (141005527, 137037729)]
13:27:57: [INFO] Adding track segment (B.Cu): [(141005527, 137037729), (143065873, 139980208)]
13:27:57: [INFO] Routing SW57 with D57
13:27:57: [INFO] Using internal autorouter method
13:27:57: [INFO] Routing pad 'SW57:2' at (76835000, 129222500) with pad 'D57:2' at (79375000, 136902500) using coordinate system rotated by 0 degree(s)
13:27:57: [INFO] Adding track segment (B.Cu): [(76835000, 129222500), (76835000, 134362500)]
13:27:57: [INFO] Adding track segment (B.Cu): [(76835000, 134362500), (79375000, 136902500)]
13:27:57: [INFO] Routing SW56a with D56
13:27:57: [INFO] Using internal autorouter method
13:27:57: [INFO] Routing pad 'SW56a:2' at (365918750, 110172500) with pad 'D56:2' at (377983750, 117852500) using coordinate system rotated by 0 degree(s)
13:27:57: [INFO] Routing SW56 with D56
13:27:57: [INFO] Using internal autorouter method
13:27:57: [INFO] Routing pad 'SW56:2' at (375443750, 110172500) with pad 'D56:2' at (377983750, 117852500) using coordinate system rotated by 0 degree(s)
13:27:57: [INFO] Adding track segment (B.Cu): [(375443750, 110172500), (375443750, 115312500)]
13:27:57: [INFO] Adding track segment (B.Cu): [(375443750, 115312500), (377983750, 117852500)]
13:27:57: [INFO] Routing SW55 with D55
13:27:57: [INFO] Using internal autorouter method
13:27:57: [INFO] Routing pad 'SW55:2' at (344487500, 110172500) with pad 'D55:2' at (347027500, 117852500) using coordinate system rotated by 0 degree(s)
13:27:57: [INFO] Adding track segment (B.Cu): [(344487500, 110172500), (344487500, 115312500)]
13:27:57: [INFO] Adding track segment (B.Cu): [(344487500, 115312500), (347027500, 117852500)]
13:27:57: [INFO] Routing SW54 with D54
13:27:57: [INFO] Using internal autorouter method
