=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:30:02: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIGNwLgAnAYgOyreANAgLrBAGcAXy3Hw3wB0A7AUQGUBhTOCADzwEZTp4lIBg4qXIAmFmQwBmCeQAssjAFYW7PPgB0SkgQwA2RckUAORQE5V4DvE3aRGToXudOizuOcysam1tIBnAFs8cAAnAHtsAH0AU0gXYV1OJRpU6jSM9OoYwgBdDAAoMHAAT3UNfCUA4L5E8G4nBG5XUm4PJukJbgVW5S79fqNe016LXsd+hPH2iF4ERABDJeWJAHc8UQ1ROw7OL1YrcuQd+ocFfKKIMt9K0nX4Tg1jnXBRCks5-kEBOreWhDe7VenVIbx6AL6oIGUKGEJGELGEImUKmSJm4HucEeJz++x8cE0xx4IUWyyWvzO4AuxWuBIqVQQmNELyk728UBJ3x+LIcElZQNZ+3ArPBwshCFZBlIrNhYvhYsRYuREoc-1mJLQ6DuGy2J1Ze0s1jpRIQn1JZLq+vOhRp5VujJ1JzkbIOZq50BezqBzqFztFzpUpGdUoQztlzvlzsVzuV4Bjao5fHNK21DyeToc6KNtmJSc1qDqMbxh1821z8zJ5M9lOpVztDIxXC0LyqjQgmMe2xbvPZHd13fRbq5azwem7IfVScrCzqVUVVWV7abXdIC4T2d15aQ+aM3fchvKK4QC+LG6P4AX51yQA
13:30:07: [INFO] Add D76 footprint
13:30:07: [INFO] Add ST76 footprint
13:30:07: [INFO] Add SW77 footprint
13:30:07: [INFO] Add D77 footprint
13:30:07: [INFO] Add SW78 footprint
13:30:07: [INFO] Add D78 footprint
13:30:07: [INFO] Add SW79 footprint
13:30:07: [INFO] Add D79 footprint
13:30:07: [INFO] Add SW80 footprint
13:30:07: [INFO] Add D80 footprint
13:30:07: [INFO] Add SW81 footprint
13:30:08: [INFO] Add D81 footprint
13:30:08: [INFO] Add SW82 footprint
13:30:08: [INFO] Add D82 footprint
13:30:08: [INFO] Detected layout convertible to matrix annotated keyboard
13:30:08: [INFO] Using key 1U distance: (19.05, 19.05) mm
13:30:08: [INFO] Layout offset: (28575000, 28575000)
13:30:08: [INFO] Diode info: [ElementInfo(annotation_format='D{}', position_option=<PositionOption.CUSTOM: 'Custom'>, position=ElementPosition(x=5.08, y=4.0, orientation=90.0, side=<Side.BACK: 'Back'>), template_path='', start_index=-1)]
13:30:08: [INFO] Placing additional elements for SW82
13:30:08: [INFO] Placing additional elements for SW81
13:30:08: [INFO] Placing additional elements for SW80
13:30:08: [INFO] Placing additional elements for SW79
13:30:08: [INFO] Placing additional elements for SW78
13:30:08: [INFO] Placing additional elements for SW77
13:30:08: [INFO] Placing additional elements for SW76
13:30:08: [INFO] Placing additional elements for SW75
