=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:32:55: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgIwDYB0SCsAaO4DGscBiAQ1LPAF9twsEAmAHQDtnmAGTBca2gZlZZMOXALqYAUGCgFeKAOzUAngTYo61fPHCFcuvZWoc63OBGjwAnCgvoqOWm3BjJZggnlKCAWlU274DkdDThNXeAR3Px5OLmwITSIycmoAdwI6f1pGQXZMINM8Am09fX8ADk4AFicJKXNESpQsHGV4HxQ2W2okTkdnOrcmzzbfZsKtEiTiE3A08Kb-BDzQ8aIS3QMcJdiC+oiF7piZnvoVhO0p6dTBrpwT3jOinXXN8BPq-rCG638FBHzwH8dvEnpcZnM4HQ1LdAZxjHFVsUXr8qit6l4EGUUGUxudJklwYM5DD1PkQRN1vh-OpRLUvu5OhpQVNCfAoXQYbxlgi8ZTXlzgdJwqpeOVejMKhFHhMwdd5sSxaceU85Kq1a9JQ9lRTkdQLKjPkLEB1ccyCXLjTDKtycNbBXt3OgxhDHf59f80Sp5KaJmr1W6jnq4TN3Q9DQAnAiNa04eqNNjqFredwIfU4PGynAug62zDGCNuDixgjoE3DOBeUvoHrpp58-wcLU4DjVYLoGbW9uGuNoRZ5mZLJvgJatraYLt0o2NHHU-vUdRD9Sj8DqCcuI2l0XULnwnBcodc5dctcDeCoJa131+uSsyHe-zWyoCZhLPqT+rni3uBXUa38HJMNs0prLquZPgBQEFm0-zUPUVg2OWXhQhYmSYEgMxYDe0RlBhmAWDU65wU0MI9OhhxYXcmA4Yc+HdgQVhyCiZE4AoFGwtRLF4QRp5wFYHJisx4AVGxFQcUJXF0ZYTJXn6t7sjC+pyM+TCksBFwsl+ObgPqOGSbx0kgSUrz6kgyk0mphDXmx2b8UGSkAeZUEVlCYx7LIFRJm0sgKJeiQsgGtEiEAA
13:33:01: [INFO] Placing additional elements for SW11
13:33:01: [INFO] Placing additional elements for SW10
13:33:01: [INFO] Placing additional elements for SW9
13:33:01: [INFO] Placing additional elements for SW8
13:33:01: [INFO] Placing additional elements for SW7
13:33:01: [INFO] Placing additional elements for SW6
13:33:01: [INFO] Placing additional elements for SW5
13:33:01: [INFO] Placing additional elements for SW4
13:33:01: [INFO] Placing additional elements for SW3
13:33:01: [INFO] Placing additional elements for SW2
13:33:01: [INFO] Placing additional elements for SW1
13:33:01: [INFO] Routing SW73 with D73
13:33:01: [INFO] Using internal autorouter method
13:33:01: [INFO] Routing pad 'SW73:2' at (414972500, 110172500) with pad 'D73:2' at (417512500, 117852500) using coordinate system rotated by 0 degree(s)
13:33:01: [INFO] Adding track segment (B.Cu): [(414972500, 110172500), (414972500, 115312500)]
13:33:01: [INFO] Adding track segment (B.Cu): [(414972500, 115312500), (417512500, 117852500)]
13:33:01: [INFO] Routing SW72 with D72
13:33:01: [INFO] Using internal autorouter method
13:33:01: [INFO] Routing pad 'SW72:2' at (414972500, 129222500) with pad 'D72:2' at (417512500, 136902500) using coordinate system rotated by 0 degree(s)
13:33:01: [INFO] Adding track segment (B.Cu): [(414972500, 129222500), (414972500, 134362500)]
13:33:01: [INFO] Adding track segment (B.Cu): [(414972500, 134362500), (417512500, 136902500)]
13:33:01: [INFO] Routing SW71 with D71
13:33:01: [INFO] Using internal autorouter method
13:33:01: [INFO] Routing pad 'SW71:2' at (395922500, 129222500) with pad 'D71:2' at (398462500, 136902500) using coordinate system rotated by 0 degree(s)
13:33:01: [INFO] Adding track segment (B.Cu): [(395922500, 129222500), (395922500, 134362500)]
13:33:01: [INFO] Adding track segment (B.Cu): [(395922500, 134362500), (398462500, 136902500)]
13:33:01: [INFO] Routing SW70 with D70
13:33:01: [INFO] Using internal autorouter method
13:33:01: [INFO] Routing pad 'SW70:2' at (376872500, 129222500) with pad 'D70:2' at (379412500, 136902500) using coordinate system rotated by 0 degree(s)
13:33:01: [INFO] Adding track segment (B.Cu): [(376872500, 129222500), (376872500, 134362500)]
13:33:01: [INFO] Adding track segment (B.Cu): [(376872500, 134362500), (379412500, 136902500)]
13:33:01: [INFO] Routing SW69 with D69
13:33:01: [INFO] Using internal autorouter method
13:33:01: [INFO] Routing pad 'SW69:2' at (338772500, 129222500) with pad 'D69:2' at (341312500, 136902500) using coordinate system rotated by 0 degree(s)
13:33:01: [INFO] Adding track segment (B.Cu): [(338772500, 129222500), (338772500, 134362500)]
13:33:01: [INFO] Adding track segment (B.Cu): [(338772500, 134362500), (341312500, 136902500)]
13:33:01: [INFO] Routing SW68 with D68
13:33:01: [INFO] Using internal autorouter method
13:33:01: [INFO] Routing pad 'SW68:2' at (314079793, 129500426) with pad 'D68:2' at (316952372, 137062322) using coordinate system rotated by 357.5 degree(s)
13:33:01: [INFO] Adding track segment (B.Cu): [(314079793, 129500426), (314303996, 134635532)]
13:33:01: [INFO] Adding track segment (B.Cu): [(314303996, 134635532), (316952372, 137062322)]
13:33:01: [INFO] Routing SW67 with D67
13:33:01: [INFO] Using internal autorouter method
13:33:01: [INFO] Routing pad 'SW67:2' at (287831113, 131585897) with pad 'D67:2' at (291666143, 138708154) using coordinate system rotated by 350.0 degree(s)
13:33:01: [INFO] Adding track segment (B.Cu): [(287831113, 131585897), (288723664, 136647808)]
13:33:01: [INFO] Adding track segment (B.Cu): [(288723664, 136647808), (291666143, 138708154)]
13:33:01: [INFO] Routing SW66a with D66
13:33:01: [INFO] Using internal autorouter method
13:33:01: [INFO] Routing pad 'SW66a:2' at (262035305, 136134394) with pad 'D66:2' at (256490041, 144910650) using coordinate system rotated by 350.0 degree(s)
13:33:01: [INFO] Routing SW66 with D66
13:33:01: [INFO] Using internal autorouter method
13:33:01: [INFO] Routing pad 'SW66:2' at (252655011, 137788393) with pad 'D66:2' at (256490041, 144910650) using coordinate system rotated by 350.0 degree(s)
13:33:01: [INFO] Adding track segment (B.Cu): [(252655011, 137788393), (253547562, 142850303)]
13:33:01: [INFO] Adding track segment (B.Cu): [(253547562, 142850303), (256490041, 144910650)]
13:33:01: [INFO] Routing SW65 with D65
13:33:01: [INFO] Using internal autorouter method
13:33:01: [INFO] Routing pad 'SW65:2' at (240929644, 139855891) with pad 'D65:2' at (244764674, 146978148) using coordinate system rotated by 350.0 degree(s)
13:33:01: [INFO] Adding track segment (B.Cu): [(240929644, 139855891), (241822194, 144917801)]
13:33:01: [INFO] Adding track segment (B.Cu): [(241822194, 144917801), (244764674, 146978148)]
13:33:01: [INFO] Routing SW64 with D64
13:33:01: [INFO] Using internal autorouter method
13:33:01: [INFO] Routing pad 'SW64:2' at (401637500, 53022500) with pad 'D64:2' at (404177500, 60702500) using coordinate system rotated by 0 degree(s)
13:33:01: [INFO] Adding track segment (B.Cu): [(401637500, 53022500), (401637500, 58162500)]
13:33:01: [INFO] Adding track segment (B.Cu): [(401637500, 58162500), (404177500, 60702500)]
13:33:01: [INFO] Routing SW63 with D63
13:33:01: [INFO] Using internal autorouter method
13:33:01: [INFO] Routing pad 'SW63:2' at (395922500, 110172500) with pad 'D63:2' at (398462500, 117852500) using coordinate system rotated by 0 degree(s)
13:33:01: [INFO] Adding track segment (B.Cu): [(395922500, 110172500), (395922500, 115312500)]
13:33:01: [INFO] Adding track segment (B.Cu): [(395922500, 115312500), (398462500, 117852500)]
13:33:01: [INFO] Routing SW62 with D62
