=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:33:40: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgEwAYC+AaO4loIwGYAdAO2OOx3Ay1wBZSSjzwBdNAKDCljgHYqBPbkgB0AVioBjbuADEPeQvDpM2JJTgQp8WRN16lVJobQJ11PGew1LaUTYBsNnjYAcNgJw2ca4zgq-TDE1pGQBDcIizAHduBGVqfHoyNB8VXDtWDghoeD5MGPgcMXicFPVg7Rk9fRKTM1KLKlLrJtt6tEdW51a3Vs9W73a-IcDMUvxy8C1MMIjw6O4i0VqcOgZiUtTwcbsgrkKxSRCFRSoCuCKEcUwAC1iz0wPr8BvHi6pIN4BaESv4hFoSSI4xY7E4OV4R0qc3mZ0Wwh4yyoANSFRm1V0BkwANG4ABjWxaBahN2hM6hO6hN6hP6hMGyNw-jpozRshO8gW8AQwj+DNWQM2k2mshhoSxePSkwhImewqqGPF4zW9BBmXB3BoUJmos5Fx5SMweBSQIBTNZ8uq4qNOBNuClQgRspCOrhXP18SNSFtqKmIQxUg9dSoRoJ4CNxLDbWDHTMRspkepkdpkfphsZQudMN1RURgYm0dWsclauy3Dy4HOlwN4E1XvWRE9Gcq-uz7qompt9cbezlLvy8N5mE1hC7ZR7foVrrg9jbQ46QO7Gl90KzU6W8Q7dfoi4gleK7dwCAXY7n+dPEY7GTBpdyAgdVzX+7nW4Y1sme+rHePZuX6Mn-dyDd51HH9e1XAC9U-XAX2IN89g-ICcCPEDQSyfZIUwQR4F+Z490HGtjVHFlfx0f8KwHKDO23IMlzAuZW3w4dj2IuUWynGdGOA6iWMzejH047xmPfCjEKo186hLdDyywuAcMfKCYIbNACXNFtEOPFSSNmPiIPXA8R2ozTWLI84eCA+wNKbbVwPIp5RMsySIWk+9cPhBTj2JG89WwXSnwI5DqM8rS2IgsyDws0cgroyJ5PsyLUPVXJDkwlytVIy0gMUo1SXNPtbMg9TRxy4KTLLczj2K6LYV8yisqjU8xNgtpmGYIA
13:33:45: [INFO] Add D55 footprint
13:33:45: [INFO] Add SW56 footprint
13:33:45: [INFO] Add D56 footprint
13:33:45: [INFO] Add SW57 footprint
13:33:45: [INFO] Add D57 footprint
13:33:45: [INFO] Add SW58 footprint
13:33:45: [INFO] Add D58 footprint
13:33:45: [INFO] Add SW59 footprint
13:33:45: [INFO] Add D59 footprint
13:33:45: [INFO] Add SW60 footprint
13:33:45: [INFO] Add D60 footprint
13:33:45: [INFO] Add SW61 footprint
13:33:45: [INFO] Add D61 footprint
13:33:45: [INFO] Add SW61a footprint
13:33:45: [INFO] Add SW61b footprint
13:33:45: [INFO] Add SW62 footprint
13:33:45: [INFO] Add D62 footprint
13:33:45: [INFO] Add SW62a footprint
13:33:46: [INFO] Add SW62b footprint
13:33:46: [INFO] Add SW62c footprint
13:33:46: [INFO] Add SW63 footprint
13:33:46: [INFO] Add D63 footprint
13:33:46: [INFO] Add SW64 footprint
13:33:46: [INFO] Add D64 footprint
13:33:46: [INFO] Add SW64a footprint
13:33:46: [INFO] Add SW65 footprint
13:33:46: [INFO] Add D65 footprint
13:33:46: [INFO] Add ST65 footprint
13:33:46: [INFO] Add SW65a footprint
13:33:46: [INFO] Add ST65a footprint
13:33:46: [INFO] Add SW65b footprint
13:33:46: [INFO] Add ST65b footprint
13:33:46: [INFO] Add SW65c footprint
13:33:46: [INFO] Add ST65c footprint
13:33:46: [INFO] Add SW66 footprint
13:33:46: [INFO] Add D66 footprint
13:33:46: [INFO] Add SW66a footprint
13:33:46: [INFO] Add SW66b footprint
13:33:46: [INFO] Add SW67 footprint
13:33:46: [INFO] Add D67 footprint
13:33:46: [INFO] Add SW67a footprint
13:33:46: [INFO] Add SW67b footprint
13:33:46: [INFO] Add SW68 footprint
13:33:46: [INFO] Add D68 footprint
13:33:46: [INFO] Add SW69 footprint
13:33:46: [INFO] Add D69 footprint
13:33:46: [INFO] Add SW70 footprint
13:33:46: [INFO] Add D70 footprint
13:33:46: [INFO] Add SW71 footprint
13:33:46: [INFO] Add D71 footprint
13:33:46: [INFO] Detected layout convertible to matrix annotated keyboard
13:33:46: [INFO] Using key 1U distance: (19.05, 19.05) mm
13:33:46: [INFO] Layout offset: (28575000, 38100000)
13:33:46: [INFO] Diode info: [ElementInfo(annotation_format='D{}', position_option=<PositionOption.CUSTOM: 'Custom'>, position=ElementPosition(x=5.08, y=4.0, orientation=90.0, side=<Side.BACK: 'Back'>), template_path='', start_index=-1)]
13:33:46: [INFO] Placing additional elements for SW71
13:33:46: [INFO] Placing additional elements for SW70
13:33:46: [INFO] Placing additional elements for SW69
13:33:46: [INFO] Placing additional elements for SW68
13:33:46: [INFO] Placing additional elements for SW67b
13:33:46: [INFO] Placing additional elements for SW67a
13:33:46: [INFO] Placing additional elements for SW67
13:33:46: [INFO] Placing additional elements for SW66b
13:33:46: [INFO] Placing additional elements for SW66a
13:33:46: [INFO] Placing additional elements for SW66
13:33:46: [INFO] Placing additional elements for SW65c
13:33:46: [INFO] Placing additional elements for SW65b
13:33:46: [INFO] Placing additional elements for SW65a
13:33:46: [INFO] Placing additional elements for SW65
13:33:46: [INFO] Placing additional elements for SW64a
13:33:46: [INFO] Placing additional elements for SW64
13:33:46: [INFO] Placing additional elements for SW63
13:33:46: [INFO] Placing additional elements for SW62c
13:33:46: [INFO] Placing additional elements for SW62b
13:33:46: [INFO] Placing additional elements for SW62a
13:33:46: [INFO] Placing additional elements for SW62
13:33:46: [INFO] Placing additional elements for SW61b
13:33:46: [INFO] Placing additional elements for SW61a
13:33:46: [INFO] Placing additional elements for SW61
13:33:46: [INFO] Placing additional elements for SW60
13:33:46: [INFO] Placing additional elements for SW59
13:33:46: [INFO] Placing additional elements for SW58
13:33:46: [INFO] Placing additional elements for SW57
13:33:46: [INFO] Placing additional elements for SW56
13:33:46: [INFO] Placing additional elements for SW55
13:33:46: [INFO] Placing additional elements for SW54
13:33:46: [INFO] Placing additional elements for SW53
13:33:46: [INFO] Placing additional elements for SW52
13:33:46: [INFO] Placing additional elements for SW51
13:33:46: [INFO] Placing additional elements for SW50
13:33:46: [INFO] Placing additional elements for SW49
13:33:46: [INFO] Placing additional elements for SW48
13:33:46: [INFO] Placing additional elements for SW47
13:33:46: [INFO] Placing additional elements for SW46a
13:33:46: [INFO] Placing additional elements for SW46
13:33:46: [INFO] Placing additional elements for SW45
13:33:46: [INFO] Placing additional elements for SW44a
13:33:46: [INFO] Placing additional elements for SW44
13:33:46: [INFO] Placing additional elements for SW43
13:33:46: [INFO] Placing additional elements for SW42
13:33:46: [INFO] Placing additional elements for SW41
13:33:46: [INFO] Placing additional elements for SW40
13:33:46: [INFO] Placing additional elements for SW39
13:33:46: [INFO] Placing additional elements for SW38
13:33:46: [INFO] Placing additional elements for SW37
13:33:46: [INFO] Placing additional elements for SW36
13:33:46: [INFO] Placing additional elements for SW35
13:33:46: [INFO] Placing additional elements for SW34
13:33:46: [INFO] Placing additional elements for SW33
13:33:46: [INFO] Placing additional elements for SW32
13:33:46: [INFO] Placing additional elements for SW31
13:33:46: [INFO] Placing additional elements for SW30a
13:33:46: [INFO] Placing additional elements for SW30
13:33:46: [INFO] Placing additional elements for SW29
13:33:46: [INFO] Placing additional elements for SW28
13:33:46: [INFO] Placing additional elements for SW27
13:33:46: [INFO] Placing additional elements for SW26
13:33:46: [INFO] Placing additional elements for SW25
13:33:46: [INFO] Placing additional elements for SW24
13:33:46: [INFO] Placing additional elements for SW23
13:33:46: [INFO] Placing additional elements for SW22
13:33:46: [INFO] Placing additional elements for SW21
13:33:46: [INFO] Placing additional elements for SW20
13:33:46: [INFO] Placing additional elements for SW19
13:33:46: [INFO] Placing additional elements for SW18
13:33:46: [INFO] Placing additional elements for SW17
13:33:46: [INFO] Placing additional elements for SW16
13:33:46: [INFO] Placing additional elements for SW15
13:33:46: [INFO] Placing additional elements for SW14a
13:33:46: [INFO] Placing additional elements for SW14
13:33:46: [INFO] Placing additional elements for SW13
13:33:46: [INFO] Placing additional elements for SW12
13:33:46: [INFO] Placing additional elements for SW11
13:33:46: [INFO] Placing additional elements for SW10
13:33:46: [INFO] Placing additional elements for SW9
13:33:46: [INFO] Placing additional elements for SW8
13:33:46: [INFO] Placing additional elements for SW7
13:33:46: [INFO] Placing additional elements for SW6
13:33:46: [INFO] Placing additional elements for SW5
13:33:46: [INFO] Placing additional elements for SW4
13:33:46: [INFO] Placing additional elements for SW3
13:33:46: [INFO] Placing additional elements for SW2
13:33:46: [INFO] Placing additional elements for SW1
13:33:46: [INFO] Routing SW71 with D71
13:33:46: [INFO] Using internal autorouter method
