=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:28:39: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgAwDoDMA2ANHcBPWjUAOLcAY33AGIB2Wu8AXxIQwXCwnPitN78eYYAjOAC6GAFBgo+IUKQAWEnngBaZAE4NTbCyFsOZCpQCGZ8wN3CRgoQCYxk6dHjI7dkgHdZSOwFYdcCFWdjhOYz5+QOCRcSkIFzg5JGoNZXx1JC1o4QMwo24aOlpQ8G94eWoAkhiHOOd8ZARqEi5sU3MzUvKklOrsDzzwwsjeS3APWKcE2XkFFHS1TW0SSbyJ61Dh9s6urx9-QMm66ZlXJCEW7B75Q5IFobKD-vAFqfizpLskBDQ07BUcEyWn2FV8LzeNnyN3BgTeJw+ACd8MRsIlvn5FkCFIoPNg2jxRuMWA5BChSiwFBSMH5HB90X0cqTsMFyTUMFT2bT6jN4ChYasMMyNmyBhzSh5uadEkp8cZdiZus84RgUAAdAB2ms1LEeBMoo3IoLgdhVfm1Wo1urpDXgstwjXBxtN91VFp1wi2BR2uyVYLu2AW5stHve0mRalRn2oFyxqn5KAWcpGRMCLDQ1Oo1MI1I0Nt5cBjKBewQz7Kz7Jz7LzPM+aCQhBeHjLYorYqrYpr0vw9cbzoFgYwaHdGuCevlvuNtwhGEII7H+brDcxAMd-inA9eQ-nnsM+sNfpNm4Wc5Do89olEQA
13:28:43: [INFO] Routing pad 'SW25:2' at (284575249, 52451000) with pad 'D25:2' at (287115249, 60131000) using coordinate system rotated by 0 degree(s)
13:28:43: [INFO] Adding track segment (B.Cu): [(284575249, 52451000), (284575249, 57591000)]
13:28:43: [INFO] Adding track segment (B.Cu): [(284575249, 57591000), (287115249, 60131000)]
13:28:43: [INFO] Routing SW24 with D24
13:28:43: [INFO] Using internal autorouter method
13:28:43: [INFO] Routing pad 'SW24:2' at (258381499, 52451000) with pad 'D24:2' at (260921499, 60131000) using coordinate system rotated by 0 degree(s)
13:28:43: [INFO] Adding track segment (B.Cu): [(258381499, 52451000), (258381499, 57591000)]
13:28:43: [INFO] Adding track segment (B.Cu): [(258381499, 57591000), (260921499, 60131000)]
13:28:43: [INFO] Routing SW23 with D23
13:28:43: [INFO] Using internal autorouter method
13:28:43: [INFO] Routing pad 'SW23:2' at (237273531, 51702858) with pad 'D23:2' at (240857661, 58954616) using coordinate system rotated by 352.0 degree(s)
13:28:43: [INFO] Adding track segment (B.Cu): [(237273531, 51702858), (237988880, 56792834)]
13:28:43: [INFO] Adding track segment (B.Cu): [(237988880, 56792834), (240857661, 58954616)]
13:28:43: [INFO] Routing SW22 with D22
13:28:43: [INFO] Using internal autorouter method
13:28:43: [INFO] Routing pad 'SW22:2' at (218408925, 54354105) with pad 'D22:2' at (221993055, 61605863) using coordinate system rotated by 352.0 degree(s)
13:28:43: [INFO] Adding track segment (B.Cu): [(218408925, 54354105), (219124274, 59444081)]
13:28:43: [INFO] Adding track segment (B.Cu): [(219124274, 59444081), (221993055, 61605863)]
13:28:43: [INFO] Routing SW21 with D21
13:28:43: [INFO] Using internal autorouter method
13:28:43: [INFO] Routing pad 'SW21:2' at (199544318, 57005353) with pad 'D21:2' at (203128448, 64257111) using coordinate system rotated by 352.0 degree(s)
13:28:43: [INFO] Adding track segment (B.Cu): [(199544318, 57005353), (200259666, 62095329)]
13:28:43: [INFO] Adding track segment (B.Cu): [(200259666, 62095329), (203128448, 64257111)]
13:28:43: [INFO] Routing SW20 with D20
13:28:43: [INFO] Using internal autorouter method
13:28:43: [INFO] Routing pad 'SW20:2' at (180679711, 59656600) with pad 'D20:2' at (184263841, 66908358) using coordinate system rotated by 352.0 degree(s)
13:28:43: [INFO] Adding track segment (B.Cu): [(180679711, 59656600), (181395060, 64746576)]
13:28:43: [INFO] Adding track segment (B.Cu): [(181395060, 64746576), (184263841, 66908358)]
13:28:43: [INFO] Routing SW19 with D19
