=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:33:07: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgAwDoCsKA0dwE9aKQJybgDGe4AxAOw23gC+xC6C4AuugFBhR4DMSKsVzwAtMgIYsZeJRLyFDYgEZ0y8JgjR4ADiQAWFIyyqAbOy49tcZYOF5xhIypYaszdZt7xlyQ8fBmKjcIGSwKAEMo6LdwAHc8ACYA1SoAHQA7TMzmVi9rWz5nE3R0rPKPWIwy7IzKjm4tPGQi+zFkZQDE1warPGU+NrhHSWIwuQV5JSxu816mn1QhkalSckjoqNiExeLwQby4UPXJqa61EO8bZAQAwfNibuCvcY3N7f7UO9KLRquO1YiYYdAL6HqWBY2JCDLBAkbEHZQqh7DCHY6yCinMigi75PAEaF7MEPLAYEno8K0OgIpJIRJEn7zK62BCrV6bLY0+CJOl7IRotYYrHTcCmXFHK56HQBMUk8BCcmC8IciIfRbImWlWqZVSHeVa8o61x4+DIVaInka4himrlVTqJkFJCsrlQvY6Y0SgoCNCu2zuxkQ8AAJ363Sw1hQzsBDlMzrGJ1OIuYiViqlTTHQfDTWd+fXg+iQpnOGawg1L4G62eIg2zjrwhZ0DIrGArYOrpNz9fgUb4morQgrYo7+rrQescbFWAtAQ9iW1GW6AvZHLVUPps6zC6XechUZdsIcEnNnwDDvHeEnQxabMTkzXPI3xDn2-FFMoKpFHr4r-Pf1DYjKOGkoGDGYg8h60h3ooKToPosTMCgOZIZmcwXro0bnPBNZwbE3QoWW6BId2cB6MkxBgthnZUeAYIEeAGDEehcBUIIexijRQg0WK9FCExfzWKxyKupaAbwSRvioGBwJOAmGKfn6XzPkR7BsEAA
13:33:11: [INFO] Add SW61 footprint
13:33:11: [INFO] Add D61 footprint
13:33:11: [INFO] Add SW62 footprint
13:33:11: [INFO] Add D62 footprint
13:33:11: [INFO] Add ST62 footprint
13:33:11: [INFO] Add SW62a footprint
13:33:11: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:33:11: [INFO] Add ST62a footprint
13:33:11: [INFO] Add SW63 footprint
13:33:11: [INFO] Add D63 footprint
13:33:11: [INFO] Add SW63a footprint
13:33:11: [INFO] Add SW64 footprint
13:33:11: [INFO] Add D64 footprint
13:33:11: [WARNING] No stabilizer footprint for width 2.75u, using 2u as fallback
13:33:11: [INFO] Add ST64 footprint
13:33:11: [INFO] Add SW65 footprint
13:33:11: [INFO] Add D65 footprint
13:33:11: [INFO] Add SW66 footprint
13:33:11: [INFO] Add D66 footprint
13:33:12: [INFO] Detected layout convertible to matrix annotated keyboard
13:33:12: [INFO] Using key 1U distance: (19.05, 19.05) mm
13:33:12: [INFO] Layout offset: (37147500, 30480000)
13:33:12: [INFO] Diode info: [ElementInfo(annotation_format='D{}', position_option=<PositionOption.CUSTOM: 'Custom'>, position=ElementPosition(x=5.08, y=4.0, orientation=90.0, side=<Side.BACK: 'Back'>), template_path='', start_index=-1)]
13:33:12: [INFO] Placing additional elements for SW66
13:33:12: [INFO] Placing additional elements for SW65
13:33:12: [INFO] Placing additional elements for SW64
13:33:12: [INFO] Placing additional elements for SW63a
13:33:12: [INFO] Placing additional elements for SW63
13:33:12: [INFO] Placing additional elements for SW62a
13:33:12: [INFO] Placing additional elements for SW62
13:33:12: [INFO] Placing additional elements for SW61
13:33:12: [INFO] Placing additional elements for SW60
13:33:12: [INFO] Placing additional elements for SW59
13:33:12: [INFO] Placing additional elements for SW58
13:33:12: [INFO] Placing additional elements for SW57
13:33:12: [INFO] Placing additional elements for SW56
13:33:12: [INFO] Placing additional elements for SW55
13:33:12: [INFO] Placing additional elements for SW54
13:33:12: [INFO] Placing additional elements for SW53
13:33:12: [INFO] Placing additional elements for SW52a
13:33:12: [INFO] Placing additional elements for SW52
13:33:12: [INFO] Placing additional elements for SW51
13:33:12: [INFO] Placing additional elements for SW50
13:33:12: [INFO] Placing additional elements for SW49
13:33:12: [INFO] Placing additional elements for SW48
13:33:12: [INFO] Placing additional elements for SW47
13:33:12: [INFO] Placing additional elements for SW46
13:33:12: [INFO] Placing additional elements for SW45
13:33:12: [INFO] Placing additional elements for SW44
13:33:12: [INFO] Placing additional elements for SW43
13:33:12: [INFO] Placing additional elements for SW42
13:33:12: [INFO] Placing additional elements for SW41
13:33:12: [INFO] Placing additional elements for SW40
13:33:12: [INFO] Placing additional elements for SW39
13:33:12: [INFO] Placing additional elements for SW38
13:33:12: [INFO] Placing additional elements for SW37
13:33:12: [INFO] Placing additional elements for SW36
13:33:12: [INFO] Placing additional elements for SW35
13:33:12: [INFO] Placing additional elements for SW34
13:33:12: [INFO] Placing additional elements for SW33
13:33:12: [INFO] Placing additional elements for SW32
13:33:12: [INFO] Placing additional elements for SW31
13:33:12: [INFO] Placing additional elements for SW30
13:33:12: [INFO] Placing additional elements for SW29
13:33:12: [INFO] Placing additional elements for SW28
13:33:12: [INFO] Placing additional elements for SW27
13:33:12: [INFO] Placing additional elements for SW26
13:33:12: [INFO] Placing additional elements for SW25
13:33:12: [INFO] Placing additional elements for SW24
13:33:12: [INFO] Placing additional elements for SW23
13:33:12: [INFO] Placing additional elements for SW22
13:33:12: [INFO] Placing additional elements for SW21
13:33:12: [INFO] Placing additional elements for SW20
13:33:12: [INFO] Placing additional elements for SW19
13:33:12: [INFO] Placing additional elements for SW18
13:33:12: [INFO] Placing additional elements for SW17
13:33:12: [INFO] Placing additional elements for SW16
13:33:12: [INFO] Placing additional elements for SW15a
13:33:12: [INFO] Placing additional elements for SW15
13:33:12: [INFO] Placing additional elements for SW14
13:33:12: [INFO] Placing additional elements for SW13
13:33:12: [INFO] Placing additional elements for SW12
13:33:12: [INFO] Placing additional elements for SW11
13:33:12: [INFO] Placing additional elements for SW10
13:33:12: [INFO] Placing additional elements for SW9
13:33:12: [INFO] Placing additional elements for SW8
13:33:12: [INFO] Placing additional elements for SW7
13:33:12: [INFO] Placing additional elements for SW6
13:33:12: [INFO] Placing additional elements for SW5
13:33:12: [INFO] Placing additional elements for SW4
13:33:12: [INFO] Placing additional elements for SW3
13:33:12: [INFO] Placing additional elements for SW2
13:33:12: [INFO] Placing additional elements for SW1
13:33:12: [INFO] Routing SW66 with D66
13:33:12: [INFO] Using internal autorouter method
13:33:12: [INFO] Routing pad 'SW66:2' at (360680000, 130175000) with pad 'D66:2' at (363220000, 137855000) using coordinate system rotated by 0 degree(s)
13:33:12: [INFO] Adding track segment (B.Cu): [(360680000, 130175000), (360680000, 135315000)]
13:33:12: [INFO] Adding track segment (B.Cu): [(360680000, 135315000), (363220000, 137855000)]
13:33:12: [INFO] Routing SW65 with D65
13:33:12: [INFO] Using internal autorouter method
13:33:12: [INFO] Routing pad 'SW65:2' at (281416597, 132091555) with pad 'D65:2' at (285497853, 139075633) using coordinate system rotated by 348.0 degree(s)
13:33:12: [INFO] Adding track segment (B.Cu): [(281416597, 132091555), (282485262, 137119234)]
13:33:12: [INFO] Adding track segment (B.Cu): [(282485262, 137119234), (285497853, 139075633)]
13:33:12: [INFO] Routing SW64 with D64
13:33:12: [INFO] Using internal autorouter method
13:33:12: [INFO] Routing pad 'SW64:2' at (240690238, 139774430) with pad 'D64:2' at (244771494, 146758508) using coordinate system rotated by 348.0 degree(s)
13:33:12: [INFO] Adding track segment (B.Cu): [(240690238, 139774430), (241758903, 144802108)]
13:33:12: [INFO] Adding track segment (B.Cu): [(241758903, 144802108), (244771494, 146758508)]
13:33:12: [INFO] Routing SW63a with D63
13:33:12: [INFO] Using internal autorouter method
