=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:32:30: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgEwDoCsAaO4DGtMGIB2I48AXw3AAY1LwMJp5KkF1Md5w8sfeyKAjDTqZqAkeCHiK1BCIa5mrCh3wBDDZv6YhcmWgDMEoUf0AWeVEUs22XF159yOtBf0pjaD-oBslxnACSAS2qlyaWs5UaAQS1AAccWgAnEkCtAC6aABQYFbwAvFRQrGCaIllqWXp4Fm5CvDIofbcjjhRCMIUBl2YndKYPQPgnXqDaGMjhhI9pn2uMwsUnd7jq+A9fvR2nHgRGhIA7rgIxWg+ADoAdtfXnbTbAczNu8QkHTGWYXv72lMV8yq8xqj2synYLTa7WW51uNyu-S+LX2aj+Qku8LuaHEdTyASaFGOBVQUTMvQg3yhf3QD0wZOG6GGZMm6EmZLm4HQHLJbkw6F54DJ63Q6zJWzgFORv0JuCCKCi6AxcOotIacGeKkhbT+PVK4wBGxSSN2KIkAAsTqTsZQ4dceqr8oEbJrXm89eAiU7weALY1CXJibYzQHAhRICGALRKeUUHywzFXMT+MEvfBUqJDG0Joa1HJ4k6oGXEkJROO08AEXrgOPDSvDOOTSuTOMcyscuMCysCuPrSurSWut5HAusUvx5Xkx0aiG7dMUMnuskGslAtVBUcUStK+FJ0GBl3qX5W9K2q453EQT3rmOYeI0U9SY1p7VRZL3hOPvfq50zw8RYeNDYUR3lmcJCA6lIvhQd7DG+wx3pMb6THeHJvhyd4Cm+Ap3usb79jsf5aEWToltB5zJvuv4OFBfKfBQ6AGugq4EVwbrur6iBjieCZkg6Tw-ixPz-gq1qnvSub1I6Ag+MEtgAJ64FGsmvp8F6OgSmAKfASkbpglYEKeNISHeBkJkZm7lIZk6QY4AFwD4wGWWZ1lSsJFnJFZ5Z3h5znlnWoHwuZt6ib5FFwAYhZUa0tljgacbMQE14Hqxbp-DWAXXOJamJSgskUFpcBKSEyVCZEFBvgab5AuAcGZHmaoaR6spARZplwoylhXi1wVtYF2Kdc1ukVk57X9dsNl8MRMlDXe8RWQMA6EQcjk+aNtYhWtxkbX1OL1epkVNcSQ36VZYyXoNN7gCZp0DUdl2VnNzlnYJVJTd1V0jX1z3fKaxFyitN3bF1l0wRlVyshJ+aAbYwNRCdzlzOdgZw591xck+1G2cRBCOY9o2I4Jv2YLDZGrX1BMk8F3H45DDUHZTw29WjSwSodTr3aj4Ms4tmOTcTuA42ReN9byPOlctpNWZ223M9hMtcxYGQZEAA
13:32:38: [INFO] Add SW97a footprint
13:32:38: [INFO] Add SW98 footprint
13:32:38: [INFO] Add D98 footprint
13:32:38: [INFO] Add SW98a footprint
13:32:38: [INFO] Add SW99 footprint
13:32:38: [INFO] Add D99 footprint
13:32:38: [INFO] Add SW100 footprint
13:32:38: [INFO] Add D100 footprint
13:32:38: [INFO] Add SW101 footprint
13:32:38: [INFO] Add D101 footprint
13:32:38: [INFO] Add SW102 footprint
13:32:38: [INFO] Add D102 footprint
13:32:38: [INFO] Add SW103 footprint
13:32:38: [INFO] Add D103 footprint
13:32:38: [INFO] Add SW104 footprint
13:32:38: [INFO] Add D104 footprint
13:32:38: [INFO] Add SW105 footprint
13:32:38: [INFO] Add D105 footprint
13:32:38: [INFO] Add SW106 footprint
13:32:38: [INFO] Add D106 footprint
13:32:38: [INFO] Add SW107 footprint
13:32:38: [INFO] Add D107 footprint
13:32:38: [INFO] Add SW108 footprint
13:32:38: [INFO] Add D108 footprint
13:32:39: [INFO] Detected layout convertible to matrix annotated keyboard
13:32:39: [INFO] Using key 1U distance: (19.05, 19.05) mm
13:32:39: [INFO] Layout offset: (38100000, 28575000)
13:32:39: [INFO] Diode info: [ElementInfo(annotation_format='D{}', position_option=<PositionOption.CUSTOM: 'Custom'>, position=ElementPosition(x=5.08, y=4.0, orientation=90.0, side=<Side.BACK: 'Back'>), template_path='', start_index=-1)]
13:32:39: [INFO] Placing additional elements for SW108
13:32:39: [INFO] Placing additional elements for SW107
13:32:39: [INFO] Placing additional elements for SW106
13:32:39: [INFO] Placing additional elements for SW105
13:32:39: [INFO] Placing additional elements for SW104
13:32:39: [INFO] Placing additional elements for SW103
13:32:39: [INFO] Placing additional elements for SW102
13:32:39: [INFO] Placing additional elements for SW101
13:32:39: [INFO] Placing additional elements for SW100
13:32:39: [INFO] Placing additional elements for SW99
13:32:39: [INFO] Placing additional elements for SW98a
13:32:39: [INFO] Placing additional elements for SW98
13:32:39: [INFO] Placing additional elements for SW97a
13:32:39: [INFO] Placing additional elements for SW97
13:32:39: [INFO] Placing additional elements for SW96b
13:32:39: [INFO] Placing additional elements for SW96a
13:32:39: [INFO] Placing additional elements for SW96
13:32:39: [INFO] Placing additional elements for SW95a
13:32:39: [INFO] Placing additional elements for SW95
13:32:39: [INFO] Placing additional elements for SW94
13:32:39: [INFO] Placing additional elements for SW93
13:32:39: [INFO] Placing additional elements for SW92
13:32:39: [INFO] Placing additional elements for SW91
13:32:39: [INFO] Placing additional elements for SW90
