=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:32:00: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgIwIHQHYCsAaO4Ces4AGZdAX23EMyXAF1MAoMKA4hLHfeAWmIA4yFKoXBDqouBGjwExAGwUA7gCYCKQTioJV9JlNbJl5HAkwiKphBP0zihY+EtWL1HY2bSihjuEVrvDspmEuBBzpIs8ACcyADMGqHU4RAq-soJYW56kV7oPn4yaAmx4tg2iMT5qoXpDiXadO4QAE6eqCQUzVxwsR04ngAscRTdbMVJjdnNaj6tBEE4XawUnpUjBgMOVKpisSFUA-uY6Edykx4GAg6mOyaYe2XgAHYEAC7NAK4ApteYhy4nFxnXQXQqbChBW6JB44IL-WHHc7lFADJRpcZQkowlLoup-EIlE4gloEbjsTqeBC9HyebhyZCmTgGQgJKioI58I5RI6yJE5bjoZBXFzsx4veDvb6-TkubkuXnE-n0jKYUUImUIuUIhVNfntFl4tU4mrjDXgEpa83UES0WhAA
13:32:04: [INFO] Placing additional elements for SW5
13:32:04: [INFO] Placing additional elements for SW4
13:32:04: [INFO] Placing additional elements for SW3
13:32:04: [INFO] Placing additional elements for SW2
13:32:04: [INFO] Placing additional elements for SW1
13:32:04: [INFO] Routing SW49 with D49
13:32:04: [INFO] Using internal autorouter method
13:32:04: [INFO] Routing pad 'SW49:2' at (289242500, 112077500) with pad 'D49:2' at (291782500, 119757500) using coordinate system rotated by 0 degree(s)
13:32:04: [INFO] Adding track segment (B.Cu): [(289242500, 112077500), (289242500, 117217500)]
13:32:04: [INFO] Adding track segment (B.Cu): [(289242500, 117217500), (291782500, 119757500)]
13:32:04: [INFO] Routing SW48 with D48
13:32:04: [INFO] Using internal autorouter method
13:32:04: [INFO] Routing pad 'SW48:2' at (270192500, 112077500) with pad 'D48:2' at (272732500, 119757500) using coordinate system rotated by 0 degree(s)
13:32:04: [INFO] Adding track segment (B.Cu): [(270192500, 112077500), (270192500, 117217500)]
13:32:04: [INFO] Adding track segment (B.Cu): [(270192500, 117217500), (272732500, 119757500)]
13:32:04: [INFO] Routing SW47 with D47
13:32:04: [INFO] Using internal autorouter method
13:32:04: [INFO] Routing pad 'SW47:2' at (248431509, 114129504) with pad 'D47:2' at (252872690, 120890414) using coordinate system rotated by 345.0 degree(s)
13:32:04: [INFO] Adding track segment (B.Cu): [(248431509, 114129504), (249761838, 119094363)]
13:32:04: [INFO] Adding track segment (B.Cu): [(249761838, 119094363), (252872690, 120890414)]
13:32:04: [INFO] Routing SW46 with D46
13:32:04: [INFO] Using internal autorouter method
13:32:04: [INFO] Routing pad 'SW46:2' at (230030622, 119060007) with pad 'D46:2' at (234471803, 125820917) using coordinate system rotated by 345.0 degree(s)
13:32:04: [INFO] Adding track segment (B.Cu): [(230030622, 119060007), (231360951, 124024866)]
13:32:04: [INFO] Adding track segment (B.Cu): [(231360951, 124024866), (234471803, 125820917)]
13:32:04: [INFO] Routing SW45 with D45
13:32:04: [INFO] Using internal autorouter method
13:32:04: [INFO] Routing pad 'SW45:2' at (209329624, 124606823) with pad 'D45:2' at (213770805, 131367733) using coordinate system rotated by 345.0 degree(s)
13:32:04: [INFO] Adding track segment (B.Cu): [(209329624, 124606823), (210659953, 129571681)]
13:32:04: [INFO] Adding track segment (B.Cu): [(210659953, 129571681), (213770805, 131367733)]
