=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
14:38:37: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgIwHYB0BmANHcBPWcAGFATi3AGN9wBiAQ3ofAF8yAmDJcAXQwCgwo+NCiRk88ALRFiAVjKV4NcspXMyBDAnBYI0eAA4UAFhktsCDDO58BexCLH4pJOdgXZqSL97XYNBbTgIdyUVZV9wCwCdQXgEIhMzcA0ANkDIjDT1Dmt+XXxkFBTHSSILNyo6BnoIoxyePNjETGxxOGdZeUqw8KT2KwbbApRXXCdpUZCq6vSAd2HTNgxooIpunojMFfy4ogIkzCslrNWp6pqyebiRg8zcobjUUlbxlAQk4s5BnfsWsdKSJdhkhFtg6ts1opqD1KEk5BC7MR0KDwHUjtg5OjgpVvD4gfBWChWCi6mlvk0ECgCJNKudaHN8ITiR9loFsVCYRFRAj8IZ9ElREZ0sUsZCPHSGdcQQLLPcfsgSu0iNKyKIyTZ5VTRm1nMT8fYUfpWeS7Ahii8ASrsEaTuBSLajV8NeAAE4FdjYOwyLWKiQpIk0jkbJIWLTZVjpCwR7JoOVNIxFPqadKYMPYdjR7CYCMm-AJ-Qk5NkORp1EYTPgOQ551e9As0uiUvFCuiauNOz+83gK5wVhJI2Z9ni86S+zMsikNsPODe6m+ib6ymG5Pkt2SBAepqGEy+yk7ipBsIRCyx7JCsgWc9+WW5gxapOnrMYR-gdhX8CYIW3uCGPtkOovnIL51O+chfjWvIiCixQvqIL7FOB7b4KgIL6oSVp2s+camkQMjaq8nQHsOMyLjcE4YF+XBAA
14:38:42: [INFO] Adding track segment (B.Cu): [(175446171, 131139089), (177402571, 134151681)]
14:38:42: [INFO] Routing SW53 with D53
14:38:42: [INFO] Using internal autorouter method
14:38:42: [INFO] Routing pad 'SW53:2' at (139247414, 118189978) with pad 'D53:2' at (140135147, 126230246) using coordinate system rotated by 12.0 degree(s)
14:38:42: [INFO] Adding track segment (B.Cu): [(139247414, 118189978), (138178748, 123217655)]
14:38:42: [INFO] Adding track segment (B.Cu): [(138178748, 123217655), (140135147, 126230246)]
14:38:42: [INFO] Routing SW52 with D52
14:38:42: [INFO] Using internal autorouter method
14:38:42: [INFO] Routing pad 'SW52:2' at (97790000, 111125000) with pad 'D52:2' at (100330000, 118805000) using coordinate system rotated by 0 degree(s)
14:38:42: [INFO] Adding track segment (B.Cu): [(97790000, 111125000), (97790000, 116265000)]
14:38:42: [INFO] Adding track segment (B.Cu): [(97790000, 116265000), (100330000, 118805000)]
14:38:42: [INFO] Routing SW51 with D51
14:38:42: [INFO] Using internal autorouter method
14:38:42: [INFO] Routing pad 'SW51:2' at (375920000, 90170000) with pad 'D51:2' at (378460000, 97850000) using coordinate system rotated by 0 degree(s)
14:38:42: [INFO] Adding track segment (B.Cu): [(375920000, 90170000), (375920000, 95310000)]
14:38:42: [INFO] Adding track segment (B.Cu): [(375920000, 95310000), (378460000, 97850000)]
14:38:42: [INFO] Routing SW50 with D50
14:38:42: [INFO] Using internal autorouter method
14:38:42: [INFO] Routing pad 'SW50:2' at (303530000, 111125000) with pad 'D50:2' at (306070000, 118805000) using coordinate system rotated by 0 degree(s)
14:38:42: [INFO] Adding track segment (B.Cu): [(303530000, 111125000), (303530000, 116265000)]
14:38:42: [INFO] Adding track segment (B.Cu): [(303530000, 116265000), (306070000, 118805000)]
14:38:42: [INFO] Routing SW49 with D49
14:38:42: [INFO] Using internal autorouter method
