=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:30:17: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgIwIHQFYC+AaO4GdeNrgAybGE4KkLgC6mAUGOAJ6xwC0xaWOp5RahXCkATMNIBmCZgAsMgkTwDKmGksziN0jfPpNwossKPqcRrecw6r8okcU5Jxos7Phnlj9eHO7T-DpGYHBZFxww9zCvMJsIADt2ABcAJwBXAFNeULlhMMdwVHCE5PSsoiL3Iq8im0LcisD9EIA2cPA29zavNrq2-w7AogB2dtH3Ua9RutGB0YJm8AAOdpX3Fa8VupXZAB14-f3+CggAd3ZRbJXUQ4P446IATjVbo-bnr2e654HnheCINB4LIrnJXvc1MJruChE8yDDIXCEAiaM1AewwjhzvBLkRoXc3pYzhdss9iAjxLRaEA
13:30:22: [INFO] Routing pad 'SW49:2' at (50165000, 118745000) with pad 'D49:2' at (52705000, 126425000) using coordinate system rotated by 0 degree(s)
13:30:22: [INFO] Adding track segment (B.Cu): [(50165000, 118745000), (50165000, 123885000)]
13:30:22: [INFO] Adding track segment (B.Cu): [(50165000, 123885000), (52705000, 126425000)]
13:30:22: [INFO] Routing SW48 with D48
13:30:22: [INFO] Using internal autorouter method
13:30:22: [INFO] Routing pad 'SW48:2' at (259715000, 99695000) with pad 'D48:2' at (262255000, 107375000) using coordinate system rotated by 0 degree(s)
13:30:22: [INFO] Adding track segment (B.Cu): [(259715000, 99695000), (259715000, 104835000)]
13:30:22: [INFO] Adding track segment (B.Cu): [(259715000, 104835000), (262255000, 107375000)]
13:30:22: [INFO] Routing SW47 with D47
13:30:22: [INFO] Using internal autorouter method
13:30:22: [INFO] Routing pad 'SW47:2' at (240665000, 99695000) with pad 'D47:2' at (243205000, 107375000) using coordinate system rotated by 0 degree(s)
13:30:22: [INFO] Adding track segment (B.Cu): [(240665000, 99695000), (240665000, 104835000)]
