=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:32:46: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgIwCYB0SCsAaO4Ces4AGNLHAYwPAGIBDO+8AX23EMwQGYAdAO197YJwLQQBZ+fHoPABdTACgweAsQwsK8agHYdupiMyFhcCBpxUylq-pzSDSY60wdHbUa8zoPANg9aPABweAJweCEYGCEKRDtimlLT0dI4A7gRIzLbs3JIChsbxmhZWljZOCF5x4GnwxFqk4AAWKij1meAc7A5yihDQ8AjeLPjwALSqDTVErQ3NtTPtol2yCkojcOMz6glJySxTCCjo7Qj5VWbUJaUn7I6nsTinLiyn7i+ed5i+7-7vQe+hd7hT5REEPCAHI43Tggrw9JQXRJJVIEQ5tFhIM4mcCIq4UdqY6I4TEPcCY57EzBvSmVSnfSm-Sn-SmAynAjHsImFcy6PT7dIkAnZAo4hJ4sqEuGrbnUXY0FHwVAYdqdCLY3FXMqdUmdCkdKmOTq0-X0-WM-XM-Ws-XsnCdUHnHa7BWIBYse0UmVUXk6LXsale8Uq9hS3qiopyl2HZUsJaECS8U5qiGowWxzBIBM8JMiyExnBLHISHOOori-nwbxpgtfLMl9VO5EV1358BLAJ1rEpgbVtuczvJqAtBqIn3+RbC9MIal9iorMPrCbbCPO5vR47p+O5bO3Kp5jc1zPb05c6qp1uFzunjUlF1Kg999BX3Pnh9LbzPvcC9E1rSfhsrk2OD7hOHbHru2IgVOCDPvC3Ytm+hiduCZ49heGbIS+aGIUWkj3CKN7WM294Tk+4EoVMqA-n2H7kVhCETn+dGluYkZrr27aYV+2ETlEmFwahrqIVuxbOI4SxHqJnqCYcOGdtJhGlM2WgTrRUkEY2DDsYhfHgS4MgyEAA
13:32:51: [INFO] Using key 1U distance: (19.05, 19.05) mm
13:32:51: [INFO] Layout offset: (28575000, 38100000)
13:32:51: [INFO] Diode info: [ElementInfo(annotation_format='D{}', position_option=<PositionOption.CUSTOM: 'Custom'>, position=ElementPosition(x=5.08, y=4.0, orientation=90.0, side=<Side.BACK: 'Back'>), template_path='', start_index=-1)]
13:32:51: [INFO] Placing additional elements for SW72
13:32:51: [INFO] Placing additional elements for SW71
13:32:51: [INFO] Placing additional elements for SW70
13:32:51: [INFO] Placing additional elements for SW69
13:32:51: [INFO] Placing additional elements for SW68a
13:32:51: [INFO] Placing additional elements for SW68
13:32:51: [INFO] Placing additional elements for SW67
13:32:51: [INFO] Placing additional elements for SW66a
13:32:51: [INFO] Placing additional elements for SW66
13:32:51: [INFO] Placing additional elements for SW65c
13:32:51: [INFO] Placing additional elements for SW65b
13:32:51: [INFO] Placing additional elements for SW65a
13:32:51: [INFO] Placing additional elements for SW65
13:32:51: [INFO] Placing additional elements for SW64
13:32:51: [INFO] Placing additional elements for SW63a
13:32:51: [INFO] Placing additional elements for SW63
13:32:51: [INFO] Placing additional elements for SW62a
13:32:51: [INFO] Placing additional elements for SW62
13:32:51: [INFO] Placing additional elements for SW61a
13:32:51: [INFO] Placing additional elements for SW61
13:32:51: [INFO] Placing additional elements for SW60
13:32:51: [INFO] Placing additional elements for SW59
13:32:51: [INFO] Placing additional elements for SW58
13:32:51: [INFO] Placing additional elements for SW57
13:32:51: [INFO] Placing additional elements for SW56
13:32:51: [INFO] Placing additional elements for SW55
13:32:51: [INFO] Placing additional elements for SW54
13:32:51: [INFO] Placing additional elements for SW53
13:32:51: [INFO] Placing additional elements for SW52
13:32:51: [INFO] Placing additional elements for SW51
13:32:51: [INFO] Placing additional elements for SW50
13:32:51: [INFO] Placing additional elements for SW49
13:32:51: [INFO] Placing additional elements for SW48
13:32:51: [INFO] Placing additional elements for SW47
13:32:51: [INFO] Placing additional elements for SW46
13:32:51: [INFO] Placing additional elements for SW45
13:32:51: [INFO] Placing additional elements for SW44
13:32:51: [INFO] Placing additional elements for SW43
13:32:51: [INFO] Placing additional elements for SW42
13:32:51: [INFO] Placing additional elements for SW41
13:32:51: [INFO] Placing additional elements for SW40
13:32:51: [INFO] Placing additional elements for SW39
13:32:51: [INFO] Placing additional elements for SW38
13:32:51: [INFO] Placing additional elements for SW37
13:32:51: [INFO] Placing additional elements for SW36
13:32:51: [INFO] Placing additional elements for SW35
13:32:51: [INFO] Placing additional elements for SW34
13:32:51: [INFO] Placing additional elements for SW33
13:32:51: [INFO] Placing additional elements for SW32
13:32:51: [INFO] Placing additional elements for SW31
13:32:51: [INFO] Placing additional elements for SW30
13:32:51: [INFO] Placing additional elements for SW29
13:32:51: [INFO] Placing additional elements for SW28
13:32:51: [INFO] Placing additional elements for SW27
13:32:51: [INFO] Placing additional elements for SW26
13:32:51: [INFO] Placing additional elements for SW25
13:32:51: [INFO] Placing additional elements for SW24
13:32:51: [INFO] Placing additional elements for SW23
13:32:51: [INFO] Placing additional elements for SW22
13:32:51: [INFO] Placing additional elements for SW21
13:32:51: [INFO] Placing additional elements for SW20
