=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:39:33: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgIwBYB0BWANHcBjW2BiAQxNPAF8twkMAmAHQDsmmBmDABnCwgGcBbfOABOAewAuAfQCmOBAgpUaDZqvYIWqzU2lcAuhgBQYKPlroqAT3wcUtTNgFDu2AO74E6Stg6cXEPHhwAhxQsMUfDAUqX1oXcF9WeN8kZIw0NIA2eJpspXScjFT8pJ5cIWJSEnj3eE80b3BMOINjCGh4cwdwWsQUAHYGqgQ-MsDCMPDGkejsEbjhjFK5oviRjMW87EwtpoKqTGK4AIr+s-Oaszsh7aXtRl8uMo64W3tGmg0tB6j-Ho9ro1MKx7r4FK0TONglVqlRep53lRaJx7jN4sivpo0c8bNc4VdEdhkRxUaNjuUgiFJnhGplfkilujVgyNkSMLs6Rz9tg6UdwHTlidKTCiJc6gMbvy6OAIe0rt14YCqOwnrdMapifF1PdNWMKtS8Pj4Jkldh2GgdWShYQRWK+oTwOxlo7pWVFQ7kS0jCYXqwJVZcQ7MOqmBi-u7JdrvmG9ZSDXbzA72EhLbMXRbo-Tyb1zINGuxMqmZXogA
13:39:36: [INFO] Routing SW30 with D30
13:39:36: [INFO] Using internal autorouter method
13:39:36: [INFO] Routing pad 'SW30:2' at (326390000, 33020000) with pad 'D30:2' at (328930000, 40700000) using coordinate system rotated by 0 degree(s)
13:39:36: [INFO] Adding track segment (B.Cu): [(326390000, 33020000), (326390000, 38160000)]
13:39:36: [INFO] Adding track segment (B.Cu): [(326390000, 38160000), (328930000, 40700000)]
13:39:36: [INFO] Routing SW29 with D29
13:39:36: [INFO] Using internal autorouter method
13:39:36: [INFO] Routing pad 'SW29:2' at (302577500, 75882500) with pad 'D29:2' at (305117500, 83562500) using coordinate system rotated by 0 degree(s)
13:39:36: [INFO] Adding track segment (B.Cu): [(302577500, 75882500), (302577500, 81022500)]
13:39:36: [INFO] Adding track segment (B.Cu): [(302577500, 81022500), (305117500, 83562500)]
13:39:36: [INFO] Routing SW28 with D28
13:39:36: [INFO] Using internal autorouter method
13:39:36: [INFO] Routing pad 'SW28:2' at (243046250, 113982500) with pad 'D28:2' at (245586250, 121662500) using coordinate system rotated by 0 degree(s)
13:39:36: [INFO] Adding track segment (B.Cu): [(243046250, 113982500), (243046250, 119122500)]
13:39:36: [INFO] Adding track segment (B.Cu): [(243046250, 119122500), (245586250, 121662500)]
13:39:36: [INFO] Routing SW27a with D27
13:39:36: [INFO] Using internal autorouter method
13:39:36: [INFO] Routing pad 'SW27a:2' at (207327500, 113982500) with pad 'D27:2' at (212248750, 121662500) using coordinate system rotated by 0 degree(s)
13:39:37: [INFO] Routing SW27 with D27
13:39:37: [INFO] Using internal autorouter method
13:39:37: [INFO] Routing pad 'SW27:2' at (209708750, 113982500) with pad 'D27:2' at (212248750, 121662500) using coordinate system rotated by 0 degree(s)
13:39:37: [INFO] Routing SW26 with D26
13:39:37: [INFO] Using internal autorouter method
13:39:37: [INFO] Routing pad 'SW26:2' at (176371250, 113982500) with pad 'D26:2' at (178911250, 121662500) using coordinate system rotated by 0 degree(s)
13:39:37: [INFO] Adding track segment (B.Cu): [(176371250, 113982500), (176371250, 119122500)]
13:39:37: [INFO] Adding track segment (B.Cu): [(176371250, 119122500), (178911250, 121662500)]
13:39:37: [INFO] Routing SW25 with D25
13:39:37: [INFO] Using internal autorouter method
13:39:37: [INFO] Routing pad 'SW25:2' at (281146250, 113982500) with pad 'D25:2' at (283686250, 121662500) using coordinate system rotated by 0 degree(s)
13:39:37: [INFO] Adding track segment (B.Cu): [(281146250, 113982500), (281146250, 119122500)]
13:39:37: [INFO] Adding track segment (B.Cu): [(281146250, 119122500), (283686250, 121662500)]
13:39:37: [INFO] Routing SW24 with D24
13:39:37: [INFO] Using internal autorouter method
13:39:37: [INFO] Routing pad 'SW24:2' at (302577500, 113982500) with pad 'D24:2' at (305117500, 121662500) using coordinate system rotated by 0 degree(s)
13:39:37: [INFO] Adding track segment (B.Cu): [(302577500, 113982500), (302577500, 119122500)]
13:39:37: [INFO] Adding track segment (B.Cu): [(302577500, 119122500), (305117500, 121662500)]
13:39:37: [INFO] Routing SW23a with D23
13:39:37: [INFO] Using internal autorouter method
13:39:37: [INFO] Routing pad 'SW23a:2' at (143033750, 113982500) with pad 'D23:2' at (143192500, 121662500) using coordinate system rotated by 0 degree(s)
13:39:37: [INFO] Routing SW23 with D23
13:39:37: [INFO] Using internal autorouter method
13:39:37: [INFO] Routing pad 'SW23:2' at (140652500, 113982500) with pad 'D23:2' at (143192500, 121662500) using coordinate system rotated by 0 degree(s)
13:39:37: [INFO] Routing SW22 with D22
13:39:37: [INFO] Using internal autorouter method
13:39:37: [INFO] Routing pad 'SW22:2' at (100171250, 113982500) with pad 'D22:2' at (102711250, 121662500) using coordinate system rotated by 0 degree(s)
13:39:37: [INFO] Adding track segment (B.Cu): [(100171250, 113982500), (100171250, 119122500)]
13:39:37: [INFO] Adding track segment (B.Cu): [(100171250, 119122500), (102711250, 121662500)]
13:39:37: [INFO] Routing SW21 with D21
13:39:37: [INFO] Using internal autorouter method
13:39:37: [INFO] Routing pad 'SW21:2' at (216852500, 94932500) with pad 'D21:2' at (219392500, 102612500) using coordinate system rotated by 0 degree(s)
13:39:37: [INFO] Adding track segment (B.Cu): [(216852500, 94932500), (216852500, 100072500)]
13:39:37: [INFO] Adding track segment (B.Cu): [(216852500, 100072500), (219392500, 102612500)]
13:39:37: [INFO] Routing SW20 with D20
13:39:37: [INFO] Using internal autorouter method
13:39:37: [INFO] Routing pad 'SW20:2' at (197802500, 94932500) with pad 'D20:2' at (200342500, 102612500) using coordinate system rotated by 0 degree(s)
13:39:37: [INFO] Adding track segment (B.Cu): [(197802500, 94932500), (197802500, 100072500)]
13:39:37: [INFO] Adding track segment (B.Cu): [(197802500, 100072500), (200342500, 102612500)]
13:39:37: [INFO] Routing SW19 with D19
13:39:37: [INFO] Using internal autorouter method
13:39:37: [INFO] Routing pad 'SW19:2' at (178752500, 94932500) with pad 'D19:2' at (181292500, 102612500) using coordinate system rotated by 0 degree(s)
13:39:37: [INFO] Adding track segment (B.Cu): [(178752500, 94932500), (178752500, 100072500)]
13:39:37: [INFO] Adding track segment (B.Cu): [(178752500, 100072500), (181292500, 102612500)]
