=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:37:49: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgIwDYA0dwE9ZwAwDoAmAVjXAGNtwBiAQzvvAF9SSkAdAO085xQXBYoAHNy4de-ALooAUGHKUqAdhWqmpXjgFwI0eAlIV41eg2boJ2iEfRUy9h+osoCVqNgQ5z4EgBZtPihEbjYmpjQBAO7YBN4kSqI8KFrScuAGWmi62PhKJOjR+nhE3gb8WQrGdg72TukubnpwAJzF3qj+pKjBXShIIYrhEaSFiG29SuCpwOAEyY05eEj54KMIeHnec+U6lbY1tVsNFU2tSt5KKJ3olz27ocqqKlExhCWkl-3T1oPhdQDM8xOixWowIb28gJ2PyqBwokOOu1OeC8pCEVwC6LuMNsQxe8HBmzRKASYk4GQW8HwxBGHg273Q6PYZI4ZUxwkSrL4U1kM18QKRizytKKxG8-OhqzpYtI-NcwP01NB0oZ4GaiIgawhpHV-wC6v833AACcPLx0MamoCLVh4L43qQmrkVra4ABaf4O9APOF1Xh6jQYwN3cC8fqByZGprrGXoAwBuNBxMhgxfXnZIqquYJ2ZJ3MhuZpuQZuCxUiAnOA67gQEhwFF+RNcE072-Ux1fkJnHUX0i0v08VBTlzFLp9zwT0rB54we+Yfcio+g74sZE9D85mibY84sm7BuzykS0ecErJpu5su-eE1UkTLoEg7QLyh8oPVR68D3r38CoJ+oF9fzfHdG0-VVLh-S4n0uQDLnfMdz09VFGQFcB0SfdFAPReDd3PG8+0vbx1XvbtaD+IjuUkSQgA
13:37:54: [INFO] Routing pad 'SW72:2' at (319246250, 128270000) with pad 'D72:2' at (321786250, 135950000) using coordinate system rotated by 0 degree(s)
13:37:54: [INFO] Adding track segment (B.Cu): [(319246250, 128270000), (319246250, 133410000)]
13:37:54: [INFO] Adding track segment (B.Cu): [(319246250, 133410000), (321786250, 135950000)]
13:37:54: [INFO] Routing SW71 with D71
13:37:54: [INFO] Using internal autorouter method
13:37:54: [INFO] Routing pad 'SW71:2' at (274108275, 132162138) with pad 'D71:2' at (277943305, 139284395) using coordinate system rotated by 350.0 degree(s)
13:37:54: [INFO] Adding track segment (B.Cu): [(274108275, 132162138), (275000825, 137224048)]
13:37:54: [INFO] Adding track segment (B.Cu): [(275000825, 137224048), (277943305, 139284395)]
13:37:54: [INFO] Routing SW70 with D70
13:37:54: [INFO] Using internal autorouter method
13:37:54: [INFO] Routing pad 'SW70:2' at (243622320, 137537635) with pad 'D70:2' at (247457350, 144659892) using coordinate system rotated by 350.0 degree(s)
13:37:54: [INFO] Adding track segment (B.Cu): [(243622320, 137537635), (244514870, 142599545)]
13:37:54: [INFO] Adding track segment (B.Cu): [(244514870, 142599545), (247457350, 144659892)]
13:37:54: [INFO] Routing SW69 with D69
13:37:54: [INFO] Using internal autorouter method
13:37:54: [INFO] Routing pad 'SW69:2' at (374015000, 109220000) with pad 'D69:2' at (376555000, 116900000) using coordinate system rotated by 0 degree(s)
13:37:54: [INFO] Adding track segment (B.Cu): [(374015000, 109220000), (374015000, 114360000)]
