=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:41:18: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgIwHYB0AmArAXwDR3EjgGwA6AdueQAw4Lh4QDGs+AxAIadfi76FKUKZGnQC6OAFBgoLBCgx5wATxZV5i5vHCskuvT0U0q9OBGjw1mDS22M79g-hEnwNNC5oBmDzgAsJs1V0bEMcDB8iAJl4NBQkEPwiHGNFJLoGaLhLBPAk91ScbwL-AvCM8yzg3lziKIq1HKSkcHEpQPg5BXwVC2DrLQ4uTkdwBGSozTZ7B2qx9Pwx-IXClzGS5bLlyPKWWPjqwhS+WhdCJYIVxUJ1i82mG0GhlwB3XYOcASFqcZ3ervBJrZpsxqgBOD4tSTAcBoCG-Sr-QGPbiKV4deTVWFHe4DYEgxSw+YwnDnWFFfCwm6wu6ZPY5AAcP3wjKJjPOjPJ4EZN0Zmy5tQyaMQGMUjOa8IasxozVa0M8cNMmQa-TYQ2GqNkcRy8uxAIeeJG8qJ8vO8s58pu8ppFTpYKZ4HBRPB53BnPBN3BNKRen0GpiVUU4O2ivq6nwSINszGMqh4F8CvaCJV2jV7BeuwD+HjuojwJG8aJ8fO8c58Zu8etGf2igQRlWzhrbnrlwWNHWONVavT6OrrbCkLamQQ9LDyhYAFo1PFkzofc0o7VZRAenBJ31w-q89UFOKQ0FEQ9U93hZht0yIEK5KfFAp5hfNdf8Aolh2gdNj1ecgpPIJyGNdUKsSPuACi+L+ZD-nUVb-IBWoLjmh5dn6wo5AgcxRJeIoLIsA7SBUyCjiua7ThuAxzvONZjJyaF+KsYzhEumQYOuY69FYpFTHmyFAV+fjgehgoPrxP5fBBJyiKIQA
13:41:24: [INFO] Placing additional elements for SW77
13:41:24: [INFO] Placing additional elements for SW76
13:41:24: [INFO] Placing additional elements for SW75
13:41:24: [INFO] Placing additional elements for SW74
13:41:24: [INFO] Placing additional elements for SW73
13:41:24: [INFO] Placing additional elements for SW72
13:41:24: [INFO] Placing additional elements for SW71
13:41:24: [INFO] Placing additional elements for SW70
13:41:24: [INFO] Placing additional elements for SW69
13:41:24: [INFO] Placing additional elements for SW68
13:41:24: [INFO] Placing additional elements for SW67
13:41:24: [INFO] Placing additional elements for SW66
13:41:24: [INFO] Placing additional elements for SW65
13:41:24: [INFO] Placing additional elements for SW64
13:41:24: [INFO] Placing additional elements for SW63
13:41:24: [INFO] Placing additional elements for SW62
13:41:24: [INFO] Placing additional elements for SW61
13:41:24: [INFO] Placing additional elements for SW60
13:41:24: [INFO] Placing additional elements for SW59
13:41:24: [INFO] Placing additional elements for SW58
13:41:24: [INFO] Placing additional elements for SW57a
13:41:24: [INFO] Placing additional elements for SW57
13:41:24: [INFO] Placing additional elements for SW56
13:41:24: [INFO] Placing additional elements for SW55
13:41:24: [INFO] Placing additional elements for SW54
13:41:24: [INFO] Placing additional elements for SW53
13:41:24: [INFO] Placing additional elements for SW52
13:41:24: [INFO] Placing additional elements for SW51
13:41:24: [INFO] Placing additional elements for SW50
13:41:24: [INFO] Placing additional elements for SW49
13:41:24: [INFO] Placing additional elements for SW48
13:41:24: [INFO] Placing additional elements for SW47
13:41:24: [INFO] Placing additional elements for SW46
13:41:24: [INFO] Placing additional elements for SW45
13:41:24: [INFO] Placing additional elements for SW44
13:41:24: [INFO] Placing additional elements for SW43
13:41:24: [INFO] Placing additional elements for SW42
13:41:24: [INFO] Placing additional elements for SW41
13:41:24: [INFO] Placing additional elements for SW40a
13:41:24: [INFO] Placing additional elements for SW40
13:41:24: [INFO] Placing additional elements for SW39a
13:41:24: [INFO] Placing additional elements for SW39
13:41:24: [INFO] Placing additional elements for SW38
13:41:24: [INFO] Placing additional elements for SW37
13:41:24: [INFO] Placing additional elements for SW36
13:41:24: [INFO] Placing additional elements for SW35
13:41:24: [INFO] Placing additional elements for SW34
13:41:24: [INFO] Placing additional elements for SW33
13:41:24: [INFO] Placing additional elements for SW32
13:41:24: [INFO] Placing additional elements for SW31
13:41:24: [INFO] Placing additional elements for SW30
13:41:24: [INFO] Placing additional elements for SW29
13:41:24: [INFO] Placing additional elements for SW28
13:41:24: [INFO] Placing additional elements for SW27
13:41:24: [INFO] Placing additional elements for SW26
13:41:24: [INFO] Placing additional elements for SW25
13:41:24: [INFO] Placing additional elements for SW24
13:41:24: [INFO] Placing additional elements for SW23
13:41:24: [INFO] Placing additional elements for SW22
13:41:24: [INFO] Placing additional elements for SW21
13:41:24: [INFO] Placing additional elements for SW20
13:41:24: [INFO] Placing additional elements for SW19
13:41:24: [INFO] Placing additional elements for SW18
13:41:24: [INFO] Placing additional elements for SW17
13:41:24: [INFO] Placing additional elements for SW16
13:41:24: [INFO] Placing additional elements for SW15
13:41:24: [INFO] Placing additional elements for SW14
13:41:24: [INFO] Placing additional elements for SW13
13:41:24: [INFO] Placing additional elements for SW12
13:41:24: [INFO] Placing additional elements for SW11
13:41:24: [INFO] Placing additional elements for SW10
13:41:24: [INFO] Placing additional elements for SW9
13:41:24: [INFO] Placing additional elements for SW8
13:41:24: [INFO] Placing additional elements for SW7
13:41:24: [INFO] Placing additional elements for SW6
13:41:24: [INFO] Placing additional elements for SW5
13:41:24: [INFO] Placing additional elements for SW4
13:41:24: [INFO] Placing additional elements for SW3
13:41:24: [INFO] Placing additional elements for SW2
13:41:24: [INFO] Placing additional elements for SW1
13:41:24: [INFO] Routing SW88 with D88
13:41:24: [INFO] Using internal autorouter method
13:41:24: [INFO] Routing pad 'SW88:2' at (426402500, 133032500) with pad 'D88:2' at (428942500, 140712500) using coordinate system rotated by 0 degree(s)
13:41:24: [INFO] Adding track segment (B.Cu): [(426402500, 133032500), (426402500, 138172500)]
13:41:24: [INFO] Adding track segment (B.Cu): [(426402500, 138172500), (428942500, 140712500)]
13:41:24: [INFO] Routing SW87 with D87
13:41:24: [INFO] Using internal autorouter method
13:41:24: [INFO] Routing pad 'SW87:2' at (402590000, 156845000) with pad 'D87:2' at (405130000, 164525000) using coordinate system rotated by 0 degree(s)
13:41:24: [INFO] Adding track segment (B.Cu): [(402590000, 156845000), (402590000, 161985000)]
13:41:24: [INFO] Adding track segment (B.Cu): [(402590000, 161985000), (405130000, 164525000)]
13:41:24: [INFO] Routing SW86 with D86
13:41:24: [INFO] Using internal autorouter method
13:41:24: [INFO] Routing pad 'SW86:2' at (421640000, 175895000) with pad 'D86:2' at (424180000, 183575000) using coordinate system rotated by 0 degree(s)
13:41:24: [INFO] Adding track segment (B.Cu): [(421640000, 175895000), (421640000, 181035000)]
13:41:24: [INFO] Adding track segment (B.Cu): [(421640000, 181035000), (424180000, 183575000)]
13:41:24: [INFO] Routing SW85 with D85
13:41:24: [INFO] Using internal autorouter method
13:41:24: [INFO] Routing pad 'SW85:2' at (402590000, 175895000) with pad 'D85:2' at (405130000, 183575000) using coordinate system rotated by 0 degree(s)
