=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:40:38: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgAwDoBMBWANHcBPWikAWANi3AGN9wBiAQ3ofAF8zCMFwzMPWMBGTtkwDeKQeExiAuhgBQYKPmToW2AMztxpHnAiV4NckePMyGkdlIXwGsVj1U6DeqcsZpchdHjK0q8CiaZADsQboUjsYm-oHWodaBduH62E7OruChHvIQ3gQqZHxh4AAcYQ4G1FFGGUXWZdZFSRWpzi7+ZdleSqh+ZAjFAJzFAxYthtUZw9YDzRGVbbRT7uAyOeAATnnEvWR5yCWY2Hg+RKTYKTTB1zcZbGqC41WT-pgP9orwJUiDfdhsJUe81abXEAHd8ChXhhAWtuqdgkVjj0EEjwBD4HxUMR-Bp3uE8gBaZCosiXZ5RDKkfG5fCDVBqXEwoHkm63MgYuBY4J-cCkWGeWmnNDnXAotHkxbg-Dc3mBGnAiaU-yhBV5b5oKEhDDBcSBQEfSWgjky3oq5lwoUEYihZGnUnYTlYgrYIoKp1mshlNX4b5lR2m3llXUfD28ooC9YbX1kDYnLl7fBqJADO1wQkSyIvXiEcSYXO8NB5jBFy2fODJl02DAFty16tFsikUuC8vJnkxGviUL1wKN7ChFvrPLto6KtKMfxFetlWsQTla10l1at6PwQn+8vBJBj+MZn5krPK3jEYun3ghoQ6lfD-DbjtmDDntzP6uXvnXst5bdVsr9gJPt2gFkIEupfneuwXI4UomvAi7gEUr5lK+RRgVIQA
13:40:43: [INFO] Placing additional elements for SW64
13:40:43: [INFO] Placing additional elements for SW63
13:40:43: [INFO] Placing additional elements for SW62
13:40:43: [INFO] Placing additional elements for SW61
13:40:43: [INFO] Placing additional elements for SW60
13:40:43: [INFO] Placing additional elements for SW59
13:40:43: [INFO] Placing additional elements for SW58
13:40:43: [INFO] Placing additional elements for SW57
13:40:43: [INFO] Placing additional elements for SW56
13:40:43: [INFO] Placing additional elements for SW55
13:40:43: [INFO] Placing additional elements for SW54
13:40:43: [INFO] Placing additional elements for SW53
13:40:43: [INFO] Placing additional elements for SW52
13:40:43: [INFO] Placing additional elements for SW51
13:40:43: [INFO] Placing additional elements for SW50
13:40:43: [INFO] Placing additional elements for SW49
13:40:43: [INFO] Placing additional elements for SW48
13:40:43: [INFO] Placing additional elements for SW47
13:40:43: [INFO] Placing additional elements for SW46
13:40:43: [INFO] Placing additional elements for SW45
13:40:43: [INFO] Placing additional elements for SW44
13:40:43: [INFO] Placing additional elements for SW43
13:40:43: [INFO] Placing additional elements for SW42
13:40:43: [INFO] Placing additional elements for SW41
13:40:43: [INFO] Placing additional elements for SW40
13:40:43: [INFO] Placing additional elements for SW39
13:40:43: [INFO] Placing additional elements for SW38
13:40:43: [INFO] Placing additional elements for SW37
13:40:43: [INFO] Placing additional elements for SW36
13:40:43: [INFO] Placing additional elements for SW35
13:40:43: [INFO] Placing additional elements for SW34
13:40:43: [INFO] Placing additional elements for SW33
13:40:43: [INFO] Placing additional elements for SW32
13:40:43: [INFO] Placing additional elements for SW31
13:40:43: [INFO] Placing additional elements for SW30
13:40:43: [INFO] Placing additional elements for SW29
13:40:43: [INFO] Placing additional elements for SW28
13:40:43: [INFO] Placing additional elements for SW27
13:40:43: [INFO] Placing additional elements for SW26
13:40:43: [INFO] Placing additional elements for SW25
13:40:43: [INFO] Placing additional elements for SW24
13:40:43: [INFO] Placing additional elements for SW23
13:40:43: [INFO] Placing additional elements for SW22
13:40:43: [INFO] Placing additional elements for SW21
13:40:43: [INFO] Placing additional elements for SW20
13:40:43: [INFO] Placing additional elements for SW19
13:40:43: [INFO] Placing additional elements for SW18
13:40:43: [INFO] Placing additional elements for SW17
13:40:43: [INFO] Placing additional elements for SW16
13:40:43: [INFO] Placing additional elements for SW15
13:40:43: [INFO] Placing additional elements for SW14
13:40:43: [INFO] Placing additional elements for SW13
13:40:43: [INFO] Placing additional elements for SW12
13:40:43: [INFO] Placing additional elements for SW11
13:40:43: [INFO] Placing additional elements for SW10
13:40:43: [INFO] Placing additional elements for SW9
13:40:43: [INFO] Placing additional elements for SW8
13:40:43: [INFO] Placing additional elements for SW7
13:40:43: [INFO] Placing additional elements for SW6
13:40:43: [INFO] Placing additional elements for SW5
13:40:43: [INFO] Placing additional elements for SW4
13:40:43: [INFO] Placing additional elements for SW3
13:40:43: [INFO] Placing additional elements for SW2
13:40:43: [INFO] Placing additional elements for SW1
13:40:43: [INFO] Routing SW77 with D77
13:40:43: [INFO] Using internal autorouter method
13:40:43: [INFO] Routing pad 'SW77:2' at (135890000, 109220000) with pad 'D77:2' at (138430000, 116900000) using coordinate system rotated by 0 degree(s)
13:40:44: [INFO] Adding track segment (B.Cu): [(135890000, 109220000), (135890000, 114360000)]
13:40:44: [INFO] Adding track segment (B.Cu): [(135890000, 114360000), (138430000, 116900000)]
13:40:44: [INFO] Routing SW76 with D76
13:40:44: [INFO] Using internal autorouter method
13:40:44: [INFO] Routing pad 'SW76:2' at (97790000, 109220000) with pad 'D76:2' at (100330000, 116900000) using coordinate system rotated by 0 degree(s)
13:40:44: [INFO] Adding track segment (B.Cu): [(97790000, 109220000), (97790000, 114360000)]
13:40:44: [INFO] Adding track segment (B.Cu): [(97790000, 114360000), (100330000, 116900000)]
13:40:44: [INFO] Routing SW75 with D75
13:40:44: [INFO] Using internal autorouter method
13:40:44: [INFO] Routing pad 'SW75:2' at (59690000, 109220000) with pad 'D75:2' at (62230000, 116900000) using coordinate system rotated by 0 degree(s)
13:40:44: [INFO] Adding track segment (B.Cu): [(59690000, 109220000), (59690000, 114360000)]
13:40:44: [INFO] Adding track segment (B.Cu): [(59690000, 114360000), (62230000, 116900000)]
13:40:44: [INFO] Routing SW74 with D74
13:40:44: [INFO] Using internal autorouter method
13:40:44: [INFO] Routing pad 'SW74:2' at (387731000, 90741500) with pad 'D74:2' at (390271000, 98421500) using coordinate system rotated by 0 degree(s)
13:40:44: [INFO] Adding track segment (B.Cu): [(387731000, 90741500), (387731000, 95881500)]
13:40:44: [INFO] Adding track segment (B.Cu): [(387731000, 95881500), (390271000, 98421500)]
13:40:44: [INFO] Routing SW73 with D73
13:40:44: [INFO] Using internal autorouter method
13:40:44: [INFO] Routing pad 'SW73:2' at (340808936, 94405466) with pad 'D73:2' at (344393066, 101657224) using coordinate system rotated by 352.0 degree(s)
13:40:44: [INFO] Adding track segment (B.Cu): [(340808936, 94405466), (341524285, 99495441)]
13:40:44: [INFO] Adding track segment (B.Cu): [(341524285, 99495441), (344393066, 101657224)]
13:40:44: [INFO] Routing SW72 with D72
13:40:44: [INFO] Using internal autorouter method
