=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:27:47: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgIwA4C+AaO4AMaEFYAdAO2OJwXA21wDZSSjzwBdNAKDCljgCYA6AOx4qAT25Y+wzAGNu4AMQBDZSvDpMOLJQ25tEaPAk8p4WfAUDLVtVRw89XeAj44Zc+dM9ebOgCzbqPACcGmC0AQcDOAkTM0wlFWUfagBOMIQtW1wKLIR7DH1xSSo4hS9vdWoEAGZ0-1yg3NCCx2i+YxL3RKTK8jTcpBZ2Tij+IVEivEqENEzMGZy4QsN22Pdyz2SZ-Pm0WqoZ+t3G3ebdiIO0Qcv+3YyAhcXwBZ3n3H27o4hShMSAgHduDxprR6GRZpEisYQQgLndBqwOMteIIplQeBD0boWlEjCZAU5JJUMTtvusNskMR9wBijjS0Cd6Wd6XD6ddMBjbvT7liEE8MXkAgLqQKvuACYgiby6AxiDM5si8Z1zL9VMTcKyBezkc5xm4VVZrFQJc4OpgABZA432Qkmc02xBUSAOgC0eMq1VBsqICyGSNaYzWKu6imSnrm4E9i0Vq2N3F1aMwntJpnJ5TDewCnrpnsZnuZntZnvZkbQXKjEajTyjryjHzJBsNrIl-GhVCjMvo8shKzNqeD3QzsKzuG1rQkev78Q2sg9uF8YJ9ukRnB+IYB8dWlV8aB4i4FDh+M+SO+q++xS3HxX18XX28xmB30avfZbW6oO733oxCqnZQp950jujI7syO6sjuJY7lyT4Rk+TxPq8T5imug5xvAgb3vgi7hj2cDVC46GSkIWGEN6UaHmmFQfl69AUSuyI8EqmBiPAbqosqt6DlhEQMQGHEsdw7FtpgwgRsIz64rGmAmlKom7ouO7iXsikPhAsmJuAwgLt6SmUSqx5ETQlQSVgqm-qhfxEc4mkSV+9B6VQEk6Q5aniputm4GRrlaHxUQICk0ngKxcDsSRTm0AEEmshJCLDMiJghRO+IeSZCm6ReWkqRlz4aWlLkME++nThSRnvvJGSqc+lmqNZ5VZXkVUOLJIkNQVxBFS0LWedhOV+iM3ApYSrXCPZhW7s1m4jdlrkpt1+WqSmR6lTJ3A0PVpmLcVCjrnVPVjR1E1dalEUIO1RCflFXlbX5g11dNB0XZmx3DZ5Z4ZfW7mvQtH3bR4K1fXA63TZVv0tDVSR7WljVgxV52npNtrQ95421Ld8BDZKD2qWK80Re9rm41Nnnw2gKFUZsZUg2ZGXkwOVmrUjp2PTuRPfadpNs1jPUo4d-jo3AmM2WlLMMldBPjSc6knfJpNS3+-3pkRAjQzTrnyxDoZQ8zqny3lHO6ywzBAA
13:27:50: [INFO] Add SW38 footprint
13:27:50: [INFO] Add D38 footprint
13:27:51: [INFO] Add SW39 footprint
13:27:51: [INFO] Add D39 footprint
13:27:51: [INFO] Add SW40 footprint
13:27:51: [INFO] Add D40 footprint
13:27:51: [INFO] Add SW41 footprint
13:27:51: [INFO] Add D41 footprint
13:27:51: [INFO] Add SW42 footprint
13:27:51: [INFO] Add D42 footprint
13:27:51: [INFO] Add SW43 footprint
13:27:51: [INFO] Add D43 footprint
13:27:51: [INFO] Add SW44 footprint
13:27:51: [INFO] Add D44 footprint
13:27:51: [INFO] Add SW45 footprint
13:27:51: [INFO] Add D45 footprint
13:27:51: [INFO] Add SW46 footprint
13:27:51: [INFO] Add D46 footprint
13:27:51: [INFO] Add SW47 footprint
13:27:51: [INFO] Add D47 footprint
13:27:51: [INFO] Add SW48 footprint
13:27:51: [INFO] Add D48 footprint
13:27:51: [INFO] Add SW49 footprint
13:27:51: [INFO] Add D49 footprint
13:27:51: [INFO] Add SW50 footprint
13:27:51: [INFO] Add D50 footprint
13:27:51: [INFO] Add SW51 footprint
13:27:51: [INFO] Add D51 footprint
13:27:51: [INFO] Add SW52 footprint
13:27:51: [INFO] Add D52 footprint
13:27:51: [INFO] Add SW53 footprint
13:27:51: [INFO] Add D53 footprint
13:27:51: [INFO] Add SW54 footprint
13:27:51: [INFO] Add D54 footprint
13:27:51: [INFO] Add SW55 footprint
13:27:52: [INFO] Add D55 footprint
13:27:52: [INFO] Add SW56 footprint
13:27:52: [INFO] Add D56 footprint
13:27:52: [INFO] Add SW57 footprint
13:27:52: [INFO] Add D57 footprint
13:27:52: [INFO] Add SW58 footprint
13:27:52: [INFO] Add D58 footprint
13:27:52: [INFO] Add SW59 footprint
13:27:52: [INFO] Add D59 footprint
13:27:52: [INFO] Add SW60 footprint
13:27:52: [INFO] Add D60 footprint
13:27:52: [INFO] Add SW61 footprint
13:27:52: [INFO] Add D61 footprint
13:27:52: [INFO] Add SW62 footprint
13:27:52: [INFO] Add D62 footprint
13:27:52: [INFO] Add SW63 footprint
13:27:52: [INFO] Add D63 footprint
13:27:52: [INFO] Add SW64 footprint
13:27:52: [INFO] Add D64 footprint
13:27:52: [INFO] Add SW65 footprint
13:27:52: [INFO] Add D65 footprint
13:27:52: [INFO] Add SW66 footprint
13:27:52: [INFO] Add D66 footprint
13:27:52: [INFO] Add SW67 footprint
13:27:52: [INFO] Add D67 footprint
13:27:52: [INFO] Add SW68 footprint
13:27:52: [INFO] Add D68 footprint
13:27:52: [INFO] Add SW69 footprint
13:27:52: [INFO] Add D69 footprint
13:27:52: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:27:52: [INFO] Add ST69 footprint
13:27:52: [INFO] Add SW69a footprint
13:27:52: [INFO] Add ST69a footprint
13:27:52: [INFO] Add SW70 footprint
13:27:53: [INFO] Add D70 footprint
13:27:53: [INFO] Add SW71 footprint
13:27:53: [INFO] Add D71 footprint
13:27:53: [INFO] Add SW72 footprint
13:27:53: [INFO] Add D72 footprint
13:27:53: [INFO] Add SW73 footprint
13:27:53: [INFO] Add D73 footprint
13:27:53: [INFO] Add SW74 footprint
13:27:53: [INFO] Add D74 footprint
13:27:53: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:27:53: [INFO] Add ST74 footprint
13:27:53: [INFO] Add SW74a footprint
13:27:53: [INFO] Add SW75 footprint
13:27:53: [INFO] Add D75 footprint
13:27:53: [INFO] Add SW76 footprint
13:27:53: [INFO] Add D76 footprint
13:27:53: [INFO] Add SW77 footprint
13:27:53: [INFO] Add D77 footprint
13:27:53: [INFO] Add SW78 footprint
13:27:53: [INFO] Add D78 footprint
13:27:53: [INFO] Add SW79 footprint
13:27:53: [INFO] Add D79 footprint
13:27:53: [INFO] Add SW80 footprint
13:27:53: [INFO] Add D80 footprint
13:27:53: [INFO] Add SW81 footprint
13:27:53: [INFO] Add D81 footprint
13:27:53: [INFO] Add SW82 footprint
13:27:53: [INFO] Add D82 footprint
13:27:53: [INFO] Add SW83 footprint
13:27:53: [INFO] Add D83 footprint
13:27:53: [INFO] Add SW84 footprint
13:27:53: [INFO] Add D84 footprint
13:27:53: [INFO] Add SW85 footprint
13:27:54: [INFO] Add D85 footprint
13:27:54: [INFO] Add SW86 footprint
13:27:54: [INFO] Add D86 footprint
13:27:54: [WARNING] No stabilizer footprint for width 2.75u, using 2u as fallback
13:27:54: [INFO] Add ST86 footprint
13:27:54: [INFO] Add SW86a footprint
13:27:54: [INFO] Add SW87 footprint
13:27:54: [INFO] Add D87 footprint
13:27:54: [INFO] Add SW88 footprint
13:27:54: [INFO] Add D88 footprint
13:27:54: [INFO] Add SW89 footprint
13:27:54: [INFO] Add D89 footprint
13:27:54: [INFO] Add SW90 footprint
13:27:54: [INFO] Add D90 footprint
13:27:54: [INFO] Add SW91 footprint
13:27:54: [INFO] Add D91 footprint
13:27:54: [INFO] Add SW91a footprint
13:27:54: [INFO] Add SW92 footprint
13:27:54: [INFO] Add D92 footprint
13:27:54: [INFO] Add SW92a footprint
13:27:54: [INFO] Add SW93 footprint
13:27:54: [INFO] Add D93 footprint
13:27:54: [INFO] Add SW93a footprint
13:27:54: [INFO] Add SW94 footprint
13:27:54: [INFO] Add D94 footprint
13:27:54: [INFO] Add ST94 footprint
13:27:54: [INFO] Add SW94a footprint
13:27:54: [INFO] Add ST94a footprint
13:27:54: [INFO] Add SW94b footprint
13:27:54: [INFO] Add ST94b footprint
13:27:54: [INFO] Add SW94c footprint
13:27:54: [INFO] Add ST94c footprint
13:27:54: [INFO] Add SW95 footprint
13:27:54: [INFO] Add D95 footprint
13:27:54: [INFO] Add SW95a footprint
13:27:54: [INFO] Add SW95b footprint
13:27:54: [INFO] Add SW96 footprint
13:27:54: [INFO] Add D96 footprint
13:27:54: [INFO] Add SW96a footprint
13:27:55: [INFO] Add SW96b footprint
13:27:55: [INFO] Add SW96c footprint
13:27:55: [INFO] Add SW97 footprint
13:27:55: [INFO] Add D97 footprint
13:27:55: [INFO] Add SW97a footprint
13:27:55: [INFO] Add SW97b footprint
13:27:55: [INFO] Add SW98 footprint
13:27:55: [INFO] Add D98 footprint
13:27:55: [INFO] Add SW99 footprint
13:27:55: [INFO] Add D99 footprint
13:27:55: [INFO] Add SW100 footprint
13:27:55: [INFO] Add D100 footprint
13:27:55: [INFO] Detected layout convertible to matrix annotated keyboard
