=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:29:57: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIGNwLgAnAYgIareAvgGgQBi7uDhAB6xy4B0ArDlOUgOzMuZ0CMBRcE08SkQULZ4s7buE7i6+AEwTO8mVgDMC1RPwAWdTuXV1B5QDZ1p5YwA6AOxs38hYvX4o0qEZKxXbPh91LkVNTYogAc-uBk8FSMtAgA7uSyIZ7edtb44gC6WABQwOCyXE5RFDR0ifDsNCkqxTzOCIhCwilF0gh1HYVYSp29EkVqdHXDCEV6-ZM9Rv2zPeb9i7wMrm4SlXDVwSNe6Tacjg2lQW1Y4SXk23R8TSysFVeUsnHgABZJFfJV5Qhv31s6CQAQBaKgvFK0NI+KTgHL5FYuNzuFJaAj7axoo4BaK-cCbaqxSH1RFNFqCDxo7q0bpovoQazkAAuACcAK4AU2JfXAaLG4FoYwZzPZXLoaOmtGmaPmtHmaOWjSY90YGySzx2CChGMOEROeNuSGRyEp5wxtGxkUCBtW5OgxOMOrEcLyYCVa3QKWM6J8Nixequjx+RLojBJ7rtHm93TD3W9PLDPO9-LD-O90zD0298zDs1JRuRap+ELo3sdvusRSO4DD0JsVYDP1wXrNFYtjbKr02sg1LfL6XaHfBmvAZYxRXp+KeJYQtfHA3hbtKKhSoR96TqloJNToa-YGM3EUNiBVqqDcEYq9UB-Dx+NRa2O4Qa+oN+ra-7PkPi4gAE9yGCeIfPAySluuPhUh27Den8SQtqE5rOj+VrwHUCRPCOa64DeHT5ieKoPgAnFeKg4Ueqz3ue2xXp+NhdC6CIoXAK67uBdEDE4x6ng+7DNqxpEVnUk53oWNE3vIWRZEAA
13:30:01: [INFO] Add ST50a footprint
13:30:01: [INFO] Add SW51 footprint
13:30:01: [INFO] Add D51 footprint
13:30:01: [INFO] Add SW52 footprint
13:30:01: [INFO] Add D52 footprint
13:30:01: [INFO] Add SW53 footprint
13:30:01: [INFO] Add D53 footprint
13:30:01: [INFO] Add SW54 footprint
13:30:01: [INFO] Add D54 footprint
13:30:01: [INFO] Add SW55 footprint
13:30:01: [INFO] Add D55 footprint
13:30:01: [INFO] Add SW56 footprint
13:30:01: [INFO] Add D56 footprint
13:30:01: [INFO] Add SW56a footprint
13:30:01: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:30:01: [INFO] Add ST56a footprint
13:30:01: [INFO] Add SW56b footprint
13:30:01: [INFO] Add SW57 footprint
13:30:01: [INFO] Add D57 footprint
13:30:01: [INFO] Add SW57a footprint
13:30:01: [INFO] Add ST57a footprint
13:30:01: [INFO] Add SW58 footprint
13:30:01: [INFO] Add D58 footprint
13:30:01: [INFO] Add SW59 footprint
13:30:02: [INFO] Add D59 footprint
13:30:02: [INFO] Add SW60 footprint
13:30:02: [INFO] Add D60 footprint
13:30:02: [INFO] Add SW61 footprint
13:30:02: [INFO] Add D61 footprint
13:30:02: [INFO] Add SW62 footprint
13:30:02: [INFO] Add D62 footprint
13:30:02: [INFO] Add SW63 footprint
13:30:02: [INFO] Add D63 footprint
13:30:02: [INFO] Add SW64 footprint
13:30:02: [INFO] Add D64 footprint
13:30:02: [INFO] Add SW64a footprint
13:30:02: [INFO] Add SW65 footprint
13:30:02: [INFO] Add D65 footprint
13:30:02: [INFO] Add SW65a footprint
13:30:02: [INFO] Add SW66 footprint
13:30:02: [INFO] Add D66 footprint
13:30:02: [INFO] Add SW67 footprint
13:30:02: [INFO] Add D67 footprint
13:30:02: [INFO] Add ST67 footprint
13:30:02: [INFO] Add SW68 footprint
13:30:02: [INFO] Add D68 footprint
13:30:02: [INFO] Add SW69 footprint
13:30:02: [INFO] Add D69 footprint
13:30:02: [INFO] Add SW69a footprint
13:30:02: [INFO] Detected layout convertible to matrix annotated keyboard
13:30:02: [INFO] Using key 1U distance: (19.05, 19.05) mm
13:30:02: [INFO] Layout offset: (28575000, 28575000)
13:30:02: [INFO] Diode info: [ElementInfo(annotation_format='D{}', position_option=<PositionOption.CUSTOM: 'Custom'>, position=ElementPosition(x=5.08, y=4.0, orientation=90.0, side=<Side.BACK: 'Back'>), template_path='', start_index=-1)]
13:30:02: [INFO] Placing additional elements for SW69a
13:30:02: [INFO] Placing additional elements for SW69
13:30:02: [INFO] Placing additional elements for SW68
13:30:02: [INFO] Placing additional elements for SW67
13:30:02: [INFO] Placing additional elements for SW66
13:30:02: [INFO] Placing additional elements for SW65a
13:30:02: [INFO] Placing additional elements for SW65
13:30:02: [INFO] Placing additional elements for SW64a
13:30:02: [INFO] Placing additional elements for SW64
13:30:02: [INFO] Placing additional elements for SW63
13:30:02: [INFO] Placing additional elements for SW62
13:30:02: [INFO] Placing additional elements for SW61
13:30:02: [INFO] Placing additional elements for SW60
13:30:02: [INFO] Placing additional elements for SW59
13:30:02: [INFO] Placing additional elements for SW58
13:30:02: [INFO] Placing additional elements for SW57a
13:30:02: [INFO] Placing additional elements for SW57
13:30:02: [INFO] Placing additional elements for SW56b
13:30:02: [INFO] Placing additional elements for SW56a
13:30:02: [INFO] Placing additional elements for SW56
13:30:02: [INFO] Placing additional elements for SW55
13:30:02: [INFO] Placing additional elements for SW54
13:30:02: [INFO] Placing additional elements for SW53
13:30:02: [INFO] Placing additional elements for SW52
13:30:02: [INFO] Placing additional elements for SW51
13:30:02: [INFO] Placing additional elements for SW50a
