=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
14:20:56: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgMwF8A0dwAYUPGi14AOVdAVm3AF0UAoMKWOAJjXAE9GBaDAOkIHZSJTCia44+RgEZhWACzjJ8AGzDyCvA3gzW5MdTpK45dB3jc+g2SlKKtcOWptVa9M3AsCT4AMaNwAMT8wSHg1hh2fvCBPrFxYaxYUnYEcFJMTsmaUegBAIYFhQlkKBEG9KkIrO4WCIKsOTFxscXgUhSaqcSsyhTlRiymXLxewu1indJjKBoS9qo9MylTi-quRt41I1as7baT8I6Ltv3sw5bejfmFBa3tEdn+Ac0t01lzqenCve8QVze3b6lFyGexVIbmXh1S5PF5+YQsHAHODddD8PrreyDM6Qi4I0TLbT42ZGBZopbInTktag1Kbc6jVgsfYfRhHcknTFbC4NJ4AvKtFgPOZXOGClC-exfVjoyX-AGtdFlTGVarnaG86LPF6tKpI1lEYSEDG0xjY7mM9BVCYGtLCKok+ZGim2qngY00iqMem4y3gKosozs93OU4W+roeU3XXAx5asX2iWEtIZVjGuV8hXO5Wm+AIHg+jy8dJCVhyAnI-g8DDCACcBNOqTkBbVvp26HL+o21brJvoACdGAgsOh+11WKleL0IQ4eFJwb4niFQsJy6QADoAOy3W6wwogAAszaubDvt5usDaIABnAC2-n7AHsAC4AfQApj4pMkTxvz7uJTPIDz3fHMvXgKdWDvfxWnLORgL3ZMpB7MsZgQpNTkHcxhwnLh82nHEPCYasoPvaInzfT9v1aes-zPdopGA4D30laDonEcAj3gVN0HreD-03cYONo4D7hBcCPHw3t+PopNKRQ3i0IEsTKEoIA
14:21:01: [INFO] Adding track segment (B.Cu): [(288290000, 78641250), (290830000, 81181250)]
14:21:01: [INFO] Routing SW42 with D42
14:21:01: [INFO] Using internal autorouter method
14:21:01: [INFO] Routing pad 'SW42:2' at (307340000, 78263750) with pad 'D42:2' at (309880000, 85943750) using coordinate system rotated by 0 degree(s)
14:21:01: [INFO] Adding track segment (B.Cu): [(307340000, 78263750), (307340000, 83403750)]
14:21:01: [INFO] Adding track segment (B.Cu): [(307340000, 83403750), (309880000, 85943750)]
14:21:01: [INFO] Routing SW41 with D41
14:21:01: [INFO] Using internal autorouter method
14:21:01: [INFO] Routing pad 'SW41:2' at (326390000, 78263750) with pad 'D41:2' at (328930000, 85943750) using coordinate system rotated by 0 degree(s)
14:21:01: [INFO] Adding track segment (B.Cu): [(326390000, 78263750), (326390000, 83403750)]
14:21:01: [INFO] Adding track segment (B.Cu): [(326390000, 83403750), (328930000, 85943750)]
14:21:01: [INFO] Routing SW40 with D40
14:21:01: [INFO] Using internal autorouter method
14:21:01: [INFO] Routing pad 'SW40:2' at (231140000, 56832500) with pad 'D40:2' at (233680000, 64512500) using coordinate system rotated by 0 degree(s)
14:21:01: [INFO] Adding track segment (B.Cu): [(231140000, 56832500), (231140000, 61972500)]
14:21:01: [INFO] Adding track segment (B.Cu): [(231140000, 61972500), (233680000, 64512500)]
14:21:01: [INFO] Routing SW39 with D39
14:21:01: [INFO] Using internal autorouter method
14:21:01: [INFO] Routing pad 'SW39:2' at (250190000, 54451250) with pad 'D39:2' at (252730000, 62131250) using coordinate system rotated by 0 degree(s)
14:21:01: [INFO] Adding track segment (B.Cu): [(250190000, 54451250), (250190000, 59591250)]
14:21:01: [INFO] Adding track segment (B.Cu): [(250190000, 59591250), (252730000, 62131250)]
14:21:01: [INFO] Routing SW38 with D38
14:21:01: [INFO] Using internal autorouter method
14:21:01: [INFO] Routing pad 'SW38:2' at (269240000, 52070000) with pad 'D38:2' at (271780000, 59750000) using coordinate system rotated by 0 degree(s)
14:21:01: [INFO] Adding track segment (B.Cu): [(269240000, 52070000), (269240000, 57210000)]
14:21:01: [INFO] Adding track segment (B.Cu): [(269240000, 57210000), (271780000, 59750000)]
14:21:01: [INFO] Routing SW37 with D37
14:21:01: [INFO] Using internal autorouter method
14:21:01: [INFO] Routing pad 'SW37:2' at (288290000, 54451250) with pad 'D37:2' at (290830000, 62131250) using coordinate system rotated by 0 degree(s)
14:21:01: [INFO] Adding track segment (B.Cu): [(288290000, 54451250), (288290000, 59591250)]
14:21:01: [INFO] Adding track segment (B.Cu): [(288290000, 59591250), (290830000, 62131250)]
14:21:01: [INFO] Routing SW36 with D36
14:21:01: [INFO] Using internal autorouter method
14:21:01: [INFO] Routing pad 'SW36:2' at (307340000, 59213750) with pad 'D36:2' at (309880000, 66893750) using coordinate system rotated by 0 degree(s)
14:21:01: [INFO] Adding track segment (B.Cu): [(307340000, 59213750), (307340000, 64353750)]
14:21:01: [INFO] Adding track segment (B.Cu): [(307340000, 64353750), (309880000, 66893750)]
14:21:01: [INFO] Routing SW35 with D35
14:21:01: [INFO] Using internal autorouter method
