=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:31:27: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrBEAYBp1SAIKQIyzgb1AD1ALjuAOgCYBWeUAY1wQGIB2Bx0AX3KiNQyr1Bov4Es2kAMypEAFnFQS0yADY5dOQA45ATjlIYwpCl0ddY3VPhdqvAIbWb4gO7UirBFCTyAOgDsvXqDpfIymZY1EjEJM6ISCQ+3p6uWh5xvsigALqQAFDA5jx8AvxCCEjQ4iX66CF4hKTk3LQ2tuQOeGER5CWGlfW8BYWRJcbFkKbDsh0KZZBBw2oTmhPaU3rLXaDlQ+vIoxgtcG0DyEmxJf65DY2WRVtIMxjYeEQEUAg99IwM9qHh5AAWjs0OK0CGQEL8gftyJgIQBaGrtBBEI6xLzldJZHKUCz5ArXJH+UBIir3ajwurYy5XZrfOgIwmQLrnXp9PGicRI0b08aIybkJEzelzHkLHlLPnICr0pBrIlDJnvD5fR7hSJE45xU6cLF5Sms25ah77Z7kvJ9Kiq7YozxojLZUAiUrkB3Eqr4H6vCmXJVwJ6kSIOohW-Fat5m64OzkO7n23kIB0Ch1CmMimNiuMS8TOtbOuXai6Nb1hWn+7Yh7EfT4ltxlnVeqvKW2Y0MsyISR0INsuw1kj21gvU4F0tuB5KeB0EtsiK3jrV7A7kNsSaft+VhgdwOityAqZdnPNWL3r+cd5BT0cz4LdkEm2gV5RbpCczuKBeBdHZEnK2oIACepPd+40LqR4qk6DJBqkYFnrERLvpihq+qCoB-tUAFziCW4jrEzriJOy4uuhQ4jPhNa0GuCB7CIW7ql4OGvju56QZUlEPuAJHBG8wEUd8RFINBcQ4Y2n4+mhPGYcuax4YxjKgIRW5LtJpHMri66IdREmzo4W4MdhDKacqxavtoGkcZ6-bcYOD78bRelCa6iHkChbpIehfqvlhAlssErlEdZY5ecx3xuSeCm6bmzYqRZcDyKBJ46Z54VmU0UVhMFoCdh5Nm5j5VnLmIdkIaJwJpcOy47LJQW+WV+lGiVxGMeVEWCKpsXpQo1XeZV2kdYFBm8WxDVKUBh4pa1GU9bsXVGX5EbpGkQA
13:31:31: [INFO] Add SW72 footprint
13:31:31: [INFO] Add D72 footprint
13:31:31: [INFO] Add SW72a footprint
13:31:31: [INFO] Add SW73 footprint
13:31:31: [INFO] Add D73 footprint
13:31:31: [INFO] Add SW73a footprint
13:31:31: [INFO] Add SW74 footprint
13:31:31: [INFO] Add D74 footprint
13:31:31: [INFO] Add SW74a footprint
13:31:31: [INFO] Add SW75 footprint
13:31:32: [INFO] Add D75 footprint
13:31:32: [INFO] Add ST75 footprint
13:31:32: [INFO] Add SW75a footprint
13:31:32: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:31:32: [INFO] Add ST75a footprint
13:31:32: [INFO] Add SW75b footprint
13:31:32: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:31:32: [INFO] Add ST75b footprint
13:31:32: [INFO] Add SW76 footprint
13:31:32: [INFO] Add D76 footprint
13:31:32: [INFO] Add ST76 footprint
13:31:32: [INFO] Add SW76a footprint
13:31:32: [INFO] Add ST76a footprint
13:31:32: [INFO] Add SW76b footprint
13:31:32: [INFO] Add ST76b footprint
13:31:32: [INFO] Add SW76c footprint
13:31:32: [INFO] Add SW77 footprint
13:31:32: [INFO] Add D77 footprint
13:31:32: [INFO] Add ST77 footprint
13:31:32: [INFO] Add SW77a footprint
13:31:32: [WARNING] No stabilizer footprint for width 2.75u, using 2u as fallback
13:31:32: [INFO] Add ST77a footprint
13:31:32: [INFO] Add SW77b footprint
13:31:32: [WARNING] No stabilizer footprint for width 2.75u, using 2u as fallback
13:31:32: [INFO] Add ST77b footprint
13:31:32: [INFO] Add SW78 footprint
13:31:32: [INFO] Add D78 footprint
13:31:32: [INFO] Add SW79 footprint
13:31:32: [INFO] Add D79 footprint
13:31:32: [INFO] Add SW79a footprint
13:31:32: [INFO] Add SW80 footprint
13:31:32: [INFO] Add D80 footprint
13:31:32: [INFO] Add SW81 footprint
13:31:32: [INFO] Add D81 footprint
13:31:32: [INFO] Add SW82 footprint
13:31:32: [INFO] Add D82 footprint
13:31:32: [INFO] Detected layout convertible to matrix annotated keyboard
13:31:32: [INFO] Using key 1U distance: (19.05, 19.05) mm
13:31:32: [INFO] Layout offset: (28575000, 28575000)
13:31:32: [INFO] Diode info: [ElementInfo(annotation_format='D{}', position_option=<PositionOption.CUSTOM: 'Custom'>, position=ElementPosition(x=5.08, y=4.0, orientation=90.0, side=<Side.BACK: 'Back'>), template_path='', start_index=-1)]
13:31:32: [INFO] Placing additional elements for SW82
13:31:32: [INFO] Placing additional elements for SW81
13:31:32: [INFO] Placing additional elements for SW80
13:31:32: [INFO] Placing additional elements for SW79a
13:31:32: [INFO] Placing additional elements for SW79
13:31:32: [INFO] Placing additional elements for SW78
13:31:32: [INFO] Placing additional elements for SW77b
13:31:32: [INFO] Placing additional elements for SW77a
13:31:32: [INFO] Placing additional elements for SW77
13:31:32: [INFO] Placing additional elements for SW76c
13:31:32: [INFO] Placing additional elements for SW76b
13:31:32: [INFO] Placing additional elements for SW76a
13:31:32: [INFO] Placing additional elements for SW76
13:31:32: [INFO] Placing additional elements for SW75b
13:31:32: [INFO] Placing additional elements for SW75a
13:31:32: [INFO] Placing additional elements for SW75
13:31:32: [INFO] Placing additional elements for SW74a
13:31:32: [INFO] Placing additional elements for SW74
13:31:32: [INFO] Placing additional elements for SW73a
13:31:32: [INFO] Placing additional elements for SW73
13:31:32: [INFO] Placing additional elements for SW72a
13:31:32: [INFO] Placing additional elements for SW72
13:31:32: [INFO] Placing additional elements for SW71
13:31:32: [INFO] Placing additional elements for SW70
13:31:32: [INFO] Placing additional elements for SW69
13:31:32: [INFO] Placing additional elements for SW68
13:31:32: [INFO] Placing additional elements for SW67
13:31:32: [INFO] Placing additional elements for SW66
13:31:32: [INFO] Placing additional elements for SW65
13:31:32: [INFO] Placing additional elements for SW64
13:31:32: [INFO] Placing additional elements for SW63
13:31:32: [INFO] Placing additional elements for SW62
13:31:32: [INFO] Placing additional elements for SW61
13:31:32: [INFO] Placing additional elements for SW60
13:31:32: [INFO] Placing additional elements for SW59
13:31:32: [INFO] Placing additional elements for SW58
13:31:32: [INFO] Placing additional elements for SW57
13:31:32: [INFO] Placing additional elements for SW56
13:31:32: [INFO] Placing additional elements for SW55a
13:31:32: [INFO] Placing additional elements for SW55
13:31:32: [INFO] Placing additional elements for SW54
13:31:32: [INFO] Placing additional elements for SW53
13:31:32: [INFO] Placing additional elements for SW52
13:31:32: [INFO] Placing additional elements for SW51a
13:31:32: [INFO] Placing additional elements for SW51
13:31:32: [INFO] Placing additional elements for SW50
13:31:32: [INFO] Placing additional elements for SW49
13:31:32: [INFO] Placing additional elements for SW48
13:31:32: [INFO] Placing additional elements for SW47
13:31:32: [INFO] Placing additional elements for SW46
13:31:32: [INFO] Placing additional elements for SW45
13:31:32: [INFO] Placing additional elements for SW44
13:31:32: [INFO] Placing additional elements for SW43
13:31:32: [INFO] Placing additional elements for SW42
13:31:32: [INFO] Placing additional elements for SW41
13:31:32: [INFO] Placing additional elements for SW40
13:31:32: [INFO] Placing additional elements for SW39
13:31:32: [INFO] Placing additional elements for SW38
13:31:32: [INFO] Placing additional elements for SW37
13:31:32: [INFO] Placing additional elements for SW36
13:31:32: [INFO] Placing additional elements for SW35
13:31:32: [INFO] Placing additional elements for SW34
13:31:32: [INFO] Placing additional elements for SW33
13:31:32: [INFO] Placing additional elements for SW32
13:31:32: [INFO] Placing additional elements for SW31
13:31:32: [INFO] Placing additional elements for SW30
