=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:32:11: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgAwDoDsBWANHcBPWikAmTbAY33AGIUbbwBfLcBDQ8LCaeZE8c+KqSHCGTAIyt22FgGYpnfAA5UaRtgkopzDIvlR8yYk37ZKAQwuXR6nVpYBOLRMdNMLuAu5FVTFgicY-r4YYgGhALoYAFBg+vCETHheRmQUlMIiauAykkwJchxxcPbeWTmaebZMObqFJlSWVkwA7viEWQn2ADoAdr29fnpccGKllUHYORPgCaHVIUMGSLz16RnkHRjdfTssc5Nb-bsLkTGeI97GaY0WWq3woz7YmGx1aesbTAAsGAUeRSV0FlMBVsD9as8qv97hcnuAftsjhIJudHlkftNMNMfvsIKsbmYtAALNrAkJHXpYxYPS6pATUWg0O74UYpcAk+ItNg03hE7kjJiQfkAWkMcJQhx2vQkuKKYqu9IJ1nAmDEFJ6qvAp1iw2Q6BaLJUWQlr3+qw+yoAbL9qSMxcaMKDwNaIXi0oymQb4mNsBLETtkbbHgrTBastbphLptbZcNWeKdOqZUHliGGjdlRK1VKNSdorEYYQfeBFKx1QkUXx3utlaW-qi9XD7I69PiM164EXiFlm4p1VNW+6PbWtim2eaa1lS9Nm9NS7LVh6nRzO1kxDL1RHbUX9XTTEqe+SczGtfnzjwO-G1xJTRAYVfxLIg43L8X1y3Cve3yxXVX6UvlXfCFwDEBwnGcW15T3QQaw7dpxGRdUMScPZbRkFQ0wZRlAI3Y88zOXAlnHa522wL9uyYUtCHLBYmGbaic1mIMdzhUs+xzHJZXIptEw42j-mGLsVmrDJAL8JD+JAxCcxxU8CIAJxZH5sHk4ZlPAeSkk7VNsDjRJ8GFIsZBQLIWC+OTYi00UkEURQ1xtQo9Og8wM3s8ztXOHJsCs5BFBM4I0As1FMLDSp3LPQj4Gs2yygcgSWVi8KCOGLzIrgaL-OwBJAo8ooJG8gz7W+DAksswqbLs1w4tRMlSs8-Sot8zL4QwHKIqctLrIo7BrTqzrfMq31qryh0+pShr0qa8NWqCvKJq61iStmnyKsPesRropbcvGgrGps5rS0Cx8Zu2pZeBWsRUrbRpmRpbqpOGidRNfe7QK29r8FSla-Lg693oUgyxHU1SWXQtlhkMpAWF29KjOaiRLVmiH0Oh-qKswg9gkRxzDVRp7MmCTRTqir4ofmpqMdc8QTo+qKizxkSCYORHifSlHydWypsfimkEE2InafS0nUe+5qcja5KDPpjn7swFnBeFdmYeiwaWu51EofRFtWeFYWOb8skJZ1KWyeVoqhvlyWoqVtGYqYa11byzX7e1hW9bN-aHSN85IZF8r7ubS3jet03bdV0tHbjZ3sFLAWrfStBQ9Fv6juwZtvaKSG2Quq6SJul64XfIOfcTv29p+5yLTgo1jpZ8IgA
13:32:14: [INFO] Add SW30 footprint
13:32:14: [INFO] Add D30 footprint
13:32:14: [INFO] Add SW31 footprint
13:32:14: [INFO] Add D31 footprint
13:32:14: [INFO] Add SW32 footprint
13:32:14: [INFO] Add D32 footprint
13:32:14: [INFO] Add SW33 footprint
13:32:14: [INFO] Add D33 footprint
13:32:14: [INFO] Add SW34 footprint
13:32:14: [INFO] Add D34 footprint
13:32:14: [INFO] Add SW35 footprint
13:32:14: [INFO] Add D35 footprint
13:32:14: [INFO] Add SW36 footprint
13:32:14: [INFO] Add D36 footprint
13:32:14: [INFO] Add SW37 footprint
13:32:14: [INFO] Add D37 footprint
13:32:14: [INFO] Add SW38 footprint
13:32:14: [INFO] Add D38 footprint
13:32:14: [INFO] Add SW39 footprint
13:32:14: [INFO] Add D39 footprint
13:32:15: [INFO] Add SW40 footprint
13:32:15: [INFO] Add D40 footprint
13:32:15: [INFO] Add SW41 footprint
13:32:15: [INFO] Add D41 footprint
13:32:15: [INFO] Add SW42 footprint
13:32:15: [INFO] Add D42 footprint
13:32:15: [INFO] Add SW43 footprint
13:32:15: [INFO] Add D43 footprint
13:32:15: [INFO] Add SW44 footprint
13:32:15: [INFO] Add D44 footprint
13:32:15: [INFO] Add SW45 footprint
13:32:15: [INFO] Add D45 footprint
13:32:15: [INFO] Add SW46 footprint
13:32:15: [INFO] Add D46 footprint
13:32:15: [INFO] Add SW47 footprint
13:32:15: [INFO] Add D47 footprint
13:32:15: [INFO] Add SW48 footprint
13:32:15: [INFO] Add D48 footprint
13:32:15: [INFO] Add SW49 footprint
13:32:15: [INFO] Add D49 footprint
13:32:15: [INFO] Add SW50 footprint
13:32:15: [INFO] Add D50 footprint
13:32:15: [INFO] Add ST50 footprint
13:32:15: [INFO] Add SW50a footprint
13:32:15: [INFO] Add SW51 footprint
13:32:15: [INFO] Add D51 footprint
13:32:15: [INFO] Add SW52 footprint
13:32:15: [INFO] Add D52 footprint
13:32:15: [INFO] Add SW53 footprint
13:32:15: [INFO] Add D53 footprint
13:32:15: [INFO] Add SW54 footprint
13:32:15: [INFO] Add D54 footprint
13:32:15: [INFO] Add SW55 footprint
13:32:16: [INFO] Add D55 footprint
13:32:16: [INFO] Add SW56 footprint
13:32:16: [INFO] Add D56 footprint
13:32:16: [INFO] Add SW57 footprint
13:32:16: [INFO] Add D57 footprint
13:32:16: [INFO] Add SW58 footprint
13:32:16: [INFO] Add D58 footprint
13:32:16: [INFO] Add SW59 footprint
13:32:16: [INFO] Add D59 footprint
13:32:16: [INFO] Add SW60 footprint
13:32:16: [INFO] Add D60 footprint
13:32:16: [INFO] Add SW61 footprint
13:32:16: [INFO] Add D61 footprint
13:32:16: [INFO] Add SW62 footprint
13:32:16: [INFO] Add D62 footprint
13:32:16: [INFO] Add SW63 footprint
13:32:16: [INFO] Add D63 footprint
13:32:16: [INFO] Add SW64 footprint
13:32:16: [INFO] Add D64 footprint
13:32:16: [INFO] Add SW65 footprint
13:32:16: [INFO] Add D65 footprint
13:32:16: [INFO] Add SW66 footprint
13:32:16: [INFO] Add D66 footprint
13:32:16: [INFO] Add SW67 footprint
13:32:16: [INFO] Add D67 footprint
13:32:16: [INFO] Add SW68 footprint
13:32:16: [INFO] Add D68 footprint
13:32:16: [INFO] Add SW69 footprint
13:32:16: [INFO] Add D69 footprint
13:32:16: [INFO] Add SW70 footprint
13:32:16: [INFO] Add D70 footprint
13:32:17: [INFO] Add SW71 footprint
13:32:17: [INFO] Add D71 footprint
13:32:17: [INFO] Add SW72 footprint
13:32:17: [INFO] Add D72 footprint
13:32:17: [INFO] Add SW73 footprint
