=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:31:10: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgEwDoDsBWAvgGjuADFguDhNPABxKY75YCMd4AulgFBhSxx6po0CeXALQ90NAMZdwAYhRz54bLgJ5icCJPgzxO3YpoFGJTvDo9qy+kWObc0gIaOna8AHcuCJbToBmNaS4eBAtwABZ6UOY2DjJuKhp3UyovOixVGylpXT0U+n8TODMkPFyGF1S6a3VwWxknZwSuOmSaCr9jWKCQisiWdgD4Lsak9C8ENPzarOzJMbyOrgBOFtxxsxc1o2qp+QVhxCRgud98zsO+XCn6x31ViKj+tw9zrx8JjK1p7NvwN62BuDLEJ-dLbTLXewuRKFXiveiMPoxJoANgEwlEwPofkREEE8BE532zRC4VUOIKdAu4DxcAJoxo4TKDKsLkZ2OiEAATk1xrhObFQrwaJyachgjRYkJmuLcDSpULLpkZrMDFh2pZIqq0C4CMiHkj8c16bhUlVwKl1easJqTVhteTJcS5mbxpbxjbwON7RyCvKSjQ3ma3pa3h63t7Ho7ihJwdcoU0VmFCJNMrs5PH4J5mTaNLH6j9whGONzDbzwPymtKqSKuG9cJLkGJZcJkFSpsqfgQUDqsOQe4se+sHcIfC9Wlg9ePu+O++OB+Ohz7JaP-XdJ3dp3dZ3cB8P8Y3MevflhN8ft8fd0uR4TFZ806foQevOF17nPhCMzCSVhd0wgA
13:31:13: [INFO] Add D40 footprint
13:31:13: [INFO] Add SW41 footprint
13:31:13: [INFO] Add D41 footprint
13:31:13: [INFO] Add SW42 footprint
13:31:13: [INFO] Add D42 footprint
13:31:13: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:31:13: [INFO] Add ST42 footprint
13:31:13: [INFO] Add SW43 footprint
13:31:13: [INFO] Add D43 footprint
13:31:13: [INFO] Add SW44 footprint
13:31:13: [INFO] Add D44 footprint
13:31:13: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:31:13: [INFO] Add ST44 footprint
13:31:13: [INFO] Add SW45 footprint
13:31:13: [INFO] Add D45 footprint
13:31:13: [INFO] Add SW46 footprint
13:31:13: [INFO] Add D46 footprint
13:31:13: [INFO] Add SW47 footprint
13:31:13: [INFO] Add D47 footprint
13:31:13: [INFO] Add SW48 footprint
13:31:14: [INFO] Add D48 footprint
13:31:14: [INFO] Add SW49 footprint
13:31:14: [INFO] Add D49 footprint
13:31:14: [INFO] Add SW50 footprint
13:31:14: [INFO] Add D50 footprint
13:31:14: [INFO] Add SW51 footprint
13:31:14: [INFO] Add D51 footprint
13:31:14: [INFO] Add SW52 footprint
13:31:14: [INFO] Add D52 footprint
13:31:14: [INFO] Add SW53 footprint
13:31:14: [INFO] Add D53 footprint
13:31:14: [INFO] Add SW54 footprint
13:31:14: [INFO] Add D54 footprint
13:31:14: [INFO] Add SW55 footprint
13:31:14: [INFO] Add D55 footprint
13:31:14: [INFO] Add SW56 footprint
13:31:14: [INFO] Add D56 footprint
13:31:14: [INFO] Add SW57 footprint
13:31:14: [INFO] Add D57 footprint
13:31:14: [INFO] Add SW58 footprint
13:31:14: [INFO] Add D58 footprint
13:31:14: [INFO] Add SW59 footprint
13:31:14: [INFO] Add D59 footprint
13:31:14: [INFO] Add ST59 footprint
13:31:14: [INFO] Add SW60 footprint
13:31:14: [INFO] Add D60 footprint
13:31:14: [INFO] Add SW61 footprint
13:31:14: [INFO] Add D61 footprint
13:31:14: [WARNING] No stabilizer footprint for width 2.75u, using 2u as fallback
13:31:14: [INFO] Add ST61 footprint
13:31:14: [INFO] Add SW62 footprint
13:31:14: [INFO] Add D62 footprint
13:31:14: [INFO] Add SW63 footprint
13:31:14: [INFO] Add D63 footprint
13:31:14: [INFO] Add SW64 footprint
13:31:15: [INFO] Add D64 footprint
13:31:15: [INFO] Add SW65 footprint
13:31:15: [INFO] Add D65 footprint
13:31:15: [INFO] Add SW66 footprint
13:31:15: [INFO] Add D66 footprint
13:31:15: [INFO] Detected layout convertible to matrix annotated keyboard
13:31:15: [INFO] Using key 1U distance: (19.05, 19.05) mm
13:31:15: [INFO] Layout offset: (33337500, 28575000)
13:31:15: [INFO] Diode info: [ElementInfo(annotation_format='D{}', position_option=<PositionOption.CUSTOM: 'Custom'>, position=ElementPosition(x=5.08, y=4.0, orientation=90.0, side=<Side.BACK: 'Back'>), template_path='', start_index=-1)]
13:31:15: [INFO] Placing additional elements for SW66
13:31:15: [INFO] Placing additional elements for SW65
13:31:15: [INFO] Placing additional elements for SW64
13:31:15: [INFO] Placing additional elements for SW63
13:31:15: [INFO] Placing additional elements for SW62
13:31:15: [INFO] Placing additional elements for SW61
13:31:15: [INFO] Placing additional elements for SW60
13:31:15: [INFO] Placing additional elements for SW59
13:31:15: [INFO] Placing additional elements for SW58
13:31:15: [INFO] Placing additional elements for SW57
13:31:15: [INFO] Placing additional elements for SW56
