=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:38:16: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIGNwLgAnAYgOyreAvgGgQBi7uDhNPEgIaVWY7j4CMReWATExAB6xz0B0LAVlqkEKNKhrMALO3Bd4ffAhFJIa9ZLpYAbEy3I9+AByGsATlny4uXkOXcKVSpoaFaDRu6z02X+gGZLbhs7KAdEdQ1sZnoZPwFTel0-A2I5YP5QlUQnZ2itegsvFjdmFkYAXSwAKDBwAE8MwXz6Aj1WzwRW3y6sQLSrG2baVri4EnDItU1WhJGddqxU3pN5ot76UvAOzu3vHr2AxdjjuY3k8bCyHNy9AHduFhbvZAAdADsPj6FSziaBZ6FRYlYGVGp1bJTaD5FgEL6fd74Law3awg6w-zwj6w37peBDLLhXLke7cPgA2iwsYTa5QzSws7gWEXJlLPSw1YIWHrVmbdneVH7flHSneMa8xkoi400TE0kKWwwl5Y97aNoDf5KoGikE6sG1GWqKaafxwhEfJF6U27U0HU2Y83vHFBfGZYRE260B4K5AUhCm6lXUR0-Kmxmmlmm5bgU2cmPmK3eLbWm1C2jW-r+sWJ+hnQ1icTyuAsTKh5WOtWEKoGoNGyKaKRm+GtLaN3aNg6Nh3w024wZu+zXOVex6l2iNqQqxu4yHG-KNlmN6ONuONnlt1sCvRtzveTPgNvitt52s3JxFku++febQq5Dqy5WPjDBAdqvg-Mh2g-FUtvRCehfwfcAhBYFVe3-PpwIfP5XUEd0h09BBvR4RVvywSdHSMYChAEFVsNxFDyXyIRbywmDTzpEd4GQEik3wijsmHZCyTQhAAMw+ECMg3MGMI1i-RAm8+Jdawx3Y7weVArZQP1OorCkAcGn+ajUJfITOIRbDOggIjxKEvDyJ08A9PU0iGOM2d61U7R9IA3ALNkJikJM1izL3Ry0lMwSOM8y5vLo3ijNkAL0KSRzqzqRp4AAWhsX1aAAC0eJUHMdBhRNhBBkvgJ5RW7BEUXASLYJ4ZB9I6N5HQA44jBVGqSrxHhsMHURxAkVTn1CHLiy9NgFW6-qeFoDghri-TrSq+E1TkiBorgcaEtaxxzySlLxybBEOkytbcuvAqPmtYqPya+h7wQebxvg5aIjndNhIrbxjprJ9aEu+KfO8IDdlA6DZqaxTQnepTQtfDCpyejbDPhNtRLMXgltPZjXJ9QS2zI+F73bbw6sdLHnqi7hxsJWk7rBtLm1YTL9ugthGpQvKJIpraqa89aJIO95bWKiogA
13:38:20: [INFO] Add D54 footprint
13:38:20: [INFO] Add SW55 footprint
13:38:20: [INFO] Add D55 footprint
13:38:20: [INFO] Add SW56 footprint
13:38:20: [INFO] Add D56 footprint
13:38:20: [INFO] Add SW57 footprint
13:38:20: [INFO] Add D57 footprint
13:38:20: [INFO] Add SW58 footprint
13:38:20: [INFO] Add D58 footprint
13:38:20: [INFO] Add SW59 footprint
13:38:20: [INFO] Add D59 footprint
13:38:20: [INFO] Add SW60 footprint
13:38:20: [INFO] Add D60 footprint
13:38:20: [INFO] Add SW61 footprint
13:38:20: [INFO] Add D61 footprint
13:38:20: [INFO] Add SW62 footprint
13:38:20: [INFO] Add D62 footprint
13:38:20: [INFO] Add SW63 footprint
13:38:20: [INFO] Add D63 footprint
13:38:21: [INFO] Add SW64 footprint
13:38:21: [INFO] Add D64 footprint
13:38:21: [INFO] Add SW65 footprint
13:38:21: [INFO] Add D65 footprint
13:38:21: [INFO] Add SW66 footprint
13:38:21: [INFO] Add D66 footprint
13:38:21: [INFO] Add SW67 footprint
13:38:21: [INFO] Add D67 footprint
13:38:21: [INFO] Add SW68 footprint
13:38:21: [INFO] Add D68 footprint
13:38:21: [INFO] Add SW69 footprint
13:38:21: [INFO] Add D69 footprint
13:38:21: [INFO] Add SW70 footprint
13:38:21: [INFO] Add D70 footprint
13:38:21: [INFO] Add SW71 footprint
13:38:21: [INFO] Add D71 footprint
13:38:21: [INFO] Add SW72 footprint
13:38:21: [INFO] Add D72 footprint
13:38:21: [INFO] Add SW73 footprint
13:38:21: [INFO] Add D73 footprint
13:38:21: [INFO] Add SW74 footprint
13:38:21: [INFO] Add D74 footprint
13:38:21: [INFO] Add SW75 footprint
13:38:21: [INFO] Add D75 footprint
13:38:21: [INFO] Add SW76 footprint
13:38:21: [INFO] Add D76 footprint
13:38:21: [INFO] Add SW77 footprint
13:38:21: [INFO] Add D77 footprint
13:38:21: [INFO] Add SW78 footprint
13:38:21: [INFO] Add D78 footprint
13:38:21: [INFO] Add SW79 footprint
13:38:21: [INFO] Add D79 footprint
13:38:21: [INFO] Add SW80 footprint
13:38:21: [INFO] Add D80 footprint
13:38:21: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:38:21: [INFO] Add ST80 footprint
13:38:21: [INFO] Add SW80a footprint
13:38:21: [INFO] Add ST80a footprint
13:38:21: [INFO] Add SW81 footprint
13:38:21: [INFO] Add D81 footprint
