=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:36:43: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgMwDoDsBWANHcBPWcAGJBADgF8twCMAmcLCaeEpNC7agRk-rkf2Q1M2AMb5wAYhTSZ4duE4ZOAFnABdDACgwUfJ1TDc+ALRESJSmPiSAhnftzK1ArwhXsEkV++OOS17rwnERsTkp0DODutvZ2vlRKCLwJKupaOkxwnCgGlHjwpkicNJbiUjLS8SWpGtr8Qax5JmYWomWxcZQA7nqs8ooukdGe3l7xijyRmcFIBP1Kk9gTEXzgPQ2hS4lpdYFZrUYFRMWl1uUV8QhKqrUZvUJNR0jmpx4dNsnrWQbyJYOrw1GY1+-im+AAnH1KNV-uBqos3GUKpVuvgaEghCDijs7kFXjFYp80RjNuArv9EWcgWJ5FcEXtIehaUoKVF2h0iQ0mZQ6TxbvUsihHnBCtzsHSkvy9opsPkRUQHtgvvpScoMC4pdMAGzC0Wq8LJNWcJKUI03dIQABOehK2EtmWUuTtcpVuv01DaVKB8WoJr8qjCaGS1C1OIFhVJihWCgwfpjAa2Qc1zRJIOjJTjJQTcIwSYtewVpKu0aucau2aued2mUL+Ik705331K0pHmpjZo8jVCdbBIcXdzYfA1oKJzt02QhkyxkdisOIvddfb8moKGDGBI6-B6+CQ+njrFMdDlEUa5PG+Sim3593yYKjtJJWP2BKZ5fF+hGG3d5FB8MLtmVF4HRQ81TfXt6w5ICmwHb980tAD0Eoac0BJYV9CQz0229AdnzJDA8KuN98M3Hkv3UNQgA
13:36:49: [INFO] Adding track segment (B.Cu): [(191627782, 132548825), (193584182, 135561416)]
13:36:49: [INFO] Routing SW61 with D61
13:36:49: [INFO] Using internal autorouter method
13:36:49: [INFO] Routing pad 'SW61:2' at (164745881, 121580071) with pad 'D61:2' at (165633614, 129620339) using coordinate system rotated by 12.0 degree(s)
13:36:49: [INFO] Adding track segment (B.Cu): [(164745881, 121580071), (163677214, 126607748)]
13:36:49: [INFO] Adding track segment (B.Cu): [(163677214, 126607748), (165633614, 129620339)]
13:36:49: [INFO] Routing SW60 with D60
13:36:49: [INFO] Using internal autorouter method
13:36:49: [INFO] Routing pad 'SW60:2' at (132136886, 114648815) with pad 'D60:2' at (133024619, 122689083) using coordinate system rotated by 12.0 degree(s)
13:36:49: [INFO] Adding track segment (B.Cu): [(132136886, 114648815), (131068219, 119676491)]
13:36:49: [INFO] Adding track segment (B.Cu): [(131068219, 119676491), (133024619, 122689083)]
13:36:49: [INFO] Routing SW59 with D59
13:36:49: [INFO] Using internal autorouter method
13:36:49: [INFO] Routing pad 'SW59:2' at (69215000, 111506000) with pad 'D59:2' at (71755000, 119186000) using coordinate system rotated by 0 degree(s)
13:36:49: [INFO] Adding track segment (B.Cu): [(69215000, 111506000), (69215000, 116646000)]
13:36:49: [INFO] Adding track segment (B.Cu): [(69215000, 116646000), (71755000, 119186000)]
13:36:49: [INFO] Routing SW58 with D58
13:36:49: [INFO] Using internal autorouter method
