=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:35:38: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIGNwLgAnAYgIareAvgGgQBi7gDoB2JJALFgIzg7j5VmnGU04QAescuAdAEwBWOtHhJIEybQQATbgBcATgFcAptjwEmFAtIhz4StRvrVtLXe3Bd4fYQlEJEAdldvMdfPz1Ru4yRIemgDM0qbkYfiCkVgAbDHOMQAcPjZwVLy4JsK4YcJsCMLedMKhJVgR5dFWjkho6HQA7tz82VjO5vi5NX6IAYF0BnBG6uVJ5sGWcJzcfM72vmIo9chB4MKxndR57VsFM-D8mW3jzCSTNAC6WABQwOBUWmcWBQ9mz6ypswILtX39YSGIxMjyIHym+gUKlGCEejHB3Wm1m+v16K1WTW4GUEIKwxSRf360FxZVhFTCj2qZPidEeiSsaQyWTosSm4FZr1Z+PZWFJPMqCFZVJ5NKRzXg2JMrI6z1BPiB0KlWFOTEmiIOcCO+AcvTc7kxEp+dAAFi0mt5DQtjRb0nQODaALR8IQmZy7WXbBlY3iopbotaslXMC7ga53cD8J5MT50SPw6OepFpZ2+pxEwFQ4yxqPMSjq8AKrMIOPmPNfWw+kRolZhcXpXjzEyR-EQQkApu8sKRgURrDCyOi3v0pPe5kIN2I8Bu15u7luvluntuqmt3V64fgOtHF10N0yphynpLdODTMwqfKiYQ5GGscXzYe-Y3zUN1N1Guuy-PENh+5q0uJuAFwAU+yZGjqx4AqehiKnQ-4IvKZ4mMBCFehWb7LPUtYtD8yF4uYkb5m2ARrJMPaTMKkyDpMG6TCkaH1neSRssxrzMdyzF8sx5DmDkPh-P6Bovo2dDMQ+TB8UeaZQbISGiV+qrXmBIkINxvGJqufo1kJGQqeAYnqWx7oSRpz4piYzFBuc2y-uAeYgWErAOQxKZVpBJHQcMsEIPZqFIoW55OX5Gp2G5TiCQgdYZDuPl4j4UW4XQlCkhACUxXZ5JWGlOJJX25jMfmW6JbF+7MAV5aMUJRx6QAnO8TCsoV3rpXV-DmBO8XNTlCB1cE7XXtlJh1eJzAdVlXVDcZo3XsRUiecCdB1VZxBqhVcwLAlelqc8RT8dWWEWXE6kcVNJC7S5xXgEtV5XLcYDPuQr46Zdkxtc8cZhJMfXvaZjKVpFOHpZQgj5aZg25aVJCsRVTLPS1OYkBynWWpN8bMEji34c805hL1-WvHVPHY4Bw347jp3EDjv4akk-2bhNuUg887GOUdzNxeNhpAxTLOXJcQA
13:35:42: [INFO] Add D40 footprint
13:35:42: [INFO] Add SW40a footprint
13:35:42: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:35:42: [INFO] Add ST40a footprint
13:35:42: [INFO] Add SW41 footprint
13:35:42: [INFO] Add D41 footprint
13:35:42: [INFO] Add SW42 footprint
13:35:42: [INFO] Add D42 footprint
13:35:42: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:35:42: [INFO] Add ST42 footprint
13:35:42: [INFO] Add SW42a footprint
13:35:42: [INFO] Add SW43 footprint
13:35:42: [INFO] Add D43 footprint
13:35:42: [INFO] Add SW44 footprint
13:35:42: [INFO] Add D44 footprint
13:35:42: [INFO] Add SW45 footprint
13:35:42: [INFO] Add D45 footprint
13:35:42: [INFO] Add SW46 footprint
13:35:42: [INFO] Add D46 footprint
13:35:42: [INFO] Add SW47 footprint
13:35:42: [INFO] Add D47 footprint
13:35:42: [INFO] Add SW48 footprint
13:35:42: [INFO] Add D48 footprint
13:35:42: [INFO] Add SW49 footprint
13:35:42: [INFO] Add D49 footprint
13:35:42: [INFO] Add SW50 footprint
13:35:42: [INFO] Add D50 footprint
13:35:42: [INFO] Add ST50 footprint
13:35:42: [INFO] Add SW50a footprint
13:35:42: [INFO] Add SW51 footprint
13:35:42: [INFO] Add D51 footprint
13:35:42: [INFO] Add SW52 footprint
13:35:42: [INFO] Add D52 footprint
13:35:42: [INFO] Add SW53 footprint
13:35:42: [INFO] Add D53 footprint
13:35:42: [INFO] Add SW54 footprint
13:35:42: [INFO] Add D54 footprint
13:35:42: [INFO] Add SW55 footprint
13:35:42: [INFO] Add D55 footprint
13:35:42: [INFO] Add SW56 footprint
13:35:43: [INFO] Add D56 footprint
13:35:43: [INFO] Add SW57 footprint
13:35:43: [INFO] Add D57 footprint
13:35:43: [INFO] Add SW58 footprint
13:35:43: [INFO] Add D58 footprint
13:35:43: [INFO] Add SW59 footprint
13:35:43: [INFO] Add D59 footprint
13:35:43: [INFO] Add SW60 footprint
13:35:43: [INFO] Add D60 footprint
13:35:43: [INFO] Add SW61 footprint
13:35:43: [INFO] Add D61 footprint
13:35:43: [INFO] Add SW62 footprint
13:35:43: [INFO] Add D62 footprint
13:35:43: [INFO] Add SW63 footprint
13:35:43: [INFO] Add D63 footprint
13:35:43: [INFO] Add SW64 footprint
13:35:43: [INFO] Add D64 footprint
13:35:43: [INFO] Add SW65 footprint
