=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:35:57: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIBNwLgAgC4CcCuBTAvgGjuADFngDoB2ppAjFgEzg4TTzLra4EXlklW33gAesOHgB01AKw5wAYyHgAxAENlKurgDOAWzlIA9ggD6aaRQrhW+Qp0pYOXa1zR41ELXPNT2Dqmb6D4ohIWBMT23IRqlnacVM5+QqKSuLLwCgDsGZkebDQuMnLy0kXF2ZYAzJEEACyVWOK1AGy1abUAHHn+cBQieBaScbiSvoO5UpIVY1g1k-V8KbhKKsqRAO5C1H1YaQ4hkZKtDtQR8QEiSfmphcVFpZINO7Z7Ww-DEPMKS8tSbql6hsamW5YA5hI7RMKcNBmAC6WAAUGALgtrjdvtpUpFGIhUJgpLFvKM4AwhMxcbgfATeESBAkxOd3oslqV8WEfJEKazHidhHSLCyYsdybYCQMIJ1ElI1vBuuI+YS3gUUbI5RMhdMhbMhU08VsOkJur0pA1BeBjcNTYSLaqLeqLZqLdrqVKumcLMaWnMCp9FKVje1YQiFZclZiSTiLEdQgKqcSmOGpGDKXrThIpAzvaVIwTzYnOa8aSnZQmrJyBuBcwLRQWeednd00kXcEcY0iFCGI1hrUdbUd7UdHeXddyDRY0iax+ax1TwGPrWPbWPNUGFpkspL1rypGOPdT059SmP-fDEQyQ1IsaSLGUS9G8hf47hr+CbC3xXS01791eb1w2VIn9myY8kE-4-jYZYAaWQESrgzrUJuj7yq2VzXKU162te9rXgO147uA17tMOPQWK0JqkeapHTqR1qkeqy4fPu67SiIDYkVgA6kXhpFHoGyFnrg94sFIVRgeELaCWS4Aic+YnQe+ySfkyFgiVGv5crg0mAdygSNlJomxJEmlQdpZxMS6IEaUhdYIXpqoQNZFl6XR4AObpIlLi5G6OSJO5ivqPRmfBrFSAAnOp9n+Y5YUtq5FhhXZ1aJHF7GRGFeFhf60JAA
13:36:01: [INFO] Add ST48 footprint
13:36:01: [INFO] Add SW48a footprint
13:36:01: [INFO] Add SW49 footprint
13:36:01: [INFO] Add D49 footprint
13:36:01: [INFO] Add SW49a footprint
13:36:01: [INFO] Add SW50 footprint
13:36:01: [INFO] Add D50 footprint
13:36:01: [INFO] Add SW51 footprint
13:36:01: [INFO] Add D51 footprint
13:36:01: [INFO] Add SW52 footprint
13:36:01: [INFO] Add D52 footprint
13:36:01: [INFO] Add SW53 footprint
13:36:01: [INFO] Add D53 footprint
13:36:01: [INFO] Add SW54 footprint
13:36:01: [INFO] Add D54 footprint
13:36:01: [INFO] Add SW55 footprint
13:36:01: [INFO] Add D55 footprint
13:36:01: [INFO] Add SW56 footprint
13:36:01: [INFO] Add D56 footprint
13:36:01: [INFO] Add SW57 footprint
13:36:01: [INFO] Add D57 footprint
13:36:01: [INFO] Add SW58 footprint
13:36:01: [INFO] Add D58 footprint
13:36:01: [INFO] Add SW59 footprint
13:36:01: [INFO] Add D59 footprint
13:36:01: [INFO] Add SW60 footprint
13:36:01: [INFO] Add D60 footprint
13:36:02: [INFO] Add SW61 footprint
13:36:02: [INFO] Add D61 footprint
13:36:02: [INFO] Add SW62 footprint
13:36:02: [INFO] Add D62 footprint
13:36:02: [INFO] Add SW63 footprint
13:36:02: [INFO] Add D63 footprint
13:36:02: [INFO] Add SW64 footprint
13:36:02: [INFO] Add D64 footprint
13:36:02: [INFO] Add SW65 footprint
13:36:02: [INFO] Add D65 footprint
13:36:02: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:36:02: [INFO] Add ST65 footprint
13:36:02: [INFO] Add SW66 footprint
13:36:02: [INFO] Add D66 footprint
13:36:02: [INFO] Add SW67 footprint
13:36:02: [INFO] Add D67 footprint
13:36:02: [INFO] Add SW68 footprint
13:36:02: [INFO] Add D68 footprint
13:36:02: [INFO] Add SW69 footprint
13:36:02: [INFO] Add D69 footprint
13:36:02: [INFO] Add SW70 footprint
13:36:02: [INFO] Add D70 footprint
13:36:02: [INFO] Add SW71 footprint
13:36:02: [INFO] Add D71 footprint
13:36:02: [INFO] Add SW72 footprint
13:36:02: [INFO] Add D72 footprint
13:36:02: [INFO] Add SW73 footprint
13:36:02: [INFO] Add D73 footprint
13:36:02: [INFO] Add SW74 footprint
13:36:02: [INFO] Add D74 footprint
13:36:02: [INFO] Add SW75 footprint
13:36:02: [INFO] Add D75 footprint
13:36:02: [WARNING] No stabilizer footprint for width 2.75u, using 2u as fallback
13:36:02: [INFO] Add ST75 footprint
13:36:02: [INFO] Add SW76 footprint
13:36:02: [INFO] Add D76 footprint
13:36:02: [INFO] Add SW77 footprint
13:36:03: [INFO] Add D77 footprint
13:36:03: [INFO] Add SW78 footprint
13:36:03: [INFO] Add D78 footprint
13:36:03: [INFO] Add SW79 footprint
13:36:03: [INFO] Add D79 footprint
13:36:03: [INFO] Add SW80 footprint
13:36:03: [INFO] Add D80 footprint
