=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:31:48: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIGNwLgAnAYgIareAvgGgQBi7uDhAB6xy4B0ATAKw5TlIDsrbmD+AjEXBNPCSRhIjnizVe4fAGYp+ACzystZQDZlzZQA5lATmVdCnLFx4mukhl1NzijQSjSox02+AC6WAFDBwN4z5wMngqOgYAd3IuGlpsBBtzIIEERBFReP8JKRs7BKwlaxUcrA0irSLdIoMioxKzeqtkpkQ2dkjoymY4hmp3L19+FucXTL7A0nIw+gQo+BjusdNeIcd04Vc+pvA+vJ2CqT7VXtLDrAqEPqrLrBqbupOG+xSkEeQpObgYuiXLKRl+j4-ACJsFOj0EACkhBPt8IeAAU1Vql1tAOvBmJkAcwADoAO3x+PwoJeTmcH06PwYUKSCNMkgGYDB8AUXRm4AAnlNYliCoSCXjuCsHCj1hT4NQedSVPyict7J9JYtpbiBXLoSLXiNXAC9LLBcsPB4gA
13:31:52: [INFO] Adding track segment (B.Cu): [(173990000, 71120000), (173990000, 76260000)]
13:31:52: [INFO] Adding track segment (B.Cu): [(173990000, 76260000), (176530000, 78800000)]
13:31:52: [INFO] Routing SW34 with D34
13:31:52: [INFO] Using internal autorouter method
13:31:52: [INFO] Routing pad 'SW34:2' at (154940000, 71120000) with pad 'D34:2' at (157480000, 78800000) using coordinate system rotated by 0 degree(s)
13:31:52: [INFO] Adding track segment (B.Cu): [(154940000, 71120000), (154940000, 76260000)]
13:31:52: [INFO] Adding track segment (B.Cu): [(154940000, 76260000), (157480000, 78800000)]
13:31:52: [INFO] Routing SW33 with D33
13:31:52: [INFO] Using internal autorouter method
13:31:52: [INFO] Routing pad 'SW33:2' at (135890000, 71120000) with pad 'D33:2' at (138430000, 78800000) using coordinate system rotated by 0 degree(s)
13:31:52: [INFO] Adding track segment (B.Cu): [(135890000, 71120000), (135890000, 76260000)]
13:31:52: [INFO] Adding track segment (B.Cu): [(135890000, 76260000), (138430000, 78800000)]
13:31:52: [INFO] Routing SW32 with D32
13:31:52: [INFO] Using internal autorouter method
13:31:52: [INFO] Routing pad 'SW32:2' at (116840000, 71120000) with pad 'D32:2' at (119380000, 78800000) using coordinate system rotated by 0 degree(s)
13:31:52: [INFO] Adding track segment (B.Cu): [(116840000, 71120000), (116840000, 76260000)]
13:31:52: [INFO] Adding track segment (B.Cu): [(116840000, 76260000), (119380000, 78800000)]
13:31:52: [INFO] Routing SW31 with D31
13:31:52: [INFO] Using internal autorouter method
13:31:52: [INFO] Routing pad 'SW31:2' at (97790000, 71120000) with pad 'D31:2' at (100330000, 78800000) using coordinate system rotated by 0 degree(s)
13:31:52: [INFO] Adding track segment (B.Cu): [(97790000, 71120000), (97790000, 76260000)]
13:31:52: [INFO] Adding track segment (B.Cu): [(97790000, 76260000), (100330000, 78800000)]
13:31:52: [INFO] Routing SW30 with D30
13:31:52: [INFO] Using internal autorouter method
13:31:52: [INFO] Routing pad 'SW30:2' at (71596250, 71120000) with pad 'D30:2' at (74136250, 78800000) using coordinate system rotated by 0 degree(s)
13:31:52: [INFO] Adding track segment (B.Cu): [(71596250, 71120000), (71596250, 76260000)]
13:31:52: [INFO] Adding track segment (B.Cu): [(71596250, 76260000), (74136250, 78800000)]
13:31:52: [INFO] Routing SW29 with D29
13:31:52: [INFO] Using internal autorouter method
13:31:52: [INFO] Routing pad 'SW29:2' at (40640000, 71120000) with pad 'D29:2' at (43180000, 78800000) using coordinate system rotated by 0 degree(s)
13:31:52: [INFO] Adding track segment (B.Cu): [(40640000, 71120000), (40640000, 76260000)]
13:31:52: [INFO] Adding track segment (B.Cu): [(40640000, 76260000), (43180000, 78800000)]
13:31:52: [INFO] Routing SW28 with D28
13:31:52: [INFO] Using internal autorouter method
13:31:52: [INFO] Routing pad 'SW28:2' at (293052500, 33020000) with pad 'D28:2' at (295592500, 40700000) using coordinate system rotated by 0 degree(s)
13:31:52: [INFO] Adding track segment (B.Cu): [(293052500, 33020000), (293052500, 38160000)]
13:31:52: [INFO] Adding track segment (B.Cu): [(293052500, 38160000), (295592500, 40700000)]
13:31:52: [INFO] Routing SW27 with D27
13:31:52: [INFO] Using internal autorouter method
13:31:52: [INFO] Routing pad 'SW27:2' at (278765000, 52070000) with pad 'D27:2' at (281305000, 59750000) using coordinate system rotated by 0 degree(s)
13:31:52: [INFO] Adding track segment (B.Cu): [(278765000, 52070000), (278765000, 57210000)]
13:31:52: [INFO] Adding track segment (B.Cu): [(278765000, 57210000), (281305000, 59750000)]
13:31:52: [INFO] Routing SW26 with D26
13:31:52: [INFO] Using internal autorouter method
13:31:52: [INFO] Routing pad 'SW26:2' at (259715000, 52070000) with pad 'D26:2' at (262255000, 59750000) using coordinate system rotated by 0 degree(s)
13:31:52: [INFO] Adding track segment (B.Cu): [(259715000, 52070000), (259715000, 57210000)]
13:31:52: [INFO] Adding track segment (B.Cu): [(259715000, 57210000), (262255000, 59750000)]
13:31:52: [INFO] Routing SW25 with D25
13:31:52: [INFO] Using internal autorouter method
