=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:38:11: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIGNwLgAnAYgIareAvgGgQBi7uDhAB6xy4B0ATAKzYICMBReWjr4zHO4+1rUuSp0GXLAN74AzJ2aypWACyDwZeCPq9mKxbTlZ9igGyr1cRpQDstXtHhIrT55kVWD7xQA4DPgLpYAFDA4NQsxGrCNLYI9ggoaKiuCNLhCGE8KeycYZJwQhrRYql5oVgKWRVluvmRhaK8qTVlRlmtZaYR5pY2duSOzk7JZZ5Zo2U+jVj+QWB1FgCc1jHgAJ7kALSafQ4JicO2xgA6AHanp-iZ4AtYx2f3l+ABwRDr8FuUWghKaRBxSJBAUCDmlwD8rrYrj9SrZSj8qrYqj9mrZmj92rZ2j9OrV-nt0LwAO7kahiQ7nB6-eZUL5grDjWzjH6TBC2GYvcDE+CWWnGKl4oHAsRWUF8q4iq580oi0p8qoiqp85oi5p89oi9p8nF-fr4pJE8g84W3MxRXn0zgi8Z8lk63aDIa8AAWJONXgpp2YhC6UToO3iiSSbo9J24T1mEC5FmWYi8-N1gsBwxu3oQcauNyucdKN1KcaqNyqceaN2acfaN1adviDvGUeoRV4ce11M+-qQgeQwzj4xu4zjtvmlgaCBu7vunuyzzm9cbTHwqerAMTw0YXrkj20Ye0-DkzFKjBke-KG+Ux+ah8Mqjxnc4UZ6tMvLe6nzEl-Ga4tO+m191tc4LrwKSW7TCGYSLq2fqxLqt5vsw44Uhk4Yct0SjRLwbxwB8vTQfaDqrswpjTq8mzbLhAaBnehpzlw4GqPeNGMKkEEMSOtHZBEUbGIxuT0dRj5hEoIbMXx3KvtoYS0MJVLmNI4lMKkH5hIOL5sUxoETicSHEUOclQWspHLO2iD-m+YQ4lwqQWYwYTuDp3T4ORHaUWZyjSVc6lCZpqQeZJ7lPH4QA
13:38:17: [INFO] Add SW104 footprint
13:38:17: [INFO] Add D104 footprint
13:38:17: [INFO] Add SW105 footprint
13:38:17: [INFO] Add D105 footprint
13:38:17: [INFO] Add ST105 footprint
13:38:17: [INFO] Add SW105a footprint
13:38:17: [INFO] Add SW106 footprint
13:38:17: [INFO] Add D106 footprint
13:38:18: [INFO] Add SW107 footprint
13:38:18: [INFO] Add D107 footprint
13:38:18: [INFO] Add SW108 footprint
13:38:18: [INFO] Add D108 footprint
13:38:18: [INFO] Add ST108 footprint
13:38:18: [INFO] Add SW109 footprint
13:38:18: [INFO] Add D109 footprint
13:38:18: [INFO] Add SW109a footprint
13:38:18: [INFO] Add SW110 footprint
13:38:18: [INFO] Add D110 footprint
13:38:18: [INFO] Add SW110a footprint
13:38:18: [INFO] Add SW111 footprint
13:38:18: [INFO] Add D111 footprint
13:38:18: [INFO] Add SW112 footprint
13:38:18: [INFO] Add D112 footprint
13:38:18: [INFO] Add SW113 footprint
13:38:18: [INFO] Add D113 footprint
13:38:18: [INFO] Add SW114 footprint
13:38:18: [INFO] Add D114 footprint
13:38:18: [INFO] Add SW115 footprint
13:38:18: [INFO] Add D115 footprint
13:38:18: [INFO] Add SW116 footprint
13:38:18: [INFO] Add D116 footprint
13:38:18: [INFO] Add SW117 footprint
13:38:18: [INFO] Add D117 footprint
13:38:18: [INFO] Add SW118 footprint
13:38:18: [INFO] Add D118 footprint
13:38:18: [INFO] Detected layout convertible to matrix annotated keyboard
13:38:18: [INFO] Using key 1U distance: (19.05, 19.05) mm
13:38:18: [INFO] Layout offset: (28575000, 28575000)
13:38:18: [INFO] Diode info: [ElementInfo(annotation_format='D{}', position_option=<PositionOption.CUSTOM: 'Custom'>, position=ElementPosition(x=5.08, y=4.0, orientation=90.0, side=<Side.BACK: 'Back'>), template_path='', start_index=-1)]
13:38:18: [INFO] Placing additional elements for SW118
13:38:18: [INFO] Placing additional elements for SW117
13:38:18: [INFO] Placing additional elements for SW116
13:38:18: [INFO] Placing additional elements for SW115
13:38:18: [INFO] Placing additional elements for SW114
13:38:18: [INFO] Placing additional elements for SW113
13:38:18: [INFO] Placing additional elements for SW112
13:38:18: [INFO] Placing additional elements for SW111
13:38:18: [INFO] Placing additional elements for SW110a
13:38:18: [INFO] Placing additional elements for SW110
13:38:18: [INFO] Placing additional elements for SW109a
13:38:18: [INFO] Placing additional elements for SW109
13:38:18: [INFO] Placing additional elements for SW108
13:38:18: [INFO] Placing additional elements for SW107
13:38:18: [INFO] Placing additional elements for SW106
13:38:18: [INFO] Placing additional elements for SW105a
13:38:18: [INFO] Placing additional elements for SW105
13:38:18: [INFO] Placing additional elements for SW104
13:38:18: [INFO] Placing additional elements for SW103
13:38:18: [INFO] Placing additional elements for SW102
13:38:18: [INFO] Placing additional elements for SW101
13:38:18: [INFO] Placing additional elements for SW100
13:38:18: [INFO] Placing additional elements for SW99
13:38:18: [INFO] Placing additional elements for SW98
