=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:29:48: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgIwFYB0yA0dwGNZYMQCGxJ4AvpuAuggMwA6Adk0wAw3iXsIAsLzjbuAC66AFBgoeViiRJKAT2koelXPHD4A7Dt3ku6ViPGTo8Wii2K8AWhkBOeVnUFsb9-qztanOBDNwABwqSBReNABMxhL+eAiW1vB2KI5qeJokpGHgQpgQLpruHtnsUXlS8AgyPKEGdL756USZhL7gAO54ESU0fAJshg0ViCgAbD3IbdyjUzRa0abKtE7gSkky1M5NunrZ1EaiMcN0iXDJqVsa+EVunlQ0CAuxlbKn5ysFzZltnS+1WNRHuVPjdcHt0GU-McZKxwQhIeAIjQfOVfiN-vdeEMAvEIh8mi1WnCkG1ATNKID5odFvANis1mcNmkrjsdHckQcTM8RrQ3g5mQRCT84pYMUigVCQTd2RDsXh7ChltlxRLEZEhp9WfNKGiIig8crenKXpscASWjLJpRxeSsOKqVzjihWCtdfqMbyJY0rqC7rzIdzgoFsp7VZ6A2arkKdV1RSHkfwmBzjXAHPGrVhPbbwJ6HUccc7XSKMaovcc9XJsqWUVC0fES0bygXkFWaCTKKXs6W8zTEKhTQyZEWXloPQn+oxxW1PX1+FPqRAAE5xJFYAKoF1vLSvS6uaU9HizdvhbPsHvcnhjcE1+6HinoY-3GYL4aXwJi9A3pF3u0PtpI59HXXRV4xvXkfxzP9KF5QD8zwUYxhjeA9QNDsH0TRh9g1c1vlbUYMKwl9gM3LAGXeJD0VbHwiPgxDSKWfEfWlCjujQpACI4YEcNICjcQbfCJ0BJ5wGXJJ4UoAJghqN49UCAVCn3AxAlmexZiqNTHho+BghdcFtQBdBlPvVT73UrSgn1Q19LVIzfxM38zKAvBt1HeNrN5WzIPsyDHLg+AXOHOA9VctDlPMqpZHpWwHEYwULV42RWzM4QgA
13:29:52: [INFO] Add D57 footprint
13:29:52: [INFO] Add SW58 footprint
13:29:52: [INFO] Add D58 footprint
13:29:52: [INFO] Add SW59 footprint
13:29:52: [INFO] Add D59 footprint
13:29:52: [INFO] Add SW60 footprint
13:29:53: [INFO] Add D60 footprint
13:29:53: [INFO] Add SW61 footprint
13:29:53: [INFO] Add D61 footprint
13:29:53: [INFO] Add SW62 footprint
13:29:53: [INFO] Add D62 footprint
13:29:53: [INFO] Add SW63 footprint
13:29:53: [INFO] Add D63 footprint
13:29:53: [INFO] Add SW64 footprint
13:29:53: [INFO] Add D64 footprint
13:29:53: [INFO] Add SW65 footprint
13:29:53: [INFO] Add D65 footprint
13:29:53: [INFO] Add SW66 footprint
13:29:53: [INFO] Add D66 footprint
13:29:53: [INFO] Add SW67 footprint
13:29:53: [INFO] Add D67 footprint
13:29:53: [WARNING] No stabilizer footprint for width 2.75u, using 2u as fallback
13:29:53: [INFO] Add ST67 footprint
13:29:53: [INFO] Add SW67a footprint
13:29:53: [INFO] Add SW68 footprint
13:29:53: [INFO] Add D68 footprint
13:29:53: [INFO] Add SW69 footprint
13:29:53: [INFO] Add D69 footprint
13:29:53: [INFO] Add SW70 footprint
13:29:53: [INFO] Add D70 footprint
13:29:53: [INFO] Add SW71 footprint
13:29:53: [INFO] Add D71 footprint
13:29:53: [INFO] Add SW72 footprint
13:29:53: [INFO] Add D72 footprint
13:29:53: [INFO] Add SW73 footprint
13:29:53: [INFO] Add D73 footprint
13:29:53: [INFO] Add SW74 footprint
13:29:53: [INFO] Add D74 footprint
13:29:53: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:29:53: [INFO] Add ST74 footprint
13:29:53: [INFO] Add SW74a footprint
13:29:53: [INFO] Add ST74a footprint
13:29:53: [INFO] Add SW75 footprint
13:29:54: [INFO] Add D75 footprint
13:29:54: [INFO] Add SW75a footprint
