=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
14:14:08: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgEwBo7gJ6zgRgHQIKwC+K4WSADOChNPOXkSeRVamVq+MxyWQqzUz4c5Yqmb5OZSUyQA2KfIFRM9AmK5IA7Mtpx6Wxm23gAukgBQYFfCwAOHEfABmE+auD4AFhyGSGeABaejsnVx44TzgHJ2QFd2s9BF98f0xgnABODVdKEmQ8yJtsejClanAAY0xwAGIAQ0amzgB3TAQNVLkAHQA7Pr7mQohq+DrKicnwTvkB-t7uTmQtOcGkDgSo+xS0oLUnVJ1N4qwvXbgMuxnJY6THc4zM1NRR1AamxtbMXAOWCtfxpMJtMSGdhid6KJQeVUFoYRA2rZHBozkdLIlvpkHvsNHC0R5iskCNidi8au8Pl8kYZcX8igDakDgRo5HSoplkSQ4TJUKyFP9yR9PiREYgGCy3OioshUKKiU4seCGUzqho7GzihyoagsTzwOr+fTBUKqdgUhosYaRuSVSDUOr8Rj4DKqsbKSLvpy2GRwXosM57mSxoymXbSGRDaRmDpeGRHRAAE7fZioPRaUnodLppzMfi8JDOMxS4pyBjnUoaZARFxIPOoZB1muF25CXwzatnaupRtnfgt+DCUK06us6twxusvvFvSl5wK9acdXVrGN9VTglpwPgOXi2O15QMoX1MNYXNFjeYVmoAIXehPD1IpynljHJNBZ+pzAc56ZoIBrA-sqoYaMwXiKGB-ZwByZzXqoOBeLESBgSQrjIfWSB6q4NzTl+MyFtCaHgKkhFnNhF7wByc60vhvJIZwcKEayZFOtEWQWgWi50SQWKEeqzHsg+Yo0rwoHnixWC4H4sF7FkJCHiagk-Boz43KYQA
14:14:13: [INFO] Placing additional elements for SW74
14:14:13: [INFO] Placing additional elements for SW73
14:14:13: [INFO] Placing additional elements for SW72
14:14:13: [INFO] Placing additional elements for SW71
14:14:13: [INFO] Placing additional elements for SW70
14:14:13: [INFO] Placing additional elements for SW69
14:14:13: [INFO] Placing additional elements for SW68
14:14:13: [INFO] Placing additional elements for SW67
14:14:13: [INFO] Placing additional elements for SW66
14:14:13: [INFO] Placing additional elements for SW65
14:14:13: [INFO] Placing additional elements for SW64
14:14:13: [INFO] Placing additional elements for SW63
14:14:13: [INFO] Placing additional elements for SW62
14:14:13: [INFO] Placing additional elements for SW61
14:14:13: [INFO] Placing additional elements for SW60
14:14:13: [INFO] Placing additional elements for SW59
14:14:13: [INFO] Placing additional elements for SW58
14:14:13: [INFO] Placing additional elements for SW57
14:14:13: [INFO] Placing additional elements for SW56
14:14:13: [INFO] Placing additional elements for SW55
14:14:13: [INFO] Placing additional elements for SW54
14:14:13: [INFO] Placing additional elements for SW53
14:14:13: [INFO] Placing additional elements for SW52
14:14:13: [INFO] Placing additional elements for SW51
14:14:13: [INFO] Placing additional elements for SW50
14:14:13: [INFO] Placing additional elements for SW49
14:14:13: [INFO] Placing additional elements for SW48
14:14:13: [INFO] Placing additional elements for SW47
14:14:13: [INFO] Placing additional elements for SW46
14:14:13: [INFO] Placing additional elements for SW45
14:14:13: [INFO] Placing additional elements for SW44a
14:14:13: [INFO] Placing additional elements for SW44
14:14:13: [INFO] Placing additional elements for SW43
14:14:13: [INFO] Placing additional elements for SW42
14:14:13: [INFO] Placing additional elements for SW41
14:14:13: [INFO] Placing additional elements for SW40
14:14:13: [INFO] Placing additional elements for SW39
14:14:13: [INFO] Placing additional elements for SW38
14:14:13: [INFO] Placing additional elements for SW37
14:14:13: [INFO] Placing additional elements for SW36
14:14:13: [INFO] Placing additional elements for SW35
14:14:13: [INFO] Placing additional elements for SW34
14:14:13: [INFO] Placing additional elements for SW33
14:14:13: [INFO] Placing additional elements for SW32
14:14:13: [INFO] Placing additional elements for SW31
14:14:13: [INFO] Placing additional elements for SW30
14:14:13: [INFO] Placing additional elements for SW29
14:14:13: [INFO] Placing additional elements for SW28
14:14:13: [INFO] Placing additional elements for SW27
14:14:13: [INFO] Placing additional elements for SW26
14:14:13: [INFO] Placing additional elements for SW25
14:14:13: [INFO] Placing additional elements for SW24
14:14:13: [INFO] Placing additional elements for SW23
14:14:13: [INFO] Placing additional elements for SW22
14:14:13: [INFO] Placing additional elements for SW21
14:14:13: [INFO] Placing additional elements for SW20
14:14:13: [INFO] Placing additional elements for SW19
14:14:13: [INFO] Placing additional elements for SW18
14:14:13: [INFO] Placing additional elements for SW17
14:14:13: [INFO] Placing additional elements for SW16
14:14:13: [INFO] Placing additional elements for SW15
14:14:13: [INFO] Placing additional elements for SW14
14:14:13: [INFO] Placing additional elements for SW13
14:14:13: [INFO] Placing additional elements for SW12
14:14:13: [INFO] Placing additional elements for SW11
14:14:13: [INFO] Placing additional elements for SW10
14:14:13: [INFO] Placing additional elements for SW9
14:14:13: [INFO] Placing additional elements for SW8
14:14:13: [INFO] Placing additional elements for SW7
14:14:13: [INFO] Placing additional elements for SW6
14:14:13: [INFO] Placing additional elements for SW5
14:14:13: [INFO] Placing additional elements for SW4
14:14:13: [INFO] Placing additional elements for SW3
14:14:13: [INFO] Placing additional elements for SW2
14:14:13: [INFO] Placing additional elements for SW1
14:14:13: [INFO] Routing SW83 with D83
14:14:13: [INFO] Using internal autorouter method
14:14:13: [INFO] Routing pad 'SW83:2' at (402590000, 152082500) with pad 'D83:2' at (405130000, 159762500) using coordinate system rotated by 0 degree(s)
14:14:13: [INFO] Adding track segment (B.Cu): [(402590000, 152082500), (402590000, 157222500)]
14:14:13: [INFO] Adding track segment (B.Cu): [(402590000, 157222500), (405130000, 159762500)]
14:14:13: [INFO] Routing SW82 with D82
14:14:13: [INFO] Using internal autorouter method
14:14:13: [INFO] Routing pad 'SW82:2' at (364490000, 152082500) with pad 'D82:2' at (367030000, 159762500) using coordinate system rotated by 0 degree(s)
