=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:34:23: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgMwF8A0dwAYUPGi14A2AOgFZV0AWFAJnAF0UAoMKWOGtcAT3YFoMxABwB2Cplq44+dgEZxWSlJnxKZcdVnK28WcQwbsDZqwJxSXXvAHChClKW1ma6rtQzGWEK3BuiuAMbs4ADEAIYRkeD2HnjgQfChAckp0VxYWnFmsoLkbihKcQno4ZERaVQOnqbsCJb8gghCgcEhKaniskZZ7CR56BZ0jF46HPXWgqKdkj2604XSo2r94BaZi9n64hY4wzXwFug+fnZcXY6zHK4DKB573g3CIi2JpWUV4F2xi8VJ7UHTdYqOA5a6rAraX5vKLbKr3UZ1I6PJovEr-AFcTg4S59cSESTw5zjXyTMSYmYbOTiTgLYHLPEoIGjPQGLj43YmYGHHiPISndCcC6U+AuFb4u6cnkTJ6o0JlcrU26Q1roj6cJnZXIM2nxVrysIffGOQm1Yk2JriOrY4VwXFcZ5DSXZPTc46k8TPDkjN3EETcqEiQNBj51b4QKH6kOMpxyLX2iFFVpB4MeuFOuTLYm5WVtf5ScAG+DPdAAE3YABcAE4AVwApuJqhBK9kEL7uZWfNyzHxZHo-Wa9P50BH5fnC3BKJaCZLK3Jmuhm+x2z5W-30N3s0jpZR-Sq81OlPDZ0QsAuzEIyFwO+xqOvHsWpSTiLfwAB3ORg54SkbH3yEU-gIuRBcBuwhmoIL7vroYJ1MaM78LI86AWYACcl4LiubYgY8rqPDuqZaPQ9BAA
13:34:27: [INFO] Routing pad 'SW44:2' at (210690216, 95302111) with pad 'D44:2' at (215479150, 101821321) using coordinate system rotated by 342.0 degree(s)
13:34:27: [INFO] Adding track segment (B.Cu): [(210690216, 95302111), (212278561, 100190539)]
13:34:27: [INFO] Adding track segment (B.Cu): [(212278561, 100190539), (215479150, 101821321)]
13:34:27: [INFO] Routing SW43 with D43
13:34:27: [INFO] Using internal autorouter method
13:34:27: [INFO] Routing pad 'SW43:2' at (194995881, 106212094) with pad 'D43:2' at (189614807, 112251798) using coordinate system rotated by 60.0 degree(s)
13:34:27: [INFO] Adding track segment (B.Cu): [(194995881, 106212094), (190544510, 108782093)]
13:34:27: [INFO] Adding track segment (B.Cu): [(190544510, 108782093), (189614807, 112251798)]
13:34:27: [INFO] Routing SW42 with D42
13:34:27: [INFO] Using internal autorouter method
13:34:27: [INFO] Routing pad 'SW42:2' at (297815000, 78359000) with pad 'D42:2' at (300355000, 86039000) using coordinate system rotated by 0 degree(s)
13:34:27: [INFO] Adding track segment (B.Cu): [(297815000, 78359000), (297815000, 83499000)]
13:34:27: [INFO] Adding track segment (B.Cu): [(297815000, 83499000), (300355000, 86039000)]
13:34:27: [INFO] Routing SW41 with D41
13:34:27: [INFO] Using internal autorouter method
13:34:27: [INFO] Routing pad 'SW41:2' at (278765000, 78359000) with pad 'D41:2' at (281305000, 86039000) using coordinate system rotated by 0 degree(s)
13:34:27: [INFO] Adding track segment (B.Cu): [(278765000, 78359000), (278765000, 83499000)]
13:34:27: [INFO] Adding track segment (B.Cu): [(278765000, 83499000), (281305000, 86039000)]
13:34:27: [INFO] Routing SW40 with D40
13:34:27: [INFO] Using internal autorouter method
13:34:27: [INFO] Routing pad 'SW40:2' at (259715000, 73596500) with pad 'D40:2' at (262255000, 81276500) using coordinate system rotated by 0 degree(s)
13:34:27: [INFO] Adding track segment (B.Cu): [(259715000, 73596500), (259715000, 78736500)]
13:34:27: [INFO] Adding track segment (B.Cu): [(259715000, 78736500), (262255000, 81276500)]
13:34:27: [INFO] Routing SW39 with D39
13:34:27: [INFO] Using internal autorouter method
13:34:27: [INFO] Routing pad 'SW39:2' at (240665000, 71120000) with pad 'D39:2' at (243205000, 78800000) using coordinate system rotated by 0 degree(s)
13:34:27: [INFO] Adding track segment (B.Cu): [(240665000, 71120000), (240665000, 76260000)]
13:34:27: [INFO] Adding track segment (B.Cu): [(240665000, 76260000), (243205000, 78800000)]
13:34:27: [INFO] Routing SW38 with D38
13:34:27: [INFO] Using internal autorouter method
13:34:27: [INFO] Routing pad 'SW38:2' at (221615000, 73596500) with pad 'D38:2' at (224155000, 81276500) using coordinate system rotated by 0 degree(s)
13:34:27: [INFO] Adding track segment (B.Cu): [(221615000, 73596500), (221615000, 78736500)]
13:34:27: [INFO] Adding track segment (B.Cu): [(221615000, 78736500), (224155000, 81276500)]
13:34:27: [INFO] Routing SW37 with D37
13:34:27: [INFO] Using internal autorouter method
13:34:27: [INFO] Routing pad 'SW37:2' at (202565000, 75882500) with pad 'D37:2' at (205105000, 83562500) using coordinate system rotated by 0 degree(s)
13:34:27: [INFO] Adding track segment (B.Cu): [(202565000, 75882500), (202565000, 81022500)]
13:34:27: [INFO] Adding track segment (B.Cu): [(202565000, 81022500), (205105000, 83562500)]
13:34:27: [INFO] Routing SW36 with D36
13:34:27: [INFO] Using internal autorouter method
13:34:27: [INFO] Routing pad 'SW36:2' at (297815000, 59309000) with pad 'D36:2' at (300355000, 66989000) using coordinate system rotated by 0 degree(s)
13:34:27: [INFO] Adding track segment (B.Cu): [(297815000, 59309000), (297815000, 64449000)]
13:34:27: [INFO] Adding track segment (B.Cu): [(297815000, 64449000), (300355000, 66989000)]
13:34:27: [INFO] Routing SW35 with D35
13:34:27: [INFO] Using internal autorouter method
13:34:27: [INFO] Routing pad 'SW35:2' at (278765000, 59309000) with pad 'D35:2' at (281305000, 66989000) using coordinate system rotated by 0 degree(s)
13:34:27: [INFO] Adding track segment (B.Cu): [(278765000, 59309000), (278765000, 64449000)]
13:34:27: [INFO] Adding track segment (B.Cu): [(278765000, 64449000), (281305000, 66989000)]
13:34:27: [INFO] Routing SW34 with D34
13:34:27: [INFO] Using internal autorouter method
13:34:27: [INFO] Routing pad 'SW34:2' at (259715000, 54546499) with pad 'D34:2' at (262255000, 62226499) using coordinate system rotated by 0 degree(s)
13:34:27: [INFO] Adding track segment (B.Cu): [(259715000, 54546499), (259715000, 59686499)]
13:34:27: [INFO] Adding track segment (B.Cu): [(259715000, 59686499), (262255000, 62226499)]
13:34:27: [INFO] Routing SW33 with D33
13:34:27: [INFO] Using internal autorouter method
13:34:27: [INFO] Routing pad 'SW33:2' at (240665000, 52070000) with pad 'D33:2' at (243205000, 59750000) using coordinate system rotated by 0 degree(s)
13:34:27: [INFO] Adding track segment (B.Cu): [(240665000, 52070000), (240665000, 57210000)]
13:34:27: [INFO] Adding track segment (B.Cu): [(240665000, 57210000), (243205000, 59750000)]
13:34:27: [INFO] Routing SW32 with D32
13:34:27: [INFO] Using internal autorouter method
13:34:27: [INFO] Routing pad 'SW32:2' at (221615000, 54546499) with pad 'D32:2' at (224155000, 62226499) using coordinate system rotated by 0 degree(s)
13:34:27: [INFO] Adding track segment (B.Cu): [(221615000, 54546499), (221615000, 59686499)]
13:34:27: [INFO] Adding track segment (B.Cu): [(221615000, 59686499), (224155000, 62226499)]
13:34:27: [INFO] Routing SW31 with D31
13:34:27: [INFO] Using internal autorouter method
13:34:27: [INFO] Routing pad 'SW31:2' at (202565000, 56832500) with pad 'D31:2' at (205105000, 64512500) using coordinate system rotated by 0 degree(s)
13:34:27: [INFO] Adding track segment (B.Cu): [(202565000, 56832500), (202565000, 61972500)]
13:34:27: [INFO] Adding track segment (B.Cu): [(202565000, 61972500), (205105000, 64512500)]
13:34:27: [INFO] Routing SW30 with D30
13:34:27: [INFO] Using internal autorouter method
13:34:27: [INFO] Routing pad 'SW30:2' at (297815000, 40259000) with pad 'D30:2' at (300355000, 47939000) using coordinate system rotated by 0 degree(s)
13:34:27: [INFO] Adding track segment (B.Cu): [(297815000, 40259000), (297815000, 45399000)]
13:34:27: [INFO] Adding track segment (B.Cu): [(297815000, 45399000), (300355000, 47939000)]
13:34:27: [INFO] Routing SW29 with D29
13:34:27: [INFO] Using internal autorouter method
13:34:27: [INFO] Routing pad 'SW29:2' at (278765000, 40259000) with pad 'D29:2' at (281305000, 47939000) using coordinate system rotated by 0 degree(s)
13:34:27: [INFO] Adding track segment (B.Cu): [(278765000, 40259000), (278765000, 45399000)]
13:34:27: [INFO] Adding track segment (B.Cu): [(278765000, 45399000), (281305000, 47939000)]
13:34:27: [INFO] Routing SW28 with D28
13:34:27: [INFO] Using internal autorouter method
13:34:27: [INFO] Routing pad 'SW28:2' at (259715000, 35496500) with pad 'D28:2' at (262255000, 43176500) using coordinate system rotated by 0 degree(s)
13:34:27: [INFO] Adding track segment (B.Cu): [(259715000, 35496500), (259715000, 40636500)]
13:34:27: [INFO] Adding track segment (B.Cu): [(259715000, 40636500), (262255000, 43176500)]
13:34:27: [INFO] Routing SW27 with D27
13:34:27: [INFO] Using internal autorouter method
13:34:27: [INFO] Routing pad 'SW27:2' at (240665000, 33020000) with pad 'D27:2' at (243205000, 40700000) using coordinate system rotated by 0 degree(s)
13:34:27: [INFO] Adding track segment (B.Cu): [(240665000, 33020000), (240665000, 38160000)]
13:34:27: [INFO] Adding track segment (B.Cu): [(240665000, 38160000), (243205000, 40700000)]
13:34:27: [INFO] Routing SW26 with D26
