=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:41:56: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgMwF8A0dwAYUPGi14B2VdAFm3AF0UAoMKWOc9AT0YFoMA6QgVhMwpSuOPkb804csOp0x8AEyS28TjwnosCkfLgKBWXjobxkk8kbwm9A8ttn0CiZR24bwARgpWnxSbwoHXS9WV3UDFA9jJ31JL2EfcQEAhNFrWLJIqlp6FTg1PkkAY0ZwAGIAQyrq8AiMaMYQ8BL4cqL2jtq4lG1ExQEvSzSnM3QAod0M8ADe4cbi0srqqq7M+qDrBBdVNwXWso7OgSUcPrg-dAA2QJzg7fzuPgGss6mlVN13a4-05KyNvIFALoFroJbLVaeFD1M5NUFtQ4lY49Br9SRKCabATXTExbEo2F-da3axNQHcBTuJRRWEefFRAFhQogxbLFbImFzeAeUbga7EuTWZjgcnhSRbU7oLY-EYCQhCETgeU4DYje5AgRbWaTPZgxFI8UoXHzFn7NkVSHy41o9Dy+yUIA
13:41:59: [INFO] Adding track segment (B.Cu): [(116840000, 104457500), (116840000, 109597500)]
13:41:59: [INFO] Adding track segment (B.Cu): [(116840000, 109597500), (119380000, 112137500)]
13:41:59: [INFO] Routing SW19 with D19
13:41:59: [INFO] Using internal autorouter method
13:41:59: [INFO] Routing pad 'SW19:2' at (97790000, 109220000) with pad 'D19:2' at (100330000, 116900000) using coordinate system rotated by 0 degree(s)
13:41:59: [INFO] Adding track segment (B.Cu): [(97790000, 109220000), (97790000, 114360000)]
13:41:59: [INFO] Adding track segment (B.Cu): [(97790000, 114360000), (100330000, 116900000)]
13:41:59: [INFO] Routing SW18 with D18
13:41:59: [INFO] Using internal autorouter method
13:41:59: [INFO] Routing pad 'SW18:2' at (135890000, 80645000) with pad 'D18:2' at (138430000, 88325000) using coordinate system rotated by 0 degree(s)
13:41:59: [INFO] Adding track segment (B.Cu): [(135890000, 80645000), (135890000, 85785000)]
13:41:59: [INFO] Adding track segment (B.Cu): [(135890000, 85785000), (138430000, 88325000)]
13:41:59: [INFO] Routing SW17 with D17
13:41:59: [INFO] Using internal autorouter method
13:41:59: [INFO] Routing pad 'SW17:2' at (116840000, 75882500) with pad 'D17:2' at (119380000, 83562500) using coordinate system rotated by 0 degree(s)
13:41:59: [INFO] Adding track segment (B.Cu): [(116840000, 75882500), (116840000, 81022500)]
13:41:59: [INFO] Adding track segment (B.Cu): [(116840000, 81022500), (119380000, 83562500)]
13:41:59: [INFO] Routing SW16 with D16
13:41:59: [INFO] Using internal autorouter method
13:41:59: [INFO] Routing pad 'SW16:2' at (97790000, 71120000) with pad 'D16:2' at (100330000, 78800000) using coordinate system rotated by 0 degree(s)
13:41:59: [INFO] Adding track segment (B.Cu): [(97790000, 71120000), (97790000, 76260000)]
13:41:59: [INFO] Adding track segment (B.Cu): [(97790000, 76260000), (100330000, 78800000)]
13:41:59: [INFO] Routing SW15 with D15
13:41:59: [INFO] Using internal autorouter method
13:41:59: [INFO] Routing pad 'SW15:2' at (78740000, 80645000) with pad 'D15:2' at (81280000, 88325000) using coordinate system rotated by 0 degree(s)
13:41:59: [INFO] Adding track segment (B.Cu): [(78740000, 80645000), (78740000, 85785000)]
13:41:59: [INFO] Adding track segment (B.Cu): [(78740000, 85785000), (81280000, 88325000)]
13:41:59: [INFO] Routing SW14 with D14
13:41:59: [INFO] Using internal autorouter method
13:41:59: [INFO] Routing pad 'SW14:2' at (59690000, 94932500) with pad 'D14:2' at (62230000, 102612500) using coordinate system rotated by 0 degree(s)
13:41:59: [INFO] Adding track segment (B.Cu): [(59690000, 94932500), (59690000, 100072500)]
13:41:59: [INFO] Adding track segment (B.Cu): [(59690000, 100072500), (62230000, 102612500)]
13:41:59: [INFO] Routing SW13 with D13
13:41:59: [INFO] Using internal autorouter method
13:41:59: [INFO] Routing pad 'SW13:2' at (40640000, 99695000) with pad 'D13:2' at (43180000, 107375000) using coordinate system rotated by 0 degree(s)
13:41:59: [INFO] Adding track segment (B.Cu): [(40640000, 99695000), (40640000, 104835000)]
13:41:59: [INFO] Adding track segment (B.Cu): [(40640000, 104835000), (43180000, 107375000)]
13:41:59: [INFO] Routing SW12 with D12
13:41:59: [INFO] Using internal autorouter method
13:41:59: [INFO] Routing pad 'SW12:2' at (135890000, 61595000) with pad 'D12:2' at (138430000, 69275000) using coordinate system rotated by 0 degree(s)
13:41:59: [INFO] Adding track segment (B.Cu): [(135890000, 61595000), (135890000, 66735000)]
13:41:59: [INFO] Adding track segment (B.Cu): [(135890000, 66735000), (138430000, 69275000)]
13:41:59: [INFO] Routing SW11 with D11
13:41:59: [INFO] Using internal autorouter method
13:41:59: [INFO] Routing pad 'SW11:2' at (116840000, 56832500) with pad 'D11:2' at (119380000, 64512500) using coordinate system rotated by 0 degree(s)
13:41:59: [INFO] Adding track segment (B.Cu): [(116840000, 56832500), (116840000, 61972500)]
13:41:59: [INFO] Adding track segment (B.Cu): [(116840000, 61972500), (119380000, 64512500)]
13:41:59: [INFO] Routing SW10 with D10
13:41:59: [INFO] Using internal autorouter method
13:41:59: [INFO] Routing pad 'SW10:2' at (97790000, 52070000) with pad 'D10:2' at (100330000, 59750000) using coordinate system rotated by 0 degree(s)
13:41:59: [INFO] Adding track segment (B.Cu): [(97790000, 52070000), (97790000, 57210000)]
13:41:59: [INFO] Adding track segment (B.Cu): [(97790000, 57210000), (100330000, 59750000)]
13:41:59: [INFO] Routing SW9 with D9
13:41:59: [INFO] Using internal autorouter method
